x0000,y0000
8.69942e-06,4,
8.729418e-06,8,
8.759416e-06,1,
8.789414e-06,2,
8.819412e-06,3,
8.84941e-06,2,
8.879408e-06,6,
8.909406e-06,3,
8.939404e-06,3,
8.969402e-06,5,
8.9994e-06,0,
9.029398e-06,2,
9.059396e-06,5,
9.089394e-06,5,
9.119392e-06,4,
9.14939e-06,2,
9.179388e-06,7,
9.209386e-06,4,
9.239384e-06,1,
9.269382e-06,7,
9.29938e-06,3,
9.329378e-06,7,
9.359376e-06,2,
9.389374e-06,1,
9.419372e-06,3,
9.44937e-06,5,
9.479368e-06,4,
9.509366e-06,5,
9.539364e-06,4,
9.569362e-06,3,
9.59936e-06,11,
9.629358e-06,2,
9.659356e-06,3,
9.689354e-06,2,
9.719352e-06,3,
9.74935e-06,1,
9.779348e-06,3,
9.809346e-06,2,
9.839344e-06,4,
9.869342e-06,5,
9.89934e-06,4,
9.929338e-06,1,
9.959336e-06,2,
9.989334e-06,2,
1.0019332e-05,2,
1.004933e-05,4,
1.0079328e-05,5,
1.0109326e-05,1,
1.0139324e-05,6,
1.0169322e-05,4,
1.019932e-05,1,
1.0229318e-05,5,
1.0259316e-05,2,
1.0289314e-05,4,
1.0319312e-05,4,
1.034931e-05,5,
1.0379308e-05,1,
1.0409306e-05,2,
1.0439304e-05,3,
1.0469302e-05,6,
1.04993e-05,5,
1.0529298e-05,4,
1.0559296e-05,5,
1.0589294e-05,1,
1.0619292e-05,7,
1.064929e-05,2,
1.0679288e-05,4,
1.0709286e-05,3,
1.0739284e-05,5,
1.0769282e-05,3,
1.079928e-05,2,
1.0829278e-05,3,
1.0859276e-05,6,
1.0889274e-05,3,
1.0919272e-05,2,
1.094927e-05,2,
1.0979268e-05,4,
1.1009266e-05,5,
1.1039264e-05,1,
1.1069262e-05,5,
1.109926e-05,3,
1.1129258e-05,2,
1.1159256e-05,4,
1.1189254e-05,1,
1.1219252e-05,3,
1.124925e-05,5,
1.1279248e-05,1,
1.1309246e-05,4,
1.1339244e-05,6,
1.1369242e-05,2,
1.139924e-05,2,
1.1429238e-05,0,
1.1459236e-05,6,
1.1489234e-05,2,
1.1519232e-05,2,
1.154923e-05,3,
1.1579228e-05,6,
1.1609226e-05,3,
1.1639224e-05,3,
1.1669222e-05,4,
1.169922e-05,3,
1.1729218e-05,0,
1.1759216e-05,4,
1.1789214e-05,3,
1.1819212e-05,4,
1.184921e-05,2,
1.1879208e-05,3,
1.1909206e-05,2,
1.1939204e-05,4,
1.1969202e-05,3,
1.19992e-05,5,
1.2029198e-05,4,
1.2059196e-05,9,
1.2089194e-05,2,
1.2119192e-05,3,
1.214919e-05,7,
1.2179188e-05,2,
1.2209186e-05,4,
1.2239184e-05,1,
1.2269182e-05,4,
1.229918e-05,3,
1.2329178e-05,2,
1.2359176e-05,4,
1.2389174e-05,3,
1.2419172e-05,3,
1.244917e-05,3,
1.2479168e-05,4,
1.2509166e-05,3,
1.2539164e-05,3,
1.2569162e-05,5,
1.259916e-05,3,
1.2629158e-05,3,
1.2659156e-05,2,
1.2689154e-05,1,
1.2719152e-05,1,
1.274915e-05,2,
1.2779148e-05,2,
1.2809146e-05,3,
