x0000,y0000
0,2,
1e-08,3,
2e-08,5,
3e-08,3,
4e-08,2,
5e-08,1,
6e-08,1,
7e-08,2,
8e-08,2,
9e-08,0,
1e-07,2,
1.1e-07,1,
1.2e-07,2,
1.3e-07,1,
1.4e-07,2,
1.5e-07,4,
1.6e-07,2,
1.7e-07,3,
1.8e-07,3,
1.9e-07,1,
2e-07,1,
2.1e-07,2,
2.2e-07,1,
2.3e-07,75,
2.4e-07,491,
2.5e-07,633,
2.6e-07,633,
2.7e-07,589,
2.8e-07,600,
2.9e-07,562,
3e-07,524,
3.1e-07,519,
3.2e-07,591,
3.3e-07,525,
3.4e-07,509,
3.5e-07,508,
3.6e-07,482,
3.7e-07,519,
3.8e-07,491,
3.9e-07,444,
4e-07,451,
4.1e-07,486,
4.2e-07,436,
4.3e-07,441,
4.4e-07,438,
4.5e-07,419,
4.6e-07,379,
4.7e-07,447,
4.8e-07,390,
4.9e-07,381,
5e-07,390,
5.1e-07,359,
5.2e-07,340,
5.3e-07,335,
5.4e-07,306,
5.5e-07,353,
5.6e-07,319,
5.7e-07,327,
5.8e-07,365,
5.9e-07,319,
6e-07,337,
6.1e-07,297,
6.2e-07,330,
6.3e-07,319,
6.4e-07,303,
6.5e-07,294,
6.6e-07,307,
6.7e-07,307,
6.8e-07,288,
6.9e-07,336,
7e-07,263,
7.1e-07,281,
7.2e-07,261,
7.3e-07,293,
7.4e-07,287,
7.5e-07,247,
7.6e-07,247,
7.7e-07,258,
7.8e-07,277,
7.9e-07,256,
8e-07,281,
8.1e-07,284,
8.2e-07,270,
8.3e-07,241,
8.4e-07,253,
8.5e-07,266,
8.6e-07,240,
8.7e-07,273,
8.8e-07,266,
8.9e-07,243,
9e-07,216,
9.1e-07,246,
9.2e-07,240,
9.3e-07,230,
9.4e-07,252,
9.5e-07,230,
9.6e-07,261,
9.7e-07,275,
9.8e-07,238,
9.9e-07,243,
1e-06,219,
1.01e-06,250,
1.02e-06,233,
1.03e-06,211,
1.04e-06,211,
1.05e-06,242,
1.06e-06,245,
1.07e-06,231,
1.08e-06,239,
1.09e-06,233,
1.1e-06,228,
1.11e-06,263,
1.12e-06,210,
1.13e-06,220,
1.14e-06,252,
1.15e-06,233,
1.16e-06,210,
1.17e-06,251,
1.18e-06,239,
1.19e-06,233,
1.2e-06,203,
1.21e-06,225,
1.22e-06,229,
1.23e-06,232,
1.24e-06,234,
