x0000,y0000
0,8,
5e-08,7,
1e-07,9,
1.5e-07,6,
2e-07,52,
2.5e-07,286,
3e-07,323,
3.5e-07,303,
4e-07,316,
4.5e-07,312,
5e-07,294,
5.5e-07,300,
6e-07,317,
6.5e-07,265,
7e-07,279,
7.5e-07,277,
8e-07,269,
8.5e-07,239,
9e-07,281,
9.5e-07,262,
1e-06,242,
1.05e-06,233,
1.1e-06,234,
1.15e-06,269,
1.2e-06,272,
1.25e-06,223,
1.3e-06,262,
1.35e-06,248,
1.4e-06,230,
1.45e-06,242,
1.5e-06,255,
1.55e-06,225,
1.6e-06,241,
1.65e-06,251,
1.7e-06,264,
1.75e-06,217,
1.8e-06,246,
1.85e-06,248,
1.9e-06,204,
1.95e-06,240,
2e-06,222,
2.05e-06,232,
2.1e-06,234,
2.15e-06,218,
2.2e-06,230,
2.25e-06,227,
2.3e-06,225,
2.35e-06,223,
2.4e-06,224,
2.45e-06,249,
2.5e-06,213,
2.55e-06,202,
2.6e-06,194,
2.65e-06,211,
2.7e-06,210,
2.75e-06,209,
2.8e-06,209,
2.85e-06,205,
2.9e-06,187,
2.95e-06,211,
3e-06,205,
3.05e-06,217,
3.1e-06,234,
3.15e-06,223,
3.2e-06,200,
3.25e-06,208,
3.3e-06,162,
3.35e-06,191,
3.4e-06,202,
3.45e-06,197,
3.5e-06,207,
3.55e-06,202,
3.6e-06,235,
3.65e-06,183,
3.7e-06,195,
3.75e-06,185,
3.8e-06,186,
3.85e-06,218,
3.9e-06,179,
3.95e-06,201,
4e-06,208,
4.05e-06,208,
4.1e-06,227,
4.15e-06,198,
4.2e-06,216,
4.25e-06,211,
4.3e-06,221,
4.35e-06,194,
4.4e-06,217,
4.45e-06,203,
4.5e-06,211,
4.55e-06,226,
4.6e-06,182,
4.65e-06,204,
4.7e-06,214,
4.75e-06,217,
4.8e-06,198,
4.85e-06,190,
4.9e-06,217,
4.95e-06,204,
5e-06,188,
5.05e-06,197,
5.1e-06,207,
5.15e-06,193,
5.2e-06,217,
5.25e-06,201,
5.3e-06,214,
5.35e-06,201,
5.4e-06,215,
5.45e-06,201,
5.5e-06,198,
5.55e-06,197,
5.6e-06,198,
5.65e-06,207,
5.7e-06,198,
5.75e-06,207,
5.8e-06,194,
5.85e-06,199,
5.9e-06,192,
5.95e-06,182,
6e-06,208,
6.05e-06,190,
6.1e-06,207,
6.15e-06,194,
6.2e-06,186,
6.25e-06,210,
6.3e-06,215,
6.35e-06,228,
6.4e-06,210,
6.45e-06,197,
6.5e-06,184,
6.55e-06,181,
6.6e-06,211,
6.65e-06,184,
6.7e-06,228,
6.75e-06,199,
6.8e-06,202,
6.85e-06,218,
6.9e-06,205,
6.95e-06,216,
7e-06,180,
7.05e-06,222,
7.1e-06,211,
7.15e-06,186,
7.2e-06,195,
7.25e-06,185,
7.3e-06,197,
7.35e-06,219,
7.4e-06,197,
7.45e-06,196,
7.5e-06,197,
7.55e-06,194,
7.6e-06,199,
7.65e-06,193,
7.7e-06,201,
7.75e-06,242,
7.8e-06,215,
7.85e-06,216,
7.9e-06,211,
7.95e-06,208,
8e-06,212,
8.05e-06,212,
8.1e-06,196,
8.15e-06,200,
8.2e-06,202,
8.25e-06,28,
8.3e-06,6,
8.35e-06,10,
8.4e-06,12,
8.45e-06,10,
8.5e-06,10,
8.55e-06,6,
8.6e-06,3,
8.65e-06,6,
8.7e-06,8,
8.75e-06,8,
8.8e-06,8,
8.85e-06,11,
8.9e-06,6,
8.95e-06,8,
9e-06,13,
9.05e-06,11,
9.1e-06,9,
9.15e-06,8,
9.2e-06,4,
9.25e-06,8,
9.3e-06,3,
9.35e-06,4,
9.4e-06,6,
9.45e-06,8,
9.5e-06,7,
9.55e-06,11,
9.6e-06,5,
9.65e-06,9,
9.7e-06,4,
9.75e-06,10,
9.8e-06,9,
9.85e-06,6,
9.9e-06,3,
9.95e-06,8,
1e-05,8,
1.005e-05,9,
1.01e-05,2,
1.015e-05,10,
1.02e-05,8,
1.025e-05,5,
1.03e-05,10,
1.035e-05,8,
1.04e-05,5,
1.045e-05,9,
1.05e-05,7,
1.055e-05,5,
1.06e-05,9,
1.065e-05,8,
1.07e-05,9,
1.075e-05,7,
1.08e-05,6,
1.085e-05,4,
1.09e-05,10,
1.095e-05,8,
1.1e-05,7,
1.105e-05,7,
1.11e-05,6,
1.115e-05,7,
1.12e-05,8,
1.125e-05,9,
1.13e-05,7,
1.135e-05,10,
1.14e-05,8,
1.145e-05,5,
1.15e-05,10,
1.155e-05,3,
1.16e-05,7,
1.165e-05,7,
1.17e-05,7,
1.175e-05,4,
1.18e-05,4,
1.185e-05,11,
1.19e-05,7,
1.195e-05,6,
1.2e-05,5,
1.205e-05,3,
1.21e-05,5,
1.215e-05,5,
1.22e-05,5,
1.225e-05,11,
1.23e-05,9,
1.235e-05,5,
1.24e-05,5,
1.245e-05,5,
1.25e-05,10,
1.255e-05,8,
1.26e-05,2,
1.265e-05,8,
1.27e-05,7,
1.275e-05,8,
1.28e-05,8,
1.285e-05,8,
1.29e-05,6,
1.295e-05,4,
1.3e-05,4,
1.305e-05,2,
1.31e-05,5,
1.315e-05,8,
1.32e-05,7,
1.325e-05,8,
