x0000,y0000
0,7,
5e-08,8,
1e-07,9,
1.5e-07,6,
2e-07,69,
2.5e-07,454,
3e-07,520,
3.5e-07,456,
4e-07,476,
4.5e-07,460,
5e-07,409,
5.5e-07,455,
6e-07,452,
6.5e-07,422,
7e-07,428,
7.5e-07,405,
8e-07,428,
8.5e-07,396,
9e-07,433,
9.5e-07,384,
1e-06,378,
1.05e-06,386,
1.1e-06,359,
1.15e-06,362,
1.2e-06,346,
1.25e-06,375,
1.3e-06,397,
1.35e-06,349,
1.4e-06,354,
1.45e-06,381,
1.5e-06,378,
1.55e-06,373,
1.6e-06,334,
1.65e-06,326,
1.7e-06,358,
1.75e-06,320,
1.8e-06,323,
1.85e-06,306,
1.9e-06,321,
1.95e-06,370,
2e-06,300,
2.05e-06,291,
2.1e-06,315,
2.15e-06,326,
2.2e-06,329,
2.25e-06,333,
2.3e-06,340,
2.35e-06,355,
2.4e-06,307,
2.45e-06,345,
2.5e-06,329,
2.55e-06,342,
2.6e-06,346,
2.65e-06,304,
2.7e-06,268,
2.75e-06,278,
2.8e-06,297,
2.85e-06,318,
2.9e-06,289,
2.95e-06,281,
3e-06,305,
3.05e-06,309,
3.1e-06,334,
3.15e-06,299,
3.2e-06,293,
3.25e-06,298,
3.3e-06,332,
3.35e-06,304,
3.4e-06,287,
3.45e-06,288,
3.5e-06,309,
3.55e-06,300,
3.6e-06,330,
3.65e-06,292,
3.7e-06,300,
3.75e-06,304,
3.8e-06,281,
3.85e-06,273,
3.9e-06,302,
3.95e-06,293,
4e-06,299,
4.05e-06,301,
4.1e-06,271,
4.15e-06,259,
4.2e-06,281,
4.25e-06,292,
4.3e-06,301,
4.35e-06,306,
4.4e-06,307,
4.45e-06,333,
4.5e-06,298,
4.55e-06,270,
4.6e-06,290,
4.65e-06,302,
4.7e-06,292,
4.75e-06,289,
4.8e-06,297,
4.85e-06,287,
4.9e-06,271,
4.95e-06,301,
5e-06,291,
5.05e-06,307,
5.1e-06,294,
5.15e-06,292,
5.2e-06,273,
5.25e-06,289,
5.3e-06,318,
5.35e-06,301,
5.4e-06,292,
5.45e-06,300,
5.5e-06,291,
5.55e-06,287,
5.6e-06,297,
5.65e-06,283,
5.7e-06,286,
5.75e-06,284,
5.8e-06,294,
5.85e-06,296,
5.9e-06,291,
5.95e-06,265,
6e-06,305,
6.05e-06,311,
6.1e-06,295,
6.15e-06,302,
6.2e-06,302,
6.25e-06,278,
6.3e-06,237,
6.35e-06,311,
6.4e-06,320,
6.45e-06,265,
6.5e-06,276,
6.55e-06,251,
6.6e-06,313,
6.65e-06,288,
6.7e-06,308,
6.75e-06,287,
6.8e-06,280,
6.85e-06,301,
6.9e-06,322,
6.95e-06,298,
7e-06,310,
7.05e-06,278,
7.1e-06,314,
7.15e-06,297,
7.2e-06,279,
7.25e-06,311,
7.3e-06,272,
7.35e-06,280,
7.4e-06,278,
7.45e-06,298,
7.5e-06,263,
7.55e-06,254,
7.6e-06,290,
7.65e-06,290,
7.7e-06,291,
7.75e-06,306,
7.8e-06,271,
7.85e-06,290,
7.9e-06,278,
7.95e-06,297,
8e-06,283,
8.05e-06,309,
8.1e-06,296,
8.15e-06,279,
8.2e-06,271,
8.25e-06,35,
8.3e-06,10,
8.35e-06,9,
8.4e-06,17,
8.45e-06,11,
8.5e-06,12,
8.55e-06,12,
8.6e-06,9,
8.65e-06,10,
8.7e-06,9,
8.75e-06,5,
8.8e-06,8,
8.85e-06,5,
8.9e-06,6,
8.95e-06,6,
9e-06,12,
9.05e-06,10,
9.1e-06,9,
9.15e-06,9,
9.2e-06,9,
9.25e-06,12,
9.3e-06,10,
9.35e-06,6,
9.4e-06,9,
9.45e-06,12,
9.5e-06,13,
9.55e-06,8,
9.6e-06,6,
9.65e-06,13,
9.7e-06,6,
9.75e-06,9,
9.8e-06,11,
9.85e-06,14,
9.9e-06,14,
9.95e-06,7,
1e-05,9,
1.005e-05,6,
1.01e-05,12,
1.015e-05,11,
1.02e-05,7,
1.025e-05,5,
1.03e-05,4,
1.035e-05,8,
1.04e-05,8,
1.045e-05,10,
1.05e-05,5,
1.055e-05,8,
1.06e-05,10,
1.065e-05,6,
1.07e-05,4,
1.075e-05,5,
1.08e-05,8,
1.085e-05,8,
1.09e-05,9,
1.095e-05,9,
1.1e-05,4,
1.105e-05,7,
1.11e-05,15,
1.115e-05,12,
1.12e-05,10,
1.125e-05,11,
1.13e-05,6,
1.135e-05,8,
1.14e-05,9,
1.145e-05,7,
1.15e-05,7,
1.155e-05,8,
1.16e-05,5,
1.165e-05,6,
1.17e-05,11,
1.175e-05,10,
1.18e-05,9,
1.185e-05,10,
1.19e-05,8,
1.195e-05,9,
1.2e-05,5,
1.205e-05,14,
1.21e-05,6,
1.215e-05,9,
1.22e-05,8,
1.225e-05,10,
1.23e-05,9,
1.235e-05,14,
1.24e-05,9,
1.245e-05,7,
1.25e-05,12,
1.255e-05,6,
1.26e-05,8,
1.265e-05,11,
1.27e-05,7,
1.275e-05,7,
1.28e-05,8,
1.285e-05,10,
1.29e-05,11,
1.295e-05,5,
1.3e-05,4,
1.305e-05,7,
1.31e-05,7,
1.315e-05,5,
1.32e-05,4,
1.325e-05,10,
