x0000,y0000
0,8,
5e-08,7,
1e-07,12,
1.5e-07,9,
2e-07,71,
2.5e-07,444,
3e-07,508,
3.5e-07,477,
4e-07,475,
4.5e-07,473,
5e-07,464,
5.5e-07,483,
6e-07,411,
6.5e-07,381,
7e-07,423,
7.5e-07,402,
8e-07,382,
8.5e-07,410,
9e-07,378,
9.5e-07,372,
1e-06,355,
1.05e-06,393,
1.1e-06,344,
1.15e-06,364,
1.2e-06,348,
1.25e-06,364,
1.3e-06,351,
1.35e-06,340,
1.4e-06,334,
1.45e-06,342,
1.5e-06,358,
1.55e-06,345,
1.6e-06,307,
1.65e-06,299,
1.7e-06,315,
1.75e-06,351,
1.8e-06,299,
1.85e-06,291,
1.9e-06,310,
1.95e-06,328,
2e-06,311,
2.05e-06,308,
2.1e-06,323,
2.15e-06,300,
2.2e-06,287,
2.25e-06,287,
2.3e-06,297,
2.35e-06,258,
2.4e-06,328,
2.45e-06,308,
2.5e-06,306,
2.55e-06,273,
2.6e-06,308,
2.65e-06,344,
2.7e-06,292,
2.75e-06,276,
2.8e-06,297,
2.85e-06,296,
2.9e-06,307,
2.95e-06,316,
3e-06,289,
3.05e-06,284,
3.1e-06,299,
3.15e-06,279,
3.2e-06,289,
3.25e-06,253,
3.3e-06,267,
3.35e-06,273,
3.4e-06,318,
3.45e-06,270,
3.5e-06,281,
3.55e-06,289,
3.6e-06,285,
3.65e-06,270,
3.7e-06,295,
3.75e-06,273,
3.8e-06,285,
3.85e-06,265,
3.9e-06,271,
3.95e-06,276,
4e-06,294,
4.05e-06,300,
4.1e-06,294,
4.15e-06,290,
4.2e-06,279,
4.25e-06,333,
4.3e-06,282,
4.35e-06,300,
4.4e-06,269,
4.45e-06,279,
4.5e-06,275,
4.55e-06,270,
4.6e-06,327,
4.65e-06,271,
4.7e-06,283,
4.75e-06,282,
4.8e-06,279,
4.85e-06,287,
4.9e-06,276,
4.95e-06,265,
5e-06,272,
5.05e-06,278,
5.1e-06,299,
5.15e-06,288,
5.2e-06,283,
5.25e-06,259,
5.3e-06,296,
5.35e-06,270,
5.4e-06,281,
5.45e-06,277,
5.5e-06,278,
5.55e-06,298,
5.6e-06,307,
5.65e-06,291,
5.7e-06,308,
5.75e-06,261,
5.8e-06,249,
5.85e-06,274,
5.9e-06,307,
5.95e-06,245,
6e-06,258,
6.05e-06,284,
6.1e-06,280,
6.15e-06,291,
6.2e-06,278,
6.25e-06,285,
6.3e-06,289,
6.35e-06,283,
6.4e-06,301,
6.45e-06,279,
6.5e-06,273,
6.55e-06,293,
6.6e-06,290,
6.65e-06,282,
6.7e-06,279,
6.75e-06,304,
6.8e-06,278,
6.85e-06,285,
6.9e-06,272,
6.95e-06,268,
7e-06,275,
7.05e-06,301,
7.1e-06,281,
7.15e-06,276,
7.2e-06,275,
7.25e-06,260,
7.3e-06,280,
7.35e-06,310,
7.4e-06,275,
7.45e-06,287,
7.5e-06,296,
7.55e-06,282,
7.6e-06,253,
7.65e-06,278,
7.7e-06,293,
7.75e-06,305,
7.8e-06,279,
7.85e-06,234,
7.9e-06,280,
7.95e-06,303,
8e-06,253,
8.05e-06,247,
8.1e-06,298,
8.15e-06,275,
8.2e-06,270,
8.25e-06,29,
8.3e-06,8,
8.35e-06,11,
8.4e-06,7,
8.45e-06,15,
8.5e-06,10,
8.55e-06,12,
8.6e-06,9,
8.65e-06,6,
8.7e-06,14,
8.75e-06,7,
8.8e-06,9,
8.85e-06,3,
8.9e-06,4,
8.95e-06,11,
9e-06,5,
9.05e-06,3,
9.1e-06,7,
9.15e-06,7,
9.2e-06,8,
9.25e-06,12,
9.3e-06,5,
9.35e-06,5,
9.4e-06,7,
9.45e-06,4,
9.5e-06,9,
9.55e-06,8,
9.6e-06,7,
9.65e-06,10,
9.7e-06,10,
9.75e-06,5,
9.8e-06,11,
9.85e-06,7,
9.9e-06,4,
9.95e-06,6,
1e-05,14,
1.005e-05,7,
1.01e-05,9,
1.015e-05,12,
1.02e-05,11,
1.025e-05,8,
1.03e-05,12,
1.035e-05,7,
1.04e-05,6,
1.045e-05,9,
1.05e-05,12,
1.055e-05,6,
1.06e-05,7,
1.065e-05,7,
1.07e-05,7,
1.075e-05,9,
1.08e-05,15,
1.085e-05,7,
1.09e-05,5,
1.095e-05,8,
1.1e-05,7,
1.105e-05,7,
1.11e-05,11,
1.115e-05,7,
1.12e-05,10,
1.125e-05,7,
1.13e-05,3,
1.135e-05,9,
1.14e-05,7,
1.145e-05,8,
1.15e-05,3,
1.155e-05,6,
1.16e-05,9,
1.165e-05,5,
1.17e-05,5,
1.175e-05,8,
1.18e-05,5,
1.185e-05,7,
1.19e-05,6,
1.195e-05,7,
1.2e-05,9,
1.205e-05,8,
1.21e-05,11,
1.215e-05,3,
1.22e-05,8,
1.225e-05,7,
1.23e-05,6,
1.235e-05,6,
1.24e-05,7,
1.245e-05,10,
1.25e-05,5,
1.255e-05,9,
1.26e-05,9,
1.265e-05,7,
1.27e-05,11,
1.275e-05,5,
1.28e-05,12,
1.285e-05,6,
1.29e-05,7,
1.295e-05,6,
1.3e-05,14,
1.305e-05,7,
1.31e-05,6,
1.315e-05,9,
1.32e-05,8,
1.325e-05,5,
