x0000,y0000
0,18,
5e-08,15,
1e-07,18,
1.5e-07,7,
2e-07,68,
2.5e-07,322,
3e-07,316,
3.5e-07,337,
4e-07,324,
4.5e-07,315,
5e-07,321,
5.5e-07,327,
6e-07,336,
6.5e-07,318,
7e-07,318,
7.5e-07,336,
8e-07,318,
8.5e-07,305,
9e-07,286,
9.5e-07,304,
1e-06,296,
1.05e-06,283,
1.1e-06,303,
1.15e-06,294,
1.2e-06,315,
1.25e-06,298,
1.3e-06,312,
1.35e-06,301,
1.4e-06,267,
1.45e-06,298,
1.5e-06,300,
1.55e-06,313,
1.6e-06,265,
1.65e-06,258,
1.7e-06,272,
1.75e-06,293,
1.8e-06,271,
1.85e-06,283,
1.9e-06,270,
1.95e-06,292,
2e-06,280,
2.05e-06,265,
2.1e-06,261,
2.15e-06,293,
2.2e-06,303,
2.25e-06,282,
2.3e-06,271,
2.35e-06,265,
2.4e-06,296,
2.45e-06,280,
2.5e-06,295,
2.55e-06,262,
2.6e-06,243,
2.65e-06,256,
2.7e-06,276,
2.75e-06,263,
2.8e-06,274,
2.85e-06,244,
2.9e-06,278,
2.95e-06,268,
3e-06,252,
3.05e-06,264,
3.1e-06,267,
3.15e-06,287,
3.2e-06,262,
3.25e-06,264,
3.3e-06,291,
3.35e-06,272,
3.4e-06,269,
3.45e-06,309,
3.5e-06,272,
3.55e-06,256,
3.6e-06,287,
3.65e-06,244,
3.7e-06,249,
3.75e-06,250,
3.8e-06,261,
3.85e-06,239,
3.9e-06,236,
3.95e-06,254,
4e-06,245,
4.05e-06,313,
4.1e-06,274,
4.15e-06,266,
4.2e-06,279,
4.25e-06,260,
4.3e-06,264,
4.35e-06,250,
4.4e-06,234,
4.45e-06,257,
4.5e-06,246,
4.55e-06,289,
4.6e-06,269,
4.65e-06,276,
4.7e-06,261,
4.75e-06,251,
4.8e-06,267,
4.85e-06,274,
4.9e-06,284,
4.95e-06,275,
5e-06,275,
5.05e-06,268,
5.1e-06,242,
5.15e-06,244,
5.2e-06,245,
5.25e-06,244,
5.3e-06,272,
5.35e-06,272,
5.4e-06,262,
5.45e-06,256,
5.5e-06,277,
5.55e-06,286,
5.6e-06,270,
5.65e-06,255,
5.7e-06,295,
5.75e-06,254,
5.8e-06,257,
5.85e-06,247,
5.9e-06,279,
5.95e-06,289,
6e-06,245,
6.05e-06,290,
6.1e-06,272,
6.15e-06,279,
6.2e-06,277,
6.25e-06,264,
6.3e-06,277,
6.35e-06,254,
6.4e-06,231,
6.45e-06,282,
6.5e-06,245,
6.55e-06,271,
6.6e-06,298,
6.65e-06,277,
6.7e-06,285,
6.75e-06,264,
6.8e-06,256,
6.85e-06,279,
6.9e-06,262,
6.95e-06,264,
7e-06,263,
7.05e-06,252,
7.1e-06,265,
7.15e-06,267,
7.2e-06,267,
7.25e-06,258,
7.3e-06,245,
7.35e-06,210,
7.4e-06,261,
7.45e-06,249,
7.5e-06,244,
7.55e-06,285,
7.6e-06,272,
7.65e-06,257,
7.7e-06,262,
7.75e-06,258,
7.8e-06,290,
7.85e-06,283,
7.9e-06,241,
7.95e-06,268,
8e-06,279,
8.05e-06,292,
8.1e-06,268,
8.15e-06,250,
8.2e-06,256,
8.25e-06,47,
8.3e-06,17,
8.35e-06,26,
8.4e-06,14,
8.45e-06,14,
8.5e-06,20,
8.55e-06,15,
8.6e-06,11,
8.65e-06,12,
8.7e-06,21,
8.75e-06,12,
8.8e-06,12,
8.85e-06,13,
8.9e-06,17,
8.95e-06,19,
9e-06,13,
9.05e-06,17,
9.1e-06,10,
9.15e-06,17,
9.2e-06,13,
9.25e-06,11,
9.3e-06,15,
9.35e-06,21,
9.4e-06,14,
9.45e-06,11,
9.5e-06,17,
9.55e-06,8,
9.6e-06,9,
9.65e-06,13,
9.7e-06,13,
9.75e-06,20,
9.8e-06,15,
9.85e-06,17,
9.9e-06,13,
9.95e-06,13,
1e-05,19,
1.005e-05,16,
1.01e-05,10,
1.015e-05,17,
1.02e-05,15,
1.025e-05,18,
1.03e-05,9,
1.035e-05,12,
1.04e-05,11,
1.045e-05,17,
1.05e-05,20,
1.055e-05,8,
1.06e-05,16,
1.065e-05,11,
1.07e-05,18,
1.075e-05,12,
1.08e-05,17,
1.085e-05,16,
1.09e-05,7,
1.095e-05,15,
1.1e-05,11,
1.105e-05,14,
1.11e-05,10,
1.115e-05,6,
1.12e-05,22,
1.125e-05,11,
1.13e-05,16,
1.135e-05,7,
1.14e-05,14,
1.145e-05,17,
1.15e-05,19,
1.155e-05,13,
1.16e-05,15,
1.165e-05,19,
1.17e-05,9,
1.175e-05,15,
1.18e-05,15,
1.185e-05,10,
1.19e-05,13,
1.195e-05,11,
1.2e-05,19,
1.205e-05,16,
1.21e-05,19,
1.215e-05,15,
1.22e-05,11,
1.225e-05,6,
1.23e-05,16,
1.235e-05,15,
1.24e-05,11,
1.245e-05,6,
1.25e-05,8,
1.255e-05,12,
1.26e-05,22,
1.265e-05,15,
1.27e-05,13,
1.275e-05,17,
1.28e-05,15,
1.285e-05,14,
1.29e-05,14,
1.295e-05,21,
1.3e-05,11,
1.305e-05,14,
1.31e-05,12,
1.315e-05,16,
1.32e-05,17,
1.325e-05,15,
