x0000,y0000
0,0,
1e-08,1,
2e-08,0,
3e-08,1,
4e-08,0,
5e-08,0,
6e-08,3,
7e-08,3,
8e-08,1,
9e-08,3,
1e-07,6,
1.1e-07,1,
1.2e-07,3,
1.3e-07,1,
1.4e-07,1,
1.5e-07,2,
1.6e-07,0,
1.7e-07,3,
1.8e-07,3,
1.9e-07,4,
2e-07,0,
2.1e-07,2,
2.2e-07,1,
2.3e-07,26,
2.4e-07,239,
2.5e-07,296,
2.6e-07,308,
2.7e-07,328,
2.8e-07,301,
2.9e-07,322,
3e-07,318,
3.1e-07,312,
3.2e-07,342,
3.3e-07,308,
3.4e-07,294,
3.5e-07,291,
3.6e-07,316,
3.7e-07,275,
3.8e-07,296,
3.9e-07,305,
4e-07,264,
4.1e-07,290,
4.2e-07,247,
4.3e-07,247,
4.4e-07,258,
4.5e-07,256,
4.6e-07,255,
4.7e-07,234,
4.8e-07,248,
4.9e-07,231,
5e-07,234,
5.1e-07,245,
5.2e-07,228,
5.3e-07,205,
5.4e-07,226,
5.5e-07,192,
5.6e-07,215,
5.7e-07,219,
5.8e-07,213,
5.9e-07,192,
6e-07,207,
6.1e-07,227,
6.2e-07,193,
6.3e-07,198,
6.4e-07,230,
6.5e-07,207,
6.6e-07,183,
6.7e-07,177,
6.8e-07,192,
6.9e-07,215,
7e-07,201,
7.1e-07,179,
7.2e-07,186,
7.3e-07,197,
7.4e-07,198,
7.5e-07,176,
7.6e-07,186,
7.7e-07,152,
7.8e-07,202,
7.9e-07,163,
8e-07,200,
8.1e-07,193,
8.2e-07,168,
8.3e-07,173,
8.4e-07,189,
8.5e-07,171,
8.6e-07,172,
8.7e-07,181,
8.8e-07,172,
8.9e-07,149,
9e-07,156,
9.1e-07,164,
9.2e-07,175,
9.3e-07,152,
9.4e-07,144,
9.5e-07,182,
9.6e-07,162,
9.7e-07,180,
9.8e-07,143,
9.9e-07,151,
1e-06,151,
1.01e-06,142,
1.02e-06,134,
1.03e-06,158,
1.04e-06,137,
1.05e-06,148,
1.06e-06,156,
1.07e-06,161,
1.08e-06,159,
1.09e-06,150,
1.1e-06,147,
1.11e-06,152,
1.12e-06,151,
1.13e-06,143,
1.14e-06,157,
1.15e-06,129,
1.16e-06,146,
1.17e-06,143,
1.18e-06,145,
1.19e-06,144,
1.2e-06,157,
1.21e-06,155,
1.22e-06,152,
1.23e-06,136,
1.24e-06,146,
1.25e-06,152,
1.26e-06,133,
1.27e-06,147,
1.28e-06,150,
1.29e-06,142,
1.3e-06,154,
1.31e-06,147,
1.32e-06,153,
1.33e-06,157,
1.34e-06,126,
1.35e-06,136,
1.36e-06,149,
1.37e-06,124,
1.38e-06,119,
1.39e-06,129,
1.4e-06,137,
1.41e-06,148,
1.42e-06,112,
1.43e-06,153,
1.44e-06,126,
1.45e-06,136,
1.46e-06,142,
1.47e-06,121,
1.48e-06,113,
1.49e-06,126,
1.5e-06,115,
1.51e-06,123,
1.52e-06,147,
1.53e-06,128,
1.54e-06,126,
1.55e-06,138,
1.56e-06,138,
1.57e-06,138,
1.58e-06,145,
1.59e-06,138,
1.6e-06,120,
1.61e-06,136,
1.62e-06,127,
1.63e-06,127,
1.64e-06,119,
1.65e-06,126,
1.66e-06,148,
1.67e-06,125,
1.68e-06,137,
1.69e-06,124,
1.7e-06,148,
1.71e-06,129,
1.72e-06,147,
1.73e-06,146,
1.74e-06,137,
1.75e-06,116,
1.76e-06,115,
1.77e-06,144,
1.78e-06,119,
1.79e-06,140,
1.8e-06,134,
1.81e-06,124,
1.82e-06,110,
1.83e-06,113,
1.84e-06,118,
1.85e-06,152,
1.86e-06,135,
1.87e-06,134,
1.88e-06,148,
1.89e-06,143,
1.9e-06,122,
1.91e-06,109,
1.92e-06,133,
1.93e-06,156,
1.94e-06,123,
1.95e-06,130,
1.96e-06,152,
1.97e-06,138,
1.98e-06,141,
1.99e-06,135,
2e-06,117,
2.01e-06,120,
2.02e-06,122,
2.03e-06,125,
2.04e-06,108,
2.05e-06,127,
2.06e-06,114,
2.07e-06,125,
2.08e-06,145,
2.09e-06,147,
2.1e-06,142,
2.11e-06,141,
2.12e-06,149,
2.13e-06,127,
2.14e-06,145,
2.15e-06,137,
2.16e-06,130,
2.17e-06,131,
2.18e-06,141,
2.19e-06,122,
2.2e-06,126,
2.21e-06,137,
2.22e-06,133,
2.23e-06,133,
2.24e-06,132,
2.25e-06,117,
2.26e-06,133,
2.27e-06,119,
2.28e-06,143,
2.29e-06,132,
2.3e-06,124,
2.31e-06,111,
2.32e-06,114,
2.33e-06,123,
2.34e-06,145,
2.35e-06,110,
2.36e-06,154,
2.37e-06,125,
2.38e-06,117,
2.39e-06,129,
2.4e-06,151,
2.41e-06,127,
2.42e-06,129,
2.43e-06,129,
2.44e-06,144,
2.45e-06,132,
2.46e-06,143,
2.47e-06,124,
2.48e-06,136,
2.49e-06,135,
2.5e-06,127,
2.51e-06,132,
2.52e-06,126,
2.53e-06,127,
2.54e-06,129,
2.55e-06,143,
2.56e-06,112,
2.57e-06,140,
2.58e-06,131,
2.59e-06,145,
2.6e-06,115,
2.61e-06,127,
2.62e-06,123,
2.63e-06,124,
2.64e-06,125,
2.65e-06,127,
2.66e-06,126,
2.67e-06,144,
2.68e-06,142,
2.69e-06,132,
2.7e-06,144,
2.71e-06,142,
2.72e-06,143,
2.73e-06,120,
2.74e-06,117,
2.75e-06,136,
2.76e-06,132,
2.77e-06,120,
2.78e-06,126,
2.79e-06,121,
2.8e-06,138,
2.81e-06,105,
2.82e-06,123,
2.83e-06,107,
2.84e-06,124,
2.85e-06,130,
2.86e-06,133,
2.87e-06,123,
2.88e-06,140,
2.89e-06,137,
2.9e-06,141,
2.91e-06,140,
2.92e-06,143,
2.93e-06,113,
2.94e-06,131,
2.95e-06,120,
2.96e-06,156,
2.97e-06,134,
2.98e-06,120,
