m	lambda (Hz)	Angular frequency (rad/s)	Damping ratio (1)	Quality factor (1)
0.0000	4.0166E10+9.4862E8i	2.5237E11+5.9604E9i	0.023611	21.177
0.0000	4.0203E10+1.1729E9i	2.5260E11+7.3695E9i	0.029162	17.146
0.0000	4.0285E10+7.1072E8i	2.5312E11+4.4656E9i	0.017640	28.345
0.0000	4.0347E10+1.9409E9i	2.5351E11+1.2195E10i	0.048049	10.406
0.0000	4.0364E10+8.9435E8i	2.5361E11+5.6193E9i	0.022152	22.572
0.0000	4.0390E10+2.0154E9i	2.5378E11+1.2663E10i	0.049838	10.033
0.0000	4.0409E10+9.1005E8i	2.5390E11+5.7180E9i	0.022515	22.207
0.0000	4.0448E10+1.0614E9i	2.5414E11+6.6688E9i	0.026231	19.061
0.0000	4.0475E10+2.0359E9i	2.5431E11+1.2792E10i	0.050237	9.9528
0.0000	4.0500E10+1.4954E9i	2.5447E11+9.3961E9i	0.036899	13.550
0.0000	4.0525E10+1.0278E9i	2.5462E11+6.4580E9i	0.025355	19.720
0.0000	4.0532E10+1.0130E9i	2.5467E11+6.3650E9i	0.024985	20.012
0.0000	4.0536E10+8.2155E8i	2.5469E11+5.1619E9i	0.020263	24.675
0.0000	4.0604E10+1.1079E9i	2.5512E11+6.9609E9i	0.027275	18.332
0.0000	4.0653E10+1.2814E9i	2.5543E11+8.0516E9i	0.031506	15.870
0.0000	4.0661E10+7.4371E8i	2.5548E11+4.6729E9i	0.018287	27.341
0.0000	4.0662E10+2.6764E9i	2.5549E11+1.6816E10i	0.065679	7.6128
0.0000	4.0666E10+8.9326E8i	2.5551E11+5.6125E9i	0.021960	22.768
0.0000	4.0713E10+1.6375E9i	2.5581E11+1.0289E10i	0.040188	12.442
0.0000	4.0731E10+2.1830E9i	2.5592E11+1.3716E10i	0.053520	9.3424
0.0000	4.0732E10+1.5053E9i	2.5593E11+9.4581E9i	0.036931	13.539
0.0000	4.0753E10+7.8874E8i	2.5606E11+4.9558E9i	0.019351	25.839
0.0000	4.0782E10+1.0240E9i	2.5624E11+6.4337E9i	0.025100	19.920
0.0000	4.0787E10+1.2978E9i	2.5627E11+8.1543E9i	0.031802	15.722
0.0000	4.0792E10+1.0061E9i	2.5630E11+6.3216E9i	0.024657	20.278
0.0000	4.0822E10+1.9083E9i	2.5649E11+1.1990E10i	0.046697	10.707
0.0000	4.0836E10+1.0928E9i	2.5658E11+6.8665E9i	0.026752	18.690
0.0000	4.0873E10+2.4289E9i	2.5681E11+1.5261E10i	0.059320	8.4288
0.0000	4.0953E10+1.0609E9i	2.5731E11+6.6659E9i	0.025897	19.307
0.0000	4.0963E10+1.3249E9i	2.5738E11+8.3246E9i	0.032327	15.467
0.0000	4.0975E10+8.8453E8i	2.5745E11+5.5576E9i	0.021582	23.167
0.0000	4.1049E10+9.3892E8i	2.5792E11+5.8994E9i	0.022867	21.865
0.0000	4.1066E10+7.6144E8i	2.5803E11+4.7843E9i	0.018539	26.971
0.0000	4.1075E10+8.1321E8i	2.5808E11+5.1095E9i	0.019794	25.260
0.0000	4.1140E10+1.3639E9i	2.5849E11+8.5698E9i	0.033135	15.090
0.0000	4.1168E10+1.5345E9i	2.5866E11+9.6413E9i	0.037248	13.424
0.0000	4.1197E10+9.9516E8i	2.5885E11+6.2528E9i	0.024149	20.705
0.0000	4.1201E10+2.0026E9i	2.5887E11+1.2583E10i	0.048548	10.299
0.0000	4.1255E10+1.2029E9i	2.5922E11+7.5578E9i	0.029144	17.156
0.0000	4.1257E10+9.1193E8i	2.5922E11+5.7298E9i	0.022098	22.626
0.0000	4.1406E10+2.4416E9i	2.6016E11+1.5341E10i	0.058865	8.4940
0.0000	4.1409E10+2.1145E9i	2.6018E11+1.3286E10i	0.050998	9.8044
0.0000	4.1425E10+8.9748E8i	2.6028E11+5.6390E9i	0.021660	23.084
0.0000	4.1434E10+1.6217E9i	2.6034E11+1.0189E10i	0.039109	12.785
0.0000	4.1528E10+8.7766E8i	2.6093E11+5.5145E9i	0.021130	23.663
0.0000	4.1579E10+1.3786E9i	2.6125E11+8.6618E9i	0.033137	15.089
0.0000	4.1598E10+1.3832E9i	2.6137E11+8.6912E9i	0.033234	15.045
0.0000	4.1609E10+9.5487E8i	2.6144E11+5.9996E9i	0.022942	21.794
0.0000	4.1617E10+2.8036E9i	2.6149E11+1.7615E10i	0.067213	7.4390
0.0000	4.1677E10+1.1200E9i	2.6186E11+7.0369E9i	0.026863	18.613
0.0000	4.1714E10+1.0214E9i	2.6210E11+6.4176E9i	0.024478	20.426
0.0000	4.1726E10+7.4695E8i	2.6217E11+4.6932E9i	0.017899	27.935
0.0000	4.1758E10+1.9641E9i	2.6237E11+1.2341E10i	0.046984	10.642
0.0000	4.1769E10+2.3963E9i	2.6244E11+1.5056E10i	0.057275	8.7297
0.0000	4.1773E10+1.3447E9i	2.6247E11+8.4492E9i	0.032175	15.540
0.0000	4.1782E10+8.7682E8i	2.6253E11+5.5092E9i	0.020981	23.831
0.0000	4.1800E10+9.8011E8i	2.6264E11+6.1582E9i	0.023441	21.330
0.0000	4.1835E10+1.1867E9i	2.6286E11+7.4565E9i	0.028356	17.633
0.0000	4.1948E10+6.8973E8i	2.6357E11+4.3337E9i	0.016440	30.413
0.0000	4.1960E10+7.3070E8i	2.6364E11+4.5911E9i	0.017412	28.717
0.0000	4.2014E10+1.1560E9i	2.6398E11+7.2631E9i	0.027503	18.180
0.0000	4.2035E10+7.3423E8i	2.6412E11+4.6133E9i	0.017464	28.630
0.0000	4.2076E10+2.7276E9i	2.6437E11+1.7138E10i	0.064690	7.7292
0.0000	4.2082E10+1.3265E9i	2.6441E11+8.3348E9i	0.031507	15.870
0.0000	4.2105E10+1.7321E9i	2.6455E11+1.0883E10i	0.041103	12.165
0.0000	4.2126E10+1.8445E9i	2.6468E11+1.1589E10i	0.043743	11.430
0.0000	4.2129E10+7.3297E8i	2.6470E11+4.6054E9i	0.017396	28.743
0.0000	4.2220E10+1.1796E9i	2.6528E11+7.4119E9i	0.027930	17.902
0.0000	4.2250E10+8.1828E8i	2.6546E11+5.1414E9i	0.019364	25.821
0.0000	4.2263E10+9.9563E8i	2.6554E11+6.2557E9i	0.023552	21.230
0.0000	4.2301E10+1.3837E9i	2.6579E11+8.6943E9i	0.032694	15.293
0.0000	4.2331E10+1.2286E9i	2.6597E11+7.7198E9i	0.029013	17.234
0.0000	4.2336E10+8.6446E8i	2.6601E11+5.4315E9i	0.020415	24.492
0.0000	4.2439E10+1.2101E9i	2.6665E11+7.6034E9i	0.028503	17.542
0.0000	4.2467E10+7.9514E8i	2.6683E11+4.9960E9i	0.018720	26.709
0.0000	4.2470E10+2.1528E9i	2.6685E11+1.3526E10i	0.050624	9.8767
0.0000	4.2479E10+6.6600E8i	2.6690E11+4.1846E9i	0.015676	31.895
0.0000	4.2483E10+1.2295E9i	2.6693E11+7.7253E9i	0.028929	17.283
0.0000	4.2490E10+1.0839E9i	2.6697E11+6.8106E9i	0.025502	19.606
0.0000	4.2498E10+1.1663E9i	2.6702E11+7.3280E9i	0.027433	18.226
0.0000	4.2534E10+8.4813E8i	2.6725E11+5.3289E9i	0.019936	25.080
0.0000	4.2557E10+2.0421E9i	2.6739E11+1.2831E10i	0.047931	10.432
0.0000	4.2558E10+2.2840E9i	2.6740E11+1.4351E10i	0.053591	9.3299
0.0000	4.2605E10+1.0234E9i	2.6770E11+6.4303E9i	0.024014	20.821
0.0000	4.2658E10+8.3911E8i	2.6803E11+5.2723E9i	0.019667	25.423
0.0000	4.2676E10+1.3007E9i	2.6814E11+8.1723E9i	0.030464	16.413
0.0000	4.2692E10+8.5918E8i	2.6824E11+5.3984E9i	0.020121	24.850
0.0000	4.2745E10+8.9904E8i	2.6858E11+5.6488E9i	0.021028	23.778
0.0000	4.2766E10+1.1957E9i	2.6870E11+7.5127E9i	0.027948	17.890
0.0000	4.2788E10+1.5070E9i	2.6885E11+9.4685E9i	0.035197	14.206
0.0000	4.2827E10+9.7218E8i	2.6909E11+6.1084E9i	0.022694	22.032
0.0000	4.2832E10+1.0357E9i	2.6912E11+6.5077E9i	0.024174	20.683
0.0000	4.2833E10+6.6505E8i	2.6913E11+4.1786E9i	0.015525	32.206
0.0000	4.2896E10+1.3338E9i	2.6952E11+8.3803E9i	0.031078	16.089
0.0000	4.2930E10+7.9957E8i	2.6973E11+5.0239E9i	0.018622	26.850
0.0000	4.2941E10+6.9723E8i	2.6981E11+4.3808E9i	0.016235	30.798
0.0000	4.3037E10+2.3257E9i	2.7041E11+1.4613E10i	0.053960	9.2660
0.0000	4.3040E10+1.0008E9i	2.7043E11+6.2879E9i	0.023245	21.510
0.0000	4.3059E10+1.1395E9i	2.7054E11+7.1599E9i	0.026456	18.900
0.0000	4.3105E10+1.2065E9i	2.7083E11+7.5805E9i	0.027978	17.871
0.0000	4.3179E10+2.1575E9i	2.7130E11+1.3556E10i	0.049905	10.019
0.0000	4.3194E10+2.8572E9i	2.7140E11+1.7952E10i	0.066003	7.5754
0.0000	4.3210E10+1.6612E9i	2.7150E11+1.0438E10i	0.038417	13.015
0.0000	4.3226E10+2.2652E9i	2.7160E11+1.4233E10i	0.052333	9.5543
0.0000	4.3293E10+9.6096E8i	2.7202E11+6.0379E9i	0.022191	22.531
0.0000	4.3293E10+2.0993E9i	2.7202E11+1.3190E10i	0.048434	10.323
0.0000	4.3299E10+2.0229E9i	2.7206E11+1.2710E10i	0.046668	10.714
0.0000	4.3300E10+6.0765E8i	2.7206E11+3.8180E9i	0.014032	35.632
0.0000	4.3328E10+1.6711E9i	2.7224E11+1.0500E10i	0.038541	12.973
0.0000	4.3332E10+8.1868E8i	2.7226E11+5.1439E9i	0.018890	26.469
0.0000	4.3404E10+4.6172E8i	2.7271E11+2.9011E9i	0.010637	47.005
0.0000	4.3412E10+1.3795E9i	2.7277E11+8.6678E9i	0.031761	15.743
0.0000	4.3474E10+4.2339E9i	2.7315E11+2.6603E10i	0.096932	5.1582
0.0000	4.3495E10+9.3881E8i	2.7329E11+5.8987E9i	0.021579	23.170
0.0000	4.3561E10+1.7449E9i	2.7370E11+1.0964E10i	0.040025	12.492
0.0000	4.3612E10+7.3165E8i	2.7402E11+4.5971E9i	0.016774	29.808
0.0000	4.3625E10+5.7021E8i	2.7411E11+3.5828E9i	0.013070	38.257
0.0000	4.3668E10+8.5406E8i	2.7438E11+5.3662E9i	0.019554	25.570
0.0000	4.3677E10+5.5896E8i	2.7443E11+3.5120E9i	0.012797	39.073
0.0000	4.3683E10+1.7527E9i	2.7447E11+1.1012E10i	0.040091	12.472
0.0000	4.3692E10+9.0861E8i	2.7453E11+5.7090E9i	0.020791	24.049
0.0000	4.3694E10+1.2775E9i	2.7453E11+8.0270E9i	0.029226	17.108
0.0000	4.3714E10+1.1134E9i	2.7466E11+6.9955E9i	0.025461	19.638
0.0000	4.3729E10+2.0762E9i	2.7476E11+1.3045E10i	0.047425	10.543
0.0000	4.3731E10+1.1949E9i	2.7477E11+7.5078E9i	0.027314	18.306
0.0000	4.3793E10+7.9669E8i	2.7516E11+5.0058E9i	0.018189	27.489
0.0000	4.3806E10+1.0972E9i	2.7524E11+6.8941E9i	0.025039	19.968
0.0000	4.3818E10+5.5457E8i	2.7532E11+3.4845E9i	0.012655	39.510
0.0000	4.3841E10+7.4031E8i	2.7546E11+4.6515E9i	0.016884	29.614
0.0000	4.3849E10+8.3934E8i	2.7551E11+5.2737E9i	0.019138	26.126
0.0000	4.3863E10+2.9328E9i	2.7560E11+1.8427E10i	0.066715	7.4946
0.0000	4.3866E10+1.0293E9i	2.7562E11+6.4675E9i	0.023459	21.314
0.0000	4.3874E10+1.3592E9i	2.7567E11+8.5402E9i	0.030965	16.147
0.0000	4.3875E10+1.4954E9i	2.7568E11+9.3957E9i	0.034063	14.679
0.0000	4.3958E10+2.0127E9i	2.7620E11+1.2646E10i	0.045740	10.931
0.0000	4.3968E10+1.7119E9i	2.7626E11+1.0756E10i	0.038907	12.851
0.0000	4.3968E10+6.2557E8i	2.7626E11+3.9306E9i	0.014226	35.146
0.0000	4.3984E10+8.2747E8i	2.7636E11+5.1991E9i	0.018810	26.582
0.0000	4.4058E10+3.9657E9i	2.7682E11+2.4917E10i	0.089648	5.5773
0.0000	4.4066E10+8.7603E8i	2.7688E11+5.5042E9i	0.019876	25.156
0.0000	4.4087E10+1.8726E9i	2.7701E11+1.1766E10i	0.042437	11.782
0.0000	4.4178E10+6.9406E8i	2.7758E11+4.3609E9i	0.015708	31.830
0.0000	4.4185E10+1.3359E9i	2.7763E11+8.3938E9i	0.030220	16.545
0.0000	4.4187E10+4.1983E9i	2.7763E11+2.6379E10i	0.094587	5.2861
0.0000	4.4210E10+9.8238E8i	2.7778E11+6.1725E9i	0.022215	22.507
0.0000	4.4221E10+3.6572E9i	2.7785E11+2.2979E10i	0.082422	6.0664
0.0000	4.4257E10+5.7910E8i	2.7808E11+3.6386E9i	0.013084	38.215
0.0000	4.4316E10+6.2320E8i	2.7844E11+3.9157E9i	0.014062	35.558
0.0000	4.4318E10+2.8762E8i	2.7846E11+1.8071E9i	0.0064897	77.045
0.0000	4.4324E10+1.4857E9i	2.7849E11+9.3350E9i	0.033501	14.925
0.0000	4.4328E10+4.0732E9i	2.7852E11+2.5593E10i	0.091502	5.4644
0.0000	4.4347E10+8.0070E8i	2.7864E11+5.0310E9i	0.018052	27.697
0.0000	4.4395E10+1.6809E9i	2.7894E11+1.0561E10i	0.037834	13.215
0.0000	4.4419E10+8.1914E8i	2.7909E11+5.1468E9i	0.018438	27.118
0.0000	4.4451E10+9.1374E8i	2.7929E11+5.7412E9i	0.020552	24.329
0.0000	4.4457E10+1.8669E9i	2.7933E11+1.1730E10i	0.041957	11.917
0.0000	4.4495E10+2.9970E9i	2.7957E11+1.8830E10i	0.067202	7.4402
0.0000	4.4514E10+3.3515E9i	2.7969E11+2.1058E10i	0.075079	6.6597
0.0000	4.4592E10+2.2830E9i	2.8018E11+1.4345E10i	0.051130	9.7790
0.0000	4.4650E10+5.6156E8i	2.8055E11+3.5284E9i	0.012576	39.759
0.0000	4.4672E10+1.0101E9i	2.8068E11+6.3466E9i	0.022606	22.118
0.0000	4.4707E10+1.0313E9i	2.8090E11+6.4800E9i	0.023062	21.680
0.0000	4.4732E10+7.0674E8i	2.8106E11+4.4406E9i	0.015797	31.651
0.0000	4.4755E10+2.1500E9i	2.8121E11+1.3509E10i	0.047984	10.420
0.0000	4.4802E10+1.7844E9i	2.8150E11+1.1212E10i	0.039798	12.563
0.0000	4.4827E10+7.0988E8i	2.8166E11+4.4603E9i	0.015834	31.578
0.0000	4.4832E10+3.0677E9i	2.8169E11+1.9275E10i	0.068267	7.3242
0.0000	4.4838E10+1.0586E9i	2.8172E11+6.6513E9i	0.023603	21.184
0.0000	4.4869E10+9.1641E8i	2.8192E11+5.7580E9i	0.020420	24.486
0.0000	4.4873E10+8.6297E8i	2.8195E11+5.4222E9i	0.019228	26.004
0.0000	4.4937E10+4.4144E8i	2.8235E11+2.7737E9i	0.0098231	50.900
0.0000	4.5004E10+1.5744E9i	2.8277E11+9.8925E9i	0.034963	14.301
0.0000	4.5034E10+3.3140E8i	2.8296E11+2.0823E9i	0.0073588	67.946
0.0000	4.5046E10+2.0663E9i	2.8303E11+1.2983E10i	0.045822	10.912
0.0000	4.5066E10+1.1707E9i	2.8316E11+7.3560E9i	0.025970	19.253
0.0000	4.5080E10+9.4463E8i	2.8324E11+5.9353E9i	0.020950	23.866
0.0000	4.5125E10+7.5075E8i	2.8353E11+4.7171E9i	0.016635	30.058
0.0000	4.5126E10+1.4950E9i	2.8353E11+9.3935E9i	0.033112	15.100
0.0000	4.5128E10+2.4996E9i	2.8355E11+1.5706E10i	0.055306	9.0407
0.0000	4.5180E10+2.4118E9i	2.8387E11+1.5154E10i	0.053307	9.3797
0.0000	4.5196E10+1.0285E9i	2.8398E11+6.4622E9i	0.022750	21.978
0.0000	4.5244E10+2.1749E8i	2.8428E11+1.3666E9i	0.0048070	104.01
0.0000	4.5255E10+1.1265E9i	2.8435E11+7.0777E9i	0.024883	20.094
0.0000	4.5256E10+5.1192E8i	2.8435E11+3.2165E9i	0.011311	44.205
0.0000	4.5266E10+1.5594E9i	2.8441E11+9.7982E9i	0.034430	14.522
0.0000	4.5389E10+1.8017E9i	2.8518E11+1.1321E10i	0.039665	12.606
0.0000	4.5441E10+3.6303E8i	2.8551E11+2.2810E9i	0.0079888	62.588
0.0000	4.5449E10+2.7969E9i	2.8556E11+1.7574E10i	0.061424	8.1402
0.0000	4.5455E10+2.9333E9i	2.8561E11+1.8431E10i	0.064398	7.7642
0.0000	4.5510E10+3.0496E8i	2.8595E11+1.9161E9i	0.0067009	74.617
0.0000	4.5540E10+5.6582E8i	2.8614E11+3.5551E9i	0.012424	40.246
0.0000	4.5606E10+6.4998E8i	2.8655E11+4.0839E9i	0.014251	35.086
0.0000	4.5630E10+6.0517E8i	2.8670E11+3.8024E9i	0.013261	37.703
0.0000	4.5636E10+4.3056E8i	2.8674E11+2.7053E9i	0.0094342	52.999
0.0000	4.5670E10+2.5461E9i	2.8696E11+1.5998E10i	0.055663	8.9827
0.0000	4.5670E10+9.3685E8i	2.8696E11+5.8864E9i	0.020509	24.380
0.0000	4.5687E10+2.3251E9i	2.8706E11+1.4609E10i	0.050826	9.8375
0.0000	4.5702E10+1.7515E9i	2.8715E11+1.1005E10i	0.038297	13.056
0.0000	4.5702E10+1.1163E9i	2.8715E11+7.0138E9i	0.024418	20.477
0.0000	4.5784E10+5.3165E8i	2.8767E11+3.3404E9i	0.011611	43.062
0.0000	4.5814E10+3.9547E8i	2.8786E11+2.4848E9i	0.0086317	57.926
0.0000	4.5839E10+9.1890E8i	2.8802E11+5.7736E9i	0.020042	24.947
0.0000	4.5878E10+5.5546E8i	2.8826E11+3.4900E9i	0.012106	41.301
0.0000	4.5881E10+2.0093E9i	2.8828E11+1.2625E10i	0.043752	11.428
0.0000	4.5887E10+1.2194E9i	2.8832E11+7.6619E9i	0.026565	18.821
0.0000	4.5907E10+1.7367E9i	2.8844E11+1.0912E10i	0.037803	13.226
0.0000	4.5952E10+5.6356E8i	2.8873E11+3.5409E9i	0.012263	40.773
0.0000	4.5991E10+3.3887E8i	2.8897E11+2.1292E9i	0.0073680	67.861
0.0000	4.5995E10+2.5145E9i	2.8900E11+1.5799E10i	0.054588	9.1596
0.0000	4.6025E10+1.6507E9i	2.8918E11+1.0372E10i	0.035842	13.950
0.0000	4.6034E10+7.1693E8i	2.8924E11+4.5046E9i	0.015572	32.109
0.0000	4.6035E10+9.3521E8i	2.8925E11+5.8761E9i	0.020311	24.617
0.0000	4.6092E10+3.3002E9i	2.8961E11+2.0736E10i	0.071416	7.0012
0.0000	4.6151E10+5.4049E8i	2.8998E11+3.3960E9i	0.011710	42.697
0.0000	4.6169E10+1.3735E9i	2.9009E11+8.6300E9i	0.029736	16.815
0.0000	4.6209E10+7.0683E8i	2.9034E11+4.4411E9i	0.015294	32.692
0.0000	4.6244E10+4.6572E8i	2.9056E11+2.9262E9i	0.010071	49.650
0.0000	4.6245E10+1.8098E9i	2.9056E11+1.1372E10i	0.039106	12.786
0.0000	4.6255E10+2.1918E9i	2.9063E11+1.3772E10i	0.047332	10.564
0.0000	4.6271E10+2.0608E9i	2.9073E11+1.2948E10i	0.044494	11.238
0.0000	4.6293E10+9.0939E8i	2.9087E11+5.7139E9i	0.019640	25.458
0.0000	4.6297E10+1.8376E9i	2.9089E11+1.1546E10i	0.039661	12.607
0.0000	4.6397E10+6.4044E8i	2.9152E11+4.0240E9i	0.013802	36.226
0.0000	4.6417E10+4.5814E8i	2.9165E11+2.8786E9i	0.0098695	50.661
0.0000	4.6447E10+1.8819E9i	2.9184E11+1.1825E10i	0.040484	12.350
0.0000	4.6470E10+3.1549E9i	2.9198E11+1.9823E10i	0.067735	7.3818
0.0000	4.6562E10+9.6148E8i	2.9256E11+6.0411E9i	0.020645	24.219
0.0000	4.6567E10+6.8625E8i	2.9259E11+4.3118E9i	0.014735	33.932
0.0000	4.6588E10+1.1751E9i	2.9272E11+7.3834E9i	0.025215	19.830
0.0000	4.6602E10+2.6347E9i	2.9281E11+1.6554E10i	0.056447	8.8579
0.0000	4.6678E10+1.9843E9i	2.9329E11+1.2468E10i	0.042471	11.773
0.0000	4.6688E10+9.0254E8i	2.9335E11+5.6708E9i	0.019328	25.870
0.0000	4.6703E10+1.3839E9i	2.9344E11+8.6953E9i	0.029619	16.881
0.0000	4.6734E10+6.9995E8i	2.9364E11+4.3979E9i	0.014976	33.387
0.0000	4.6863E10+5.5429E8i	2.9445E11+3.4827E9i	0.011827	42.277
0.0000	4.6897E10+1.5276E9i	2.9466E11+9.5983E9i	0.032557	15.358
0.0000	4.6940E10+4.2157E8i	2.9493E11+2.6488E9i	0.0089807	55.675
0.0000	4.6976E10+6.8075E8i	2.9516E11+4.2773E9i	0.014490	34.507
0.0000	4.7009E10+1.1968E9i	2.9537E11+7.5195E9i	0.025450	19.646
0.0000	4.7040E10+2.2481E9i	2.9556E11+1.4125E10i	0.047737	10.474
0.0000	4.7045E10+2.4209E9i	2.9559E11+1.5211E10i	0.051392	9.7291
0.0000	4.7056E10+2.3129E8i	2.9566E11+1.4532E9i	0.0049150	101.73
0.0000	4.7085E10+4.5436E8i	2.9584E11+2.8549E9i	0.0096494	51.817
0.0000	4.7100E10+1.6458E9i	2.9594E11+1.0341E10i	0.034921	14.318
0.0000	4.7104E10+8.6831E8i	2.9596E11+5.4557E9i	0.018431	27.128
0.0000	4.7123E10+7.0395E8i	2.9608E11+4.4230E9i	0.014937	33.474
0.0000	4.7126E10+7.5762E8i	2.9610E11+4.7603E9i	0.016074	31.106
0.0000	4.7145E10+2.5019E9i	2.9622E11+1.5720E10i	0.052994	9.4350
0.0000	4.7259E10+1.8430E9i	2.9694E11+1.1580E10i	0.038969	12.831
0.0000	4.7269E10+1.0577E9i	2.9700E11+6.6459E9i	0.022371	22.350
0.0000	4.7291E10+1.9119E9i	2.9714E11+1.2013E10i	0.040396	12.377
0.0000	4.7468E10+3.4634E8i	2.9825E11+2.1761E9i	0.0072961	68.530
0.0000	4.7504E10+1.6253E9i	2.9848E11+1.0212E10i	0.034194	14.623
0.0000	4.7505E10+1.1116E9i	2.9848E11+6.9844E9i	0.023393	21.374
0.0000	4.7508E10+4.9363E8i	2.9850E11+3.1016E9i	0.010390	48.123
0.0000	4.7572E10+8.0792E7i	2.9891E11+5.0763E8i	0.0016983	294.41
0.0000	4.7580E10+7.7854E8i	2.9895E11+4.8917E9i	0.016361	30.561
0.0000	4.7597E10+1.1761E9i	2.9906E11+7.3894E9i	0.024701	20.242
0.0000	4.7601E10+6.8699E8i	2.9909E11+4.3165E9i	0.014431	34.649
0.0000	4.7645E10+2.4195E9i	2.9936E11+1.5202E10i	0.050717	9.8587
0.0000	4.7705E10+2.2459E8i	2.9974E11+1.4111E9i	0.0047079	106.21
0.0000	4.7753E10+2.4081E8i	3.0004E11+1.5131E9i	0.0050428	99.152
0.0000	4.7755E10+1.7037E9i	3.0006E11+1.0705E10i	0.035653	14.024
0.0000	4.7809E10+3.4612E8i	3.0039E11+2.1747E9i	0.0072394	69.067
0.0000	4.7842E10+2.3572E9i	3.0060E11+1.4810E10i	0.049210	10.160
0.0000	4.7878E10+2.6452E9i	3.0083E11+1.6620E10i	0.055164	9.0639
0.0000	4.7893E10+2.2656E9i	3.0092E11+1.4235E10i	0.047253	10.581
0.0000	4.7898E10+7.7558E8i	3.0095E11+4.8731E9i	0.016190	30.883
0.0000	4.7958E10+7.0675E8i	3.0133E11+4.4407E9i	0.014735	33.932
0.0000	4.7985E10+1.7436E9i	3.0150E11+1.0955E10i	0.036313	13.769
0.0000	4.8003E10+1.0750E9i	3.0161E11+6.7546E9i	0.022390	22.332
0.0000	4.8039E10+4.9882E8i	3.0184E11+3.1342E9i	0.010383	48.155
0.0000	4.8089E10+4.8172E9i	3.0215E11+3.0267E10i	0.099673	5.0164
0.0000	4.8137E10+1.8330E9i	3.0246E11+1.1517E10i	0.038051	13.140
0.0000	4.8186E10+3.7280E8i	3.0276E11+2.3423E9i	0.0077364	64.630
0.0000	4.8264E10+7.0339E8i	3.0325E11+4.4196E9i	0.014572	34.312
0.0000	4.8297E10+1.4844E9i	3.0346E11+9.3265E9i	0.030720	16.276
0.0000	4.8307E10+7.8417E8i	3.0352E11+4.9271E9i	0.016231	30.805
0.0000	4.8334E10+6.0903E8i	3.0369E11+3.8267E9i	0.012600	39.684
0.0000	4.8363E10+5.1045E8i	3.0387E11+3.2073E9i	0.010554	47.375
0.0000	4.8441E10+5.1615E8i	3.0436E11+3.2431E9i	0.010655	46.927
0.0000	4.8452E10+1.9683E9i	3.0444E11+1.2367E10i	0.040589	12.319
0.0000	4.8480E10+1.8055E8i	3.0461E11+1.1345E9i	0.0037243	134.25
0.0000	4.8499E10+1.0168E9i	3.0473E11+6.3888E9i	0.020961	23.854
0.0000	4.8517E10+1.2591E9i	3.0484E11+7.9112E9i	0.025943	19.273
0.0000	4.8552E10+1.8819E8i	3.0506E11+1.1825E9i	0.0038761	128.99
0.0000	4.8606E10+5.0108E8i	3.0540E11+3.1484E9i	0.010309	48.503
0.0000	4.8652E10+3.9064E9i	3.0569E11+2.4544E10i	0.080035	6.2473
0.0000	4.8684E10+1.8121E9i	3.0589E11+1.1386E10i	0.037195	13.443
0.0000	4.8688E10+2.3940E9i	3.0592E11+1.5042E10i	0.049110	10.181
0.0000	4.8713E10+2.4128E9i	3.0607E11+1.5160E10i	0.049471	10.107
0.0000	4.8722E10+9.8154E8i	3.0613E11+6.1672E9i	0.020142	24.824
0.0000	4.8772E10+2.3541E8i	3.0644E11+1.4791E9i	0.0048267	103.59
0.0000	4.8777E10+4.3896E9i	3.0647E11+2.7581E10i	0.089632	5.5784
0.0000	4.8863E10+5.9627E8i	3.0701E11+3.7465E9i	0.012202	40.977
0.0000	4.8984E10+2.0549E9i	3.0778E11+1.2911E10i	0.041914	11.929
0.0000	4.8988E10+6.5300E8i	3.0780E11+4.1029E9i	0.013329	37.513
0.0000	4.9022E10+2.5266E8i	3.0801E11+1.5875E9i	0.0051539	97.014
0.0000	4.9041E10+2.1258E9i	3.0813E11+1.3357E10i	0.043306	11.546
0.0000	4.9054E10+2.5253E9i	3.0822E11+1.5867E10i	0.051411	9.7255
0.0000	4.9088E10+3.5163E9i	3.0843E11+2.2093E10i	0.071448	6.9981
0.0000	4.9088E10+2.6555E8i	3.0843E11+1.6685E9i	0.0054096	92.429
0.0000	4.9097E10+1.6774E9i	3.0848E11+1.0539E10i	0.034145	14.644
0.0000	4.9118E10+1.0534E9i	3.0862E11+6.6190E9i	0.021442	23.319
0.0000	4.9164E10+2.4944E8i	3.0891E11+1.5673E9i	0.0050736	98.550
0.0000	4.9229E10+2.7797E8i	3.0932E11+1.7465E9i	0.0056464	88.552
0.0000	4.9237E10+2.0622E9i	3.0936E11+1.2957E10i	0.041846	11.949
0.0000	4.9247E10+1.0067E9i	3.0943E11+6.3254E9i	0.020438	24.465
0.0000	4.9253E10+5.8221E8i	3.0946E11+3.6581E9i	0.011820	42.301
0.0000	4.9298E10+7.0083E8i	3.0975E11+4.4034E9i	0.014215	35.174
0.0000	4.9328E10+2.9208E9i	3.0994E11+1.8352E10i	0.059109	8.4589
0.0000	4.9338E10+2.9403E8i	3.1000E11+1.8475E9i	0.0059594	83.901
0.0000	4.9367E10+3.7161E9i	3.1018E11+2.3349E10i	0.075061	6.6612
0.0000	4.9397E10+9.9824E8i	3.1037E11+6.2721E9i	0.020204	24.747
0.0000	4.9406E10+2.7801E8i	3.1043E11+1.7468E9i	0.0056270	88.857
