#Saved Data from the class pulsed_measurement_logic on 18.11.2022 at 17h08m49s.
#
#Parameters:
#===========
#
#Approx. measurement time (s): 3.8000256705284119e+02
#Measurement sweeps: -1
#Number of laser pulses: 156
#Laser ignore indices: [0, 1, 2, 4, 5, 6, 8, 9, 10, 12, 13, 14, 16, 17, 18, 20, 21, 22, 24, 25, 26, 28, 29, 30, 32, 33, 34, 36, 37, 38, 40, 41, 42, 44, 45, 46, 48, 49, 50, 52, 53, 54, 56, 57, 58, 60, 61, 62, 64, 65, 66, 68, 69, 70, 72, 73, 74, 76, 77, 78, 80, 81, 82, 84, 85, 86, 88, 89, 90, 92, 93, 94, 96, 97, 98, 100, 101, 102, 104, 105, 106, 108, 109, 110, 112, 113, 114, 116, 117, 118, 120, 121, 122, 124, 125, 126, 128, 129, 130, 132, 133, 134, 136, 137, 138, 140, 141, 142, 144, 145, 146, 148, 149, 150, 152, 153, 154]
#alternating: False
#analysis parameters: {'signal_start': 1.215e-06, 'signal_end': 1.42e-06, 'norm_start': 1.5000000000000002e-08, 'norm_end': 3.4500000000000003e-07, 'method': 'mean_norm'}
#extraction parameters: {'conv_std_dev': 1.0, 'method': 'conv_deriv'}
#fast counter settings: {'bin_width': 5e-09, 'record_length': 8.6825e-05, 'number_of_gates': 0, 'is_gated': False}
#
#Data:
#=====
#Controlled variable(s)	Signal
2.000000000000000e-08	6.831042199488491e-01
4.000000000000000e-08	5.890466531440163e-01
6.000000000000001e-08	1.182841441074700e+00
8.000000000000000e-08	1.095965633928391e+00
1.000000000000000e-07	1.058128763316350e+00
1.200000000000000e-07	9.255166086285632e-01
1.400000000000000e-07	7.950969861628862e-01
1.600000000000000e-07	5.648561766793304e-01
1.800000000000000e-07	5.832742735648476e-01
2.000000000000000e-07	5.437734996198970e-01
2.200000000000000e-07	5.866117147495941e-01
2.400000000000000e-07	5.832043343653250e-01
2.600000000000001e-07	2.535179752374322e-01
2.800000000000000e-07	2.649209155636260e-01
3.000000000000000e-07	1.935291145260530e+00
3.200000000000000e-07	3.036003392182561e-01
3.400000000000000e-07	2.739133676284202e-01
3.600000000000000e-07	2.742789294018701e-01
3.800000000000000e-07	5.654498150331314e-01
4.000000000000000e-07	3.027143537432016e-01
4.200000000000000e-07	2.573750981236231e-01
4.400000000000000e-07	2.725048424915893e-01
4.600000000000000e-07	2.777644172959454e-01
4.800000000000000e-07	2.661424466959020e-01
5.000000000000001e-07	2.662461493325510e-01
5.200000000000000e-07	1.917709637046308e+00
5.400000000000000e-07	1.964599414426404e+00
5.600000000000000e-07	2.358590200171927e-01
5.800000000000001e-07	2.482900136798906e-01
6.000000000000001e-07	2.396012798424809e-01
6.200000000000000e-07	2.376618571957085e-01
6.400000000000000e-07	1.891618497109827e+00
6.600000000000000e-07	1.827823100042937e+00
6.800000000000001e-07	1.854492105630851e+00
7.000000000000001e-07	1.949842436974790e+00
7.200000000000000e-07	4.803052734741540e-01
7.400000000000000e-07	4.048779454144771e-01
7.600000000000000e-07	2.653165072257277e-01
7.800000000000000e-07	2.171296817005961e-01
