#Saved Data from the class pulsed_measurement_logic on 18.11.2022 at 15h55m32s.
#
#Parameters:
#===========
#
#bin width (s): 5.0000000000000001e-09
#record length (s): 8.4875000000000003e-05
#gated counting: False
#extraction parameters: {'conv_std_dev': 2.0, 'method': 'conv_deriv'}
#
#Data:
#=====
#Signal (counts)
1	7	26	1	25	6	36	1	31	6	4	27	5	28	3	31	15	3	32	7	33	2	25	9	33	6	16	12	4	30	7	29	4	15	14	34	3	8	2	7	28	3	5	5	10	41	5	5	2	9	29	4	14	34	3	9	38	4	8	30	4	12	2	12	39	1	6	34	1	7	2	16	10	24	4	4	2	6	23	2	11	28	2	9	2	10	31	2	7	39
2	13	134	1	119	14	120	4	123	16	3	106	9	129	4	97	9	1	109	5	116	1	90	7	140	3	90	4	2	78	10	118	0	89	7	125	3	10	3	9	131	3	7	1	9	143	1	10	4	11	134	1	7	125	3	12	135	1	8	145	3	7	0	16	141	0	7	126	3	8	3	73	6	148	4	13	1	6	127	3	10	117	2	10	2	6	119	0	10	129
12	26	113	25	94	36	79	31	89	32	27	74	28	91	31	80	41	32	77	33	112	25	84	33	94	16	71	37	30	84	29	80	15	73	34	80	22	44	15	28	125	21	39	19	41	99	25	39	25	29	103	21	34	96	23	38	99	24	30	98	14	26	15	39	103	14	34	114	25	23	16	50	24	124	13	25	17	23	108	16	28	103	11	37	17	31	81	14	39	117
78	134	91	119	78	120	71	123	78	143	106	79	129	100	97	82	146	109	65	116	86	90	89	140	89	90	79	127	78	79	118	96	89	75	125	103	108	159	95	131	103	87	129	79	143	106	77	128	102	134	95	84	125	82	87	135	107	76	145	104	74	119	76	141	106	78	126	91	96	125	73	67	148	105	88	155	84	127	78	74	117	99	62	152	71	119	95	86	129	80
50	113	85	94	88	79	87	89	71	106	74	82	91	98	80	77	113	77	84	112	105	84	67	94	89	71	61	94	84	65	80	83	73	74	80	100	75	99	64	125	84	85	103	81	99	85	67	92	83	103	80	68	96	83	57	99	100	92	98	96	62	101	56	103	80	66	114	82	69	114	50	66	124	91	57	101	58	108	89	65	103	86	55	100	57	81	94	60	117	105
58	91	81	78	83	71	93	78	76	94	79	76	100	76	82	71	96	65	57	86	71	89	59	89	74	79	54	117	79	50	96	89	75	67	103	82	51	108	64	103	83	56	99	63	106	101	62	95	64	95	86	68	82	91	52	107	85	64	104	90	65	116	62	106	89	50	91	89	60	91	67	60	105	84	48	99	56	78	91	45	99	92	45	110	57	95	65	50	80	76
53	85	78	88	59	87	79	71	79	92	82	74	98	63	77	63	94	84	62	105	72	67	64	89	92	61	59	88	65	60	83	71	74	52	100	82	69	94	48	84	78	65	80	75	85	79	50	76	46	80	88	55	83	56	59	100	80	44	96	93	55	85	62	80	81	48	82	72	53	81	66	44	91	91	50	99	61	89	85	60	86	73	54	92	56	94	87	50	105	65
40	81	68	83	61	93	64	76	61	58	76	49	76	67	71	59	84	57	59	71	72	59	48	74	74	54	54	89	50	44	89	79	67	45	82	65	47	80	50	83	84	51	73	46	101	74	47	70	50	86	70	54	91	79	44	85	70	49	90	73	41	73	51	89	77	46	89	64	53	68	60	41	84	67	49	69	47	91	76	46	92	77	44	76	46	65	73	63	76	73
34	78	63	59	51	79	55	79	64	71	74	39	63	70	63	48	58	62	48	72	65	64	44	92	68	59	40	79	60	47	71	71	52	50	82	70	60	74	49	78	53	43	86	49	79	68	57	71	52	88	72	42	56	62	40	80	63	44	93	52	45	70	44	81	68	50	72	59	42	67	44	47	91	60	34	72	37	85	63	45	73	64	58	81	50	87	58	46	65	60
36	68	74	61	48	64	49	61	43	92	49	57	67	51	59	46	69	59	45	72	64	48	41	74	68	54	38	82	44	39	79	58	45	46	65	56	50	56	51	84	61	43	67	45	74	55	39	70	45	70	63	49	79	59	40	70	61	44	73	60	33	66	30	77	66	42	64	58	47	77	41	40	67	51	53	60	45	76	81	40	77	60	44	76	42	73	62	36	73	72
