#Saved Data from the class pulsed_measurement_logic on 18.11.2022 at 15h04m00s.
#
#Parameters:
#===========
#
#bin width (s): 3.0000000000000000e-09
#record length (s): 5.8403999999999999e-05
#gated counting: False
#extraction parameters: {'conv_std_dev': 8.0, 'method': 'conv_deriv'}
#
#Data:
#=====
#Signal (counts)
2	14	2	6	13	12	16	16	11	12	18	14	9	20	18	14	14	11	15
1	21	3	17	17	13	25	16	14	11	15	13	9	16	10	17	17	12	9
33	33	20	19	9	16	12	18	26	14	8	22	5	28	17	69	84	21	10
76	101	65	90	85	88	25	84	90	85	19	89	76	84	93	82	61	83	68
64	74	52	55	63	61	82	81	58	68	103	65	79	47	69	62	75	67	82
55	54	70	78	68	64	62	55	63	50	64	68	61	77	71	72	54	76	61
63	78	61	64	71	82	76	66	63	66	77	61	64	68	61	63	55	63	55
67	48	53	70	58	70	73	69	50	63	68	61	64	79	67	66	50	56	68
54	79	52	71	72	57	50	59	61	69	62	47	52	66	64	65	65	63	62
58	63	37	57	61	54	57	55	68	71	60	60	64	66	63	65	71	75	80
57	51	53	48	63	56	62	53	63	56	64	62	63	57	61	78	75	57	61
69	56	49	46	65	62	67	54	79	50	74	51	48	62	65	66	53	56	49
48	57	53	59	55	45	50	63	67	57	67	58	58	62	56	69	55	64	57
50	52	31	55	61	58	64	66	54	52	62	65	58	48	65	55	60	68	58
44	55	45	53	51	57	49	57	63	56	56	51	63	52	52	49	54	66	68
38	63	44	44	53	42	60	48	58	54	47	45	53	64	57	65	61	50	43
37	59	43	60	63	52	54	63	39	44	51	63	52	55	49	62	50	58	49
45	48	45	44	53	48	52	43	47	52	39	62	64	48	55	53	60	55	59
50	52	50	62	51	53	45	49	38	55	45	53	40	55	44	44	55	40	48
61	49	47	36	63	41	46	43	49	57	48	64	51	51	54	57	53	55	45
54	46	52	64	40	44	36	51	43	56	59	41	53	43	54	55	47	53	58
47	41	58	49	52	54	33	32	45	42	52	50	34	38	46	54	48	39	47
47	56	37	51	42	44	50	39	58	51	45	57	41	49	41	43	37	52	32
49	52	35	53	27	35	41	44	50	54	46	49	43	53	57	35	46	47	33
38	56	40	50	38	52	48	38	38	46	40	40	41	59	37	47	36	45	48
39	40	41	39	41	42	43	41	38	54	52	45	52	38	38	33	43	43	41
35	28	38	44	42	43	47	32	29	48	42	48	32	44	41	48	33	46	34
39	46	38	30	31	46	39	36	54	39	50	44	39	35	42	44	40	49	44
44	37	34	34	49	43	40	42	30	32	40	39	36	40	41	35	32	40	39
35	50	37	35	39	39	46	36	35	40	44	30	32	49	45	50	46	33	40
42	31	42	56	36	40	35	39	35	25	39	43	47	46	40	33	35	33	41
41	34	34	46	39	40	36	32	38	39	38	35	38	36	39	41	32	27	35
37	38	36	32	41	40	43	39	38	36	34	44	44	38	40	31	35	41	39
27	44	33	34	36	42	43	31	51	41	43	37	34	27	38	27	30	44	44
36	30	33	40	30	37	39	46	32	40	32	32	37	34	41	33	41	32	36
46	35	41	31	31	47	38	36	32	29	31	32	37	35	43	29	29	44	22
30	34	29	50	20	37	38	28	40	40	53	28	42	25	42	49	29	43	31
