#Saved Data from the class pulsed_measurement_logic on 18.11.2022 at 14h13m10s.
#
#Parameters:
#===========
#
#bin width (s): 3.0000000000000000e-09
#record length (s): 5.8403999999999999e-05
#gated counting: False
#extraction parameters: {'conv_std_dev': 8.0, 'method': 'conv_deriv'}
#
#Data:
#=====
#Signal (counts)
11	4	9	7	5	11	7	6	5	13	10	11	10	9	7	8	14	9	6
13	6	4	7	5	7	8	6	7	8	8	4	9	8	5	11	11	8	11
5	8	9	13	12	13	7	14	6	12	7	7	10	11	8	3	7	13	9
8	13	10	5	95	25	78	80	22	14	20	14	68	17	9	84	17	14	78
83	107	112	74	107	104	134	107	111	73	99	85	118	86	111	115	100	116	96
126	115	113	130	82	103	82	89	114	111	95	134	92	92	109	89	104	120	103
94	98	102	84	87	93	76	84	88	94	87	81	92	100	85	95	86	76	95
83	103	100	98	78	107	84	89	85	94	99	83	95	86	82	90	108	103	89
97	73	69	97	71	82	71	73	98	86	84	86	67	70	80	88	94	70	90
92	84	67	95	81	84	76	74	83	86	93	90	87	89	74	65	78	82	76
77	73	83	84	80	72	71	65	68	90	79	82	65	78	79	86	84	72	76
65	73	64	63	71	66	63	77	70	83	82	76	53	70	69	73	74	67	78
66	70	62	61	78	73	59	62	83	69	77	73	69	70	80	64	83	78	76
74	69	62	62	49	73	68	66	56	72	70	68	63	73	81	72	68	81	67
59	64	59	68	74	87	68	50	67	70	67	71	66	62	63	71	57	67	74
49	71	73	54	68	66	55	62	69	58	55	60	73	48	60	66	72	51	72
58	72	55	67	63	68	38	59	61	63	70	58	59	65	45	63	67	59	46
63	69	62	49	65	54	71	49	48	58	48	48	59	47	57	72	60	58	47
68	49	47	60	52	51	60	51	47	58	53	55	55	51	73	60	59	53	58
69	57	58	51	48	56	59	57	48	50	54	60	57	43	51	71	51	59	60
39	48	59	55	41	40	56	47	42	46	48	62	56	57	52	49	57	47	52
46	35	57	45	46	42	49	47	41	47	44	47	55	56	56	38	57	37	40
47	48	41	43	49	50	57	46	49	48	41	45	53	45	55	57	59	44	57
40	42	50	41	44	35	33	56	48	52	37	32	32	47	50	42	38	44	55
46	53	43	47	37	38	36	43	53	56	49	50	36	45	55	31	43	32	51
44	42	50	53	43	45	35	50	43	42	44	29	28	41	46	44	42	53	44
48	38	30	39	37	41	45	30	34	31	36	31	37	31	45	37	43	41	21
41	50	41	36	32	51	52	36	42	47	37	39	36	26	40	36	27	52	39
