#Saved Data from the class pulsed_measurement_logic on 18.11.2022 at 16h47m42s.
#
#Parameters:
#===========
#
#bin width (s): 5.0000000000000001e-09
#record length (s): 8.6824999999999996e-05
#gated counting: False
#extraction parameters: {'conv_std_dev': 2.0, 'method': 'conv_deriv'}
#
#Data:
#=====
#Signal (counts)
5	9	24	12	12	25	9	8	19	13	12	30	16	9	22	13	27	7	25	14	36	8	21	10	29	6	28	15	7	19	10	19	5	27	15	26	6	15	15	17	11	8	20	8	26	13	5	27	3	13	4	20	6	10	29	7	27	3	15	33	11	8	11	35	11	14	6	27	22	6	4	13	22	9	5	17	9	32	5	11	13	23	8	15	27	9	26	9	16	26	7	24	3	11	9	16	10	10	23	5	14	6	3	11	27	6	25	6	11	9	28	3	13	16	9	11	21	22	7	27	3	11	4	6	16	13	21	6	18	26	7	20	10	12	25	9	24	4	20	34	6	14	2	12	25	15	7	13	9	38	2	17	34	13	28	8
7	14	105	8	10	111	12	6	88	9	9	93	16	9	93	17	101	8	87	12	90	5	108	13	90	14	92	15	8	117	11	93	9	91	15	113	8	108	20	41	16	14	81	9	88	12	10	83	4	11	11	95	6	14	88	13	99	11	16	78	11	10	12	96	9	98	9	9	101	10	6	8	101	10	11	22	9	107	5	14	6	107	6	21	88	12	94	9	13	78	8	94	4	11	15	89	20	11	98	7	12	15	5	12	91	14	89	6	11	8	80	7	21	70	4	4	21	91	9	112	9	14	13	4	15	12	105	11	16	113	6	104	6	19	84	11	104	6	10	95	12	109	12	17	98	6	15	12	9	97	10	13	76	9	91	6
12	24	87	23	25	68	36	19	80	32	30	81	40	22	73	27	63	25	97	36	80	21	82	29	75	28	87	36	19	70	19	84	27	86	26	72	15	88	17	102	21	20	64	26	74	35	27	82	7	30	20	77	10	29	70	27	79	17	33	65	25	10	35	88	14	81	7	22	79	23	21	22	71	19	13	28	32	89	7	27	23	92	13	27	62	26	83	12	26	87	24	79	8	26	16	86	35	23	81	12	29	24	5	27	89	25	82	9	27	28	71	13	16	62	20	20	22	79	27	92	12	33	26	15	30	21	76	12	26	71	20	76	15	25	85	24	68	18	34	72	14	94	13	25	75	22	8	32	38	91	10	34	77	28	84	10
40	105	65	82	111	88	89	88	56	101	93	90	93	93	63	101	80	87	72	90	64	108	72	90	71	92	79	76	117	70	93	64	91	72	113	75	108	77	41	69	93	81	57	88	73	96	83	69	31	99	95	88	37	88	74	99	91	31	78	79	104	34	96	74	98	78	46	101	73	111	35	101	72	109	41	98	107	68	40	97	107	81	31	88	70	94	71	40	78	45	94	66	42	101	89	75	88	98	90	39	107	125	37	91	84	89	69	33	93	80	73	40	70	68	110	54	91	71	112	96	48	80	104	40	103	105	74	59	113	77	104	84	45	84	58	104	63	39	95	85	109	66	37	98	69	99	32	104	97	89	50	76	85	91	72	45
32	87	76	80	68	64	71	80	77	83	81	59	75	73	72	63	53	97	89	80	71	82	74	75	60	87	63	85	70	69	84	71	86	87	72	70	88	71	102	63	105	64	71	74	76	85	82	60	29	79	77	77	29	70	66	79	67	31	65	71	77	27	88	73	81	77	35	79	64	96	34	71	60	71	28	87	89	59	32	69	92	86	31	62	67	83	78	26	87	61	79	67	37	78	86	68	78	81	80	35	76	75	32	89	69	82	64	43	62	71	76	39	62	78	75	28	79	77	92	85	40	81	84	47	87	76	74	32	71	62	76	75	37	85	82	68	68	37	72	63	94	78	35	75	77	93	48	82	91	67	34	77	68	84	70	39
37	65	65	74	88	66	74	56	62	66	90	79	60	63	75	80	69	72	73	64	66	72	72	71	51	79	81	83	70	76	64	75	72	77	75	61	77	59	69	53	53	57	53	73	73	62	69	62	44	81	88	81	28	74	68	91	66	33	79	64	72	35	74	64	78	63	36	73	62	91	30	72	66	70	34	60	68	72	36	79	81	76	26	70	62	71	64	34	45	62	66	64	28	79	75	66	76	90	64	30	66	76	34	84	61	69	67	34	78	73	70	43	68	69	67	33	71	72	96	70	29	71	77	24	76	74	70	47	77	70	84	65	36	58	46	63	76	33	85	86	66	70	40	69	60	71	36	67	89	82	28	85	59	72	61	40
40	76	73	73	64	61	67	77	53	56	59	77	63	72	66	53	67	89	77	71	68	74	63	60	54	63	81	65	69	65	71	63	87	64	70	56	71	61	63	63	77	71	67	76	69	67	60	65	23	52	77	80	37	66	53	67	65	21	71	59	65	31	73	63	77	74	32	64	51	84	29	60	62	58	28	57	59	69	24	77	86	70	39	67	59	78	68	32	61	71	67	55	41	64	68	75	56	80	69	31	56	84	28	69	60	64	65	32	48	76	61	37	78	56	73	23	77	65	85	84	36	69	68	31	89	74	55	34	62	51	75	76	34	82	60	68	60	31	63	62	78	57	32	77	62	73	38	64	67	63	52	68	53	70	71	32
40	65	53	43	66	62	55	62	66	54	79	71	53	75	67	69	66	73	54	66	55	72	54	51	58	81	48	60	76	62	75	59	77	45	61	51	59	58	53	51	65	53	41	73	41	62	62	54	20	54	81	63	29	68	60	66	65	41	64	54	66	31	64	49	63	57	26	62	59	62	25	66	58	67	23	72	72	66	25	65	76	62	23	62	65	64	48	34	62	58	64	64	37	65	66	55	57	64	61	33	65	61	30	61	53	67	60	30	40	70	61	32	69	45	57	42	72	48	70	56	33	57	62	34	52	70	63	37	70	58	65	72	32	46	64	76	70	39	86	55	70	73	24	60	64	65	33	71	82	61	35	59	50	61	56	29
34	73	66	58	61	50	48	53	61	70	77	45	66	66	64	67	59	77	59	68	48	63	58	54	52	81	70	54	65	67	63	57	64	52	56	45	61	66	63	53	52	67	43	69	45	53	65	48	22	53	80	54	27	53	58	65	71	28	59	50	51	31	63	59	74	73	29	51	55	62	28	62	44	49	30	43	69	54	31	42	70	66	19	59	46	68	50	23	71	49	55	60	40	49	75	38	52	69	70	34	52	54	28	60	52	65	73	32	57	61	56	26	56	50	59	27	65	59	84	61	25	57	51	36	55	55	47	24	51	48	76	53	32	60	50	60	52	23	62	46	57	59	24	62	65	60	32	47	63	55	25	53	48	71	48	38
32	53	50	50	62	59	62	66	51	52	71	60	57	67	44	66	61	54	51	55	58	54	45	58	35	48	40	48	62	45	59	54	45	54	51	37	58	57	51	43	55	41	44	41	51	42	54	47	25	53	63	49	24	60	61	65	68	22	54	41	65	27	49	54	57	50	25	59	34	55	17	58	54	60	23	73	66	51	25	44	62	52	40	65	60	48	60	25	58	44	64	53	18	53	55	51	61	61	49	27	51	58	21	53	42	60	43	20	47	61	58	27	45	47	50	27	48	37	56	45	15	55	64	29	48	63	50	35	58	46	72	51	30	64	39	70	42	37	55	51	73	57	26	64	57	53	20	60	61	53	30	50	32	56	53	31
