#Saved Data from the class pulsed_measurement_logic on 18.11.2022 at 13h30m02s.
#
#Parameters:
#===========
#
#Approx. measurement time (s): 1.1602601480484009e+02
#Measurement sweeps: -1
#Number of laser pulses: 40
#Laser ignore indices: []
#alternating: False
#analysis parameters: {'signal_start': 8e-08, 'signal_end': 2.8e-07, 'method': 'mean'}
#extraction parameters: {'conv_std_dev': 1.0, 'method': 'conv_deriv'}
#fast counter settings: {'bin_width': 4e-08, 'record_length': 9.308e-05, 'number_of_gates': 0, 'is_gated': False}
#
#Data:
#=====
#Controlled variable(Hz)	Signal
4.700000000000000e+09	6.720000000000000e+01
4.702000000000000e+09	6.740000000000001e+01
4.704000000000000e+09	6.880000000000000e+01
4.706000000000000e+09	8.259999999999999e+01
4.708000000000000e+09	8.759999999999999e+01
4.710000000000000e+09	8.620000000000000e+01
4.712000000000000e+09	9.420000000000000e+01
4.714000000000000e+09	9.720000000000000e+01
4.716000000000000e+09	9.580000000000000e+01
4.718000000000000e+09	9.540000000000001e+01
4.720000000000000e+09	9.520000000000000e+01
4.722000000000000e+09	9.720000000000000e+01
4.724000000000000e+09	9.480000000000000e+01
4.726000000000000e+09	1.132000000000000e+02
4.728000000000000e+09	1.084000000000000e+02
4.730000000000000e+09	1.000000000000000e+02
4.732000000000000e+09	9.759999999999999e+01
4.734000000000000e+09	1.030000000000000e+02
4.736000000000000e+09	1.018000000000000e+02
4.738000000000000e+09	8.059999999999999e+01
4.740000000000000e+09	8.520000000000000e+01
4.742000000000000e+09	7.740000000000001e+01
4.744000000000000e+09	9.320000000000000e+01
4.746000000000000e+09	1.032000000000000e+02
4.748000000000000e+09	9.859999999999999e+01
4.750000000000000e+09	1.056000000000000e+02
4.752000000000000e+09	1.058000000000000e+02
4.754000000000000e+09	1.042000000000000e+02
4.756000000000000e+09	1.048000000000000e+02
4.758000000000000e+09	1.022000000000000e+02
4.760000000000000e+09	1.028000000000000e+02
4.762000000000000e+09	9.459999999999999e+01
4.764000000000000e+09	9.959999999999999e+01
4.766000000000000e+09	8.600000000000000e+01
4.768000000000000e+09	8.400000000000000e+01
4.770000000000000e+09	7.880000000000000e+01
4.772000000000000e+09	7.740000000000001e+01
4.774000000000000e+09	7.580000000000000e+01
4.776000000000000e+09	7.500000000000000e+01
4.778000000000000e+09	6.620000000000000e+01
