#Saved Data from the class pulsed_measurement_logic on 18.11.2022 at 13h49m18s.
#
#Parameters:
#===========
#
#bin width (s): 5.0000000000000001e-09
#record length (s): 3.7030000000000003e-05
#gated counting: False
#extraction parameters: {'conv_std_dev': 5.0, 'method': 'conv_deriv'}
#
#Data:
#=====
#Signal (counts)
37	59	52	47	52	55	48	58	51	57	65	52	55	55	59	62	48	57	68	67	72	49	65	70	56	9	10	13	11	15	15	10	10	12	18	13	17	14	19	59	78	76	62	47	73	53	59	59	64	65	69	62	57	47	60	69	62	52	57	61
49	66	66	64	56	60	75	58	74	37	58	61	52	64	45	61	44	65	61	52	67	49	45	58	64	12	14	11	11	17	11	9	8	15	14	12	51	56	65	74	52	54	66	79	68	77	60	62	63	66	68	52	55	74	56	56	79	62	78	68
63	54	56	66	56	51	55	71	54	62	59	62	81	71	74	55	49	61	59	55	51	55	44	58	45	66	17	9	12	13	11	11	8	15	20	16	72	66	70	64	58	42	75	71	50	59	60	57	52	59	64	60	68	68	45	63	58	79	67	77
60	52	75	70	62	62	57	60	60	67	63	71	59	57	69	53	64	59	54	61	64	59	60	51	54	69	55	22	8	21	15	15	8	15	19	60	54	64	56	50	48	56	42	50	51	55	49	55	56	63	68	70	79	59	74	64	83	79	73	79
83	76	91	68	77	73	77	81	67	64	71	80	72	78	74	92	74	69	68	69	61	63	51	68	55	52	63	46	13	12	9	7	7	14	22	75	40	60	67	55	47	51	49	66	54	65	47	67	73	76	70	82	74	77	84	87	64	88	82	85
66	63	65	54	76	96	95	64	94	69	80	80	64	95	76	80	95	83	77	59	51	53	57	44	38	53	49	58	63	16	15	13	14	11	18	57	42	41	44	38	48	54	46	48	64	58	69	62	74	78	81	79	78	86	84	75	90	73	94	83
67	71	77	92	83	70	82	79	73	82	105	78	82	84	83	77	91	80	75	70	73	55	64	40	49	49	57	61	75	23	77	57	82	20	21	45	35	31	42	50	50	52	64	53	88	82	62	67	74	79	94	86	87	76	67	96	64	96	85	72
50	62	67	61	72	51	60	81	71	76	75	85	78	94	93	92	85	71	91	74	62	56	61	47	52	50	47	62	53	78	78	68	100	73	77	42	38	40	39	45	48	64	80	82	79	87	89	78	79	75	71	87	78	71	64	81	85	85	65	95
56	75	70	79	62	81	69	80	81	68	61	78	99	95	80	85	92	79	85	81	83	69	51	52	46	49	42	46	44	91	80	52	60	87	59	38	29	38	38	56	74	64	66	68	68	71	96	90	74	67	87	95	69	93	71	78	88	58	80	79
80	64	61	57	55	70	69	65	63	63	70	80	76	77	96	84	71	76	93	67	81	71	42	50	48	57	41	48	48	71	81	49	60	77	75	37	31	42	52	57	76	58	69	49	77	80	69	83	90	80	83	70	64	71	83	75	80	75	75	70
78	66	72	70	72	63	70	64	81	67	89	75	77	82	76	75	89	76	68	81	79	66	71	48	59	40	43	37	26	66	70	44	67	73	60	34	29	29	56	63	65	66	72	70	57	82	80	79	63	64	70	68	74	70	82	72	81	69	100	99
76	70	66	54	71	63	74	80	71	67	72	71	75	79	87	73	80	74	75	94	75	71	50	53	51	42	32	42	42	53	61	32	59	56	54	26	46	42	48	58	62	66	77	85	75	77	78	69	76	80	96	79	84	76	82	72	76	83	94	78
80	74	71	76	71	80	79	58	70	84	72	76	86	75	69	90	92	83	75	65	69	54	53	56	57	49	44	35	39	40	49	36	39	59	46	39	33	46	40	49	72	66	71	70	79	81	78	77	79	82	74	77	78	76	85	81	75	101	76	92
