#Saved Data from the class pulsed_measurement_logic on 18.11.2022 at 14h57m32s.
#
#Parameters:
#===========
#
#Approx. measurement time (s): 1.9091704607009888e+02
#Measurement sweeps: -1
#Number of laser pulses: 19
#Laser ignore indices: [0]
#alternating: False
#analysis parameters: {'signal_start': 1.05e-06, 'signal_end': 1.986e-06, 'method': 'mean'}
#extraction parameters: {'conv_std_dev': 8.0, 'method': 'conv_deriv'}
#fast counter settings: {'bin_width': 3e-09, 'record_length': 5.8404e-05, 'number_of_gates': 0, 'is_gated': False}
#
#Data:
#=====
#Controlled variable(s)	Signal
1.000000000000000e-07	8.230769230769230e+00
2.000000000000000e-07	9.429487179487179e+00
3.000000000000000e-07	8.243589743589743e+00
4.000000000000000e-07	8.689102564102564e+00
5.000000000000000e-07	8.435897435897436e+00
6.000000000000000e-07	8.092948717948717e+00
7.000000000000000e-07	8.506410256410257e+00
8.000000000000000e-07	6.772435897435898e+00
9.000000000000000e-07	6.240384615384615e+00
1.000000000000000e-06	8.647435897435898e+00
1.100000000000000e-06	4.663461538461538e+00
1.200000000000000e-06	4.064102564102564e+00
1.300000000000000e-06	4.096153846153846e+00
1.400000000000000e-06	4.032051282051282e+00
1.500000000000000e-06	4.064102564102564e+00
1.600000000000000e-06	4.237179487179487e+00
1.700000000000000e-06	4.173076923076923e+00
1.800000000000000e-06	4.179487179487180e+00
