time(ps)	counts
2420000	1368
2425000	1407
2430000	1421
2435000	1367
2440000	1310
2445000	1410
2450000	1359
2455000	1367
2460000	1348
2465000	1345
2470000	1351
2475000	1356
2480000	1447
2485000	1478
2490000	1576
2495000	1560
2500000	1543
2505000	1554
2510000	1506
2515000	1494
2520000	1512
2525000	1501
2530000	1522
2535000	1447
2540000	1380
2545000	1426
2550000	1467
2555000	1452
2560000	1359
2565000	1388
2570000	1408
2575000	1419
2580000	1395
2585000	1399
2590000	1447
2595000	1327
2600000	1403
2605000	1445
2610000	1393
2615000	1436
2620000	1391
2625000	1321
2630000	1404
2635000	1383
2640000	1386
2645000	1385
2650000	1326
2655000	1331
2660000	1421
2665000	1383
2670000	1377
2675000	1294
2680000	1384
2685000	1357
2690000	1321
2695000	1322
2700000	1438
2705000	1320
2710000	1413
2715000	1368
2720000	1328
2725000	1379
2730000	1451
2735000	1312
2740000	1394
2745000	1371
2750000	1374
2755000	1402
2760000	1322
2765000	1380
2770000	1330
2775000	1388
2780000	1411
2785000	1386
2790000	1335
2795000	1449
2800000	1394
2805000	1463
2810000	1687
2815000	1617
2820000	1561
2825000	1600
2830000	1508
2835000	1488
2840000	1540
2845000	1532
2850000	1484
2855000	1429
2860000	1466
2865000	1537
2870000	1472
2875000	1472
2880000	1396
2885000	1441
2890000	1457
2895000	1437
2900000	1434
2905000	1346
2910000	1334
2915000	1434
2920000	1355
2925000	1387
2930000	1430
2935000	1417
2940000	1406
2945000	1318
2950000	1391
2955000	1380
2960000	1354
2965000	1401
2970000	1356
2975000	1447
2980000	1365
2985000	1415
2990000	1301
2995000	1384
3000000	1420
3005000	1359
3010000	1391
3015000	1416
3020000	1361
3025000	1414
3030000	1326
3035000	1325
3040000	1348
3045000	1319
3050000	1372
3055000	1342
3060000	1357
3065000	1360
3070000	1396
3075000	1345
3080000	1291
3085000	1351
3090000	1352
3095000	1358
3100000	1355
3105000	1316
3110000	1375
3115000	1325
3120000	1419
3125000	1372
3130000	1381
3135000	1335
3140000	1345
3145000	1413
3150000	1599
3155000	1469
3160000	1482
3165000	1474
3170000	1498
3175000	1453
3180000	1478
3185000	1488
3190000	1487
3195000	1399
3200000	1488
3205000	1473
3210000	1398
3215000	1378
3220000	1394
3225000	1423
3230000	1446
3235000	1421
3240000	1459
3245000	1318
3250000	1378
3255000	1439
3260000	1403
3265000	1395
3270000	1433
3275000	1396
3280000	1393
3285000	1437
3290000	1406
3295000	1356
