#Saved Data from the class pulsed_measurement_logic on 18.11.2022 at 13h47m14s.
#
#Parameters:
#===========
#
#Approx. measurement time (s): 2.0301540660858154e+02
#Measurement sweeps: -1
#Number of laser pulses: 60
#Laser ignore indices: []
#alternating: False
#analysis parameters: {'signal_start': 1e-08, 'signal_end': 2.45e-07, 'method': 'mean'}
#extraction parameters: {'conv_std_dev': 5.0, 'method': 'conv_deriv'}
#fast counter settings: {'bin_width': 5e-09, 'record_length': 3.703e-05, 'number_of_gates': 0, 'is_gated': False}
#
#Data:
#=====
#Controlled variable(Hz)	Signal
4.720000000000000e+09	4.585106382978724e+01
4.720500000000000e+09	4.661702127659574e+01
4.721000000000000e+09	4.704255319148936e+01
4.721500000000000e+09	4.795744680851064e+01
4.722000000000000e+09	4.678723404255319e+01
4.722500000000000e+09	4.776595744680851e+01
4.723000000000000e+09	4.736170212765958e+01
4.723500000000000e+09	4.897872340425532e+01
4.724000000000000e+09	4.872340425531915e+01
4.724500000000000e+09	5.040425531914894e+01
4.725000000000000e+09	5.044680851063830e+01
4.725500000000000e+09	4.991489361702128e+01
4.726000000000000e+09	5.265957446808510e+01
4.726500000000000e+09	5.419148936170212e+01
4.727000000000000e+09	5.538297872340426e+01
4.727500000000000e+09	5.082978723404256e+01
4.728000000000000e+09	5.236170212765958e+01
4.728500000000000e+09	5.244680851063830e+01
4.729000000000000e+09	5.268085106382978e+01
4.729500000000000e+09	4.902127659574468e+01
4.730000000000000e+09	4.840425531914894e+01
4.730500000000000e+09	4.457446808510638e+01
4.731000000000000e+09	4.282978723404256e+01
4.731500000000000e+09	3.834042553191490e+01
4.732000000000000e+09	3.368085106382978e+01
4.732500000000000e+09	2.774468085106383e+01
4.733000000000000e+09	2.340425531914894e+01
4.733500000000000e+09	1.814893617021277e+01
4.734000000000000e+09	1.608510638297872e+01
4.734500000000000e+09	1.438297872340426e+01
4.735000000000000e+09	1.504255319148936e+01
4.735500000000000e+09	1.574468085106383e+01
4.736000000000000e+09	1.080851063829787e+01
4.736500000000000e+09	1.353191489361702e+01
4.737000000000000e+09	1.380851063829787e+01
4.737500000000000e+09	1.325531914893617e+01
4.738000000000000e+09	2.551063829787234e+01
4.738500000000000e+09	3.044680851063830e+01
4.739000000000000e+09	3.248936170212766e+01
4.739500000000000e+09	3.663829787234042e+01
4.740000000000000e+09	3.948936170212766e+01
4.740500000000000e+09	4.123404255319149e+01
4.741000000000000e+09	4.263829787234042e+01
4.741500000000000e+09	4.334042553191490e+01
4.742000000000000e+09	4.791489361702128e+01
4.742500000000000e+09	4.865957446808510e+01
4.743000000000000e+09	4.963829787234042e+01
4.743500000000000e+09	5.238297872340426e+01
4.744000000000000e+09	5.287234042553192e+01
4.744500000000000e+09	5.451063829787234e+01
4.745000000000000e+09	5.544680851063830e+01
4.745500000000000e+09	5.434042553191490e+01
4.746000000000000e+09	5.570212765957447e+01
4.746500000000000e+09	5.631914893617022e+01
4.747000000000000e+09	5.685106382978724e+01
4.747500000000000e+09	5.840425531914894e+01
4.748000000000000e+09	5.817021276595744e+01
4.748500000000000e+09	5.927659574468085e+01
4.749000000000000e+09	6.065957446808510e+01
4.749500000000000e+09	5.914893617021276e+01
