#Saved Data from the class pulsed_measurement_logic on 18.11.2022 at 13h49m18s.
#
#Parameters:
#===========
#
#Approx. measurement time (s): 3.2654814600944519e+02
#Measurement sweeps: -1
#Number of laser pulses: 60
#Laser ignore indices: []
#alternating: False
#analysis parameters: {'signal_start': 1e-08, 'signal_end': 2.45e-07, 'method': 'mean'}
#extraction parameters: {'conv_std_dev': 5.0, 'method': 'conv_deriv'}
#fast counter settings: {'bin_width': 5e-09, 'record_length': 3.703e-05, 'number_of_gates': 0, 'is_gated': False}
#
#Data:
#=====
#Controlled variable(Hz)	Signal
4.720000000000000e+09	6.700000000000000e+01
4.720500000000000e+09	6.787234042553192e+01
4.721000000000000e+09	6.942553191489361e+01
4.721500000000000e+09	6.931914893617021e+01
4.722000000000000e+09	6.836170212765957e+01
4.722500000000000e+09	7.006382978723404e+01
4.723000000000000e+09	6.982978723404256e+01
4.723500000000000e+09	7.121276595744681e+01
4.724000000000000e+09	7.170212765957447e+01
4.724500000000000e+09	7.404255319148936e+01
4.725000000000000e+09	7.321276595744681e+01
4.725500000000000e+09	7.387234042553192e+01
4.726000000000000e+09	7.565957446808511e+01
4.726500000000000e+09	7.923404255319149e+01
4.727000000000000e+09	8.042553191489361e+01
4.727500000000000e+09	7.495744680851064e+01
4.728000000000000e+09	7.689361702127660e+01
4.728500000000000e+09	7.723404255319149e+01
4.729000000000000e+09	7.693617021276596e+01
4.729500000000000e+09	7.204255319148936e+01
4.730000000000000e+09	7.285106382978724e+01
4.730500000000000e+09	6.812765957446808e+01
4.731000000000000e+09	6.444680851063829e+01
4.731500000000000e+09	5.900000000000000e+01
4.732000000000000e+09	5.351063829787234e+01
4.732500000000000e+09	4.759574468085106e+01
4.733000000000000e+09	3.931914893617022e+01
4.733500000000000e+09	3.200000000000000e+01
4.734000000000000e+09	2.472340425531915e+01
4.734500000000000e+09	2.374468085106383e+01
4.735000000000000e+09	2.619148936170213e+01
4.735500000000000e+09	1.838297872340426e+01
4.736000000000000e+09	2.368085106382979e+01
4.736500000000000e+09	2.438297872340426e+01
4.737000000000000e+09	2.270212765957447e+01
4.737500000000000e+09	4.046808510638298e+01
4.738000000000000e+09	4.463829787234042e+01
4.738500000000000e+09	5.042553191489362e+01
4.739000000000000e+09	5.368085106382978e+01
4.739500000000000e+09	5.878723404255319e+01
4.740000000000000e+09	6.329787234042553e+01
4.740500000000000e+09	6.359574468085106e+01
4.741000000000000e+09	6.521276595744681e+01
4.741500000000000e+09	6.734042553191489e+01
4.742000000000000e+09	6.938297872340425e+01
4.742500000000000e+09	7.165957446808511e+01
4.743000000000000e+09	7.270212765957447e+01
4.743500000000000e+09	7.514893617021276e+01
4.744000000000000e+09	7.697872340425532e+01
4.744500000000000e+09	7.653191489361703e+01
4.745000000000000e+09	7.742553191489361e+01
4.745500000000000e+09	7.557446808510639e+01
4.746000000000000e+09	7.738297872340425e+01
4.746500000000000e+09	7.748936170212765e+01
4.747000000000000e+09	7.782978723404256e+01
4.747500000000000e+09	8.068085106382979e+01
4.748000000000000e+09	7.959574468085107e+01
4.748500000000000e+09	8.036170212765957e+01
4.749000000000000e+09	8.146808510638297e+01
4.749500000000000e+09	8.017021276595744e+01
