#Saved Data from the class pulsed_measurement_logic on 18.11.2022 at 16h59m44s.
#
#Parameters:
#===========
#
#Approx. measurement time (s): 2.4919875073432922e+02
#Measurement sweeps: -1
#Number of laser pulses: 156
#Laser ignore indices: [0, 1, 2, 4, 5, 6, 8, 9, 10, 12, 13, 14, 16, 17, 18, 20, 21, 22, 24, 25, 26, 28, 29, 30, 32, 33, 34, 36, 37, 38, 40, 41, 42, 44, 45, 46, 48, 49, 50, 52, 53, 54, 56, 57, 58, 60, 61, 62, 64, 65, 66, 68, 69, 70, 72, 73, 74, 76, 77, 78, 80, 81, 82, 84, 85, 86, 88, 89, 90, 92, 93, 94, 96, 97, 98, 100, 101, 102, 104, 105, 106, 108, 109, 110, 112, 113, 114, 116, 117, 118, 120, 121, 122, 124, 125, 126, 128, 129, 130, 132, 133, 134, 136, 137, 138, 140, 141, 142, 144, 145, 146, 148, 149, 150, 152, 153, 154]
#alternating: False
#analysis parameters: {'signal_start': 1.215e-06, 'signal_end': 1.42e-06, 'norm_start': 1.5000000000000002e-08, 'norm_end': 3.1e-07, 'method': 'mean_norm'}
#extraction parameters: {'conv_std_dev': 2.0, 'method': 'conv_deriv'}
#fast counter settings: {'bin_width': 5e-09, 'record_length': 8.6825e-05, 'number_of_gates': 0, 'is_gated': False}
#
#Data:
#=====
#Controlled variable(s)	Signal
2.000000000000000e-08	5.193173419337500e-01
4.000000000000000e-08	4.464918142332108e-01
6.000000000000001e-08	5.385570322769097e-01
8.000000000000000e-08	1.143321867168895e+00
1.000000000000000e-07	1.122691314573294e+00
1.200000000000000e-07	3.029525032092426e-01
1.400000000000000e-07	7.644817073170731e-01
1.600000000000000e-07	5.253154956922703e-01
1.800000000000000e-07	4.654059895029330e-01
2.000000000000000e-07	2.029804262407880e-01
2.200000000000000e-07	4.766253701952149e-01
2.400000000000000e-07	5.115636040895049e-01
2.600000000000001e-07	4.898806434872859e-01
2.800000000000000e-07	5.237973141886477e-01
3.000000000000000e-07	5.135811233372208e-01
3.200000000000000e-07	4.825644039572926e-01
3.400000000000000e-07	5.112597508030073e-01
3.600000000000000e-07	1.796339808716948e-01
3.800000000000000e-07	1.505839798522725e-01
4.000000000000000e-07	2.238699628844114e-01
4.200000000000000e-07	1.903556703591476e+00
4.400000000000000e-07	5.526221460297670e-01
4.600000000000000e-07	5.883559284886816e-01
4.800000000000000e-07	1.976622181316153e-01
5.000000000000001e-07	1.848645261300483e-01
5.200000000000000e-07	1.854469228452968e+00
5.400000000000000e-07	1.852376089486309e+00
5.600000000000000e-07	6.730295768637364e-01
5.800000000000001e-07	6.769772489261917e-01
6.000000000000001e-07	2.283830038888192e-01
6.200000000000000e-07	6.404646630735971e-01
6.400000000000000e-07	2.052629631000407e-01
6.600000000000000e-07	1.915285131499002e-01
6.800000000000001e-07	1.637510513036165e+00
7.000000000000001e-07	1.892931532621111e-01
7.200000000000000e-07	1.783733654827043e+00
7.400000000000000e-07	1.710315873650540e+00
7.600000000000000e-07	4.365040650406504e-01
7.800000000000000e-07	2.820893423540257e-01
