#Saved Data from the class pulsed_measurement_logic on 18.11.2022 at 14h07m31s.
#
#Parameters:
#===========
#
#Approx. measurement time (s): 1.7398771905899048e+02
#Measurement sweeps: -1
#Number of laser pulses: 33
#Laser ignore indices: [0]
#alternating: False
#analysis parameters: {'signal_start': 1.05e-06, 'signal_end': 1.986e-06, 'method': 'mean'}
#extraction parameters: {'conv_std_dev': 10.0, 'method': 'conv_deriv'}
#fast counter settings: {'bin_width': 3e-09, 'record_length': 8.4513e-05, 'number_of_gates': 0, 'is_gated': False}
#
#Data:
#=====
#Controlled variable(s)	Signal
3.000000000000000e-08	5.115384615384615e+00
5.999999999999999e-08	4.967948717948718e+00
8.999999999999999e-08	5.227564102564102e+00
1.200000000000000e-07	4.977564102564102e+00
1.500000000000000e-07	4.551282051282051e+00
1.800000000000000e-07	5.179487179487180e+00
2.100000000000000e-07	4.346153846153846e+00
2.400000000000000e-07	4.951923076923077e+00
2.700000000000000e-07	4.346153846153846e+00
2.999999999999999e-07	3.791666666666667e+00
3.300000000000000e-07	4.067307692307693e+00
3.599999999999999e-07	3.967948717948718e+00
3.899999999999999e-07	3.788461538461538e+00
4.199999999999999e-07	3.554487179487179e+00
4.499999999999999e-07	3.631410256410256e+00
4.800000000000000e-07	3.330128205128205e+00
5.100000000000000e-07	3.105769230769231e+00
5.400000000000000e-07	3.131410256410256e+00
5.699999999999999e-07	3.048076923076923e+00
6.000000000000000e-07	2.923076923076923e+00
6.300000000000000e-07	2.932692307692307e+00
6.599999999999999e-07	2.894230769230769e+00
6.900000000000000e-07	2.487179487179487e+00
7.200000000000000e-07	2.634615384615385e+00
7.499999999999999e-07	2.461538461538462e+00
7.799999999999999e-07	2.185897435897436e+00
8.100000000000000e-07	2.192307692307693e+00
8.400000000000000e-07	1.865384615384615e+00
8.699999999999999e-07	1.599358974358974e+00
9.000000000000000e-07	1.362179487179487e+00
9.300000000000000e-07	1.060897435897436e+00
9.599999999999999e-07	1.028846153846154e+00
