#Saved Data from the class pulsed_measurement_logic on 18.11.2022 at 16h47m42s.
#
#Parameters:
#===========
#
#Approx. measurement time (s): 2.1392919182777405e+02
#Measurement sweeps: -1
#Number of laser pulses: 156
#Laser ignore indices: [0, 1, 2, 4, 5, 6, 8, 9, 10, 12, 13, 14, 16, 17, 18, 20, 21, 22, 24, 25, 26, 28, 29, 30, 32, 33, 34, 36, 37, 38, 40, 41, 42, 44, 45, 46, 48, 49, 50, 52, 53, 54, 56, 57, 58, 60, 61, 62, 64, 65, 66, 68, 69, 70, 72, 73, 74, 76, 77, 78, 80, 81, 82, 84, 85, 86, 88, 89, 90, 92, 93, 94, 96, 97, 98, 100, 101, 102, 104, 105, 106, 108, 109, 110, 112, 113, 114, 116, 117, 118, 120, 121, 122, 124, 125, 126, 128, 129, 130, 132, 133, 134, 136, 137, 138, 140, 141, 142, 144, 145, 146, 148, 149, 150, 152, 153, 154]
#alternating: False
#analysis parameters: {'signal_start': 1.215e-06, 'signal_end': 1.42e-06, 'norm_start': 1.5000000000000002e-08, 'norm_end': 3.1e-07, 'method': 'mean_norm'}
#extraction parameters: {'conv_std_dev': 2.0, 'method': 'conv_deriv'}
#fast counter settings: {'bin_width': 5e-09, 'record_length': 8.6825e-05, 'number_of_gates': 0, 'is_gated': False}
#
#Data:
#=====
#Controlled variable(s)	Signal
2.000000000000000e-08	1.585139892532889e-01
4.000000000000000e-08	4.448157935644334e-01
6.000000000000001e-08	4.917883964677726e-01
8.000000000000000e-08	2.150145772594752e-01
1.000000000000000e-07	2.341269841269841e-01
1.200000000000000e-07	2.027491408934708e-01
1.400000000000000e-07	1.662440123978585e-01
1.600000000000000e-07	2.839097744360902e-01
1.800000000000000e-07	2.237673830594185e-01
2.000000000000000e-07	2.263114244246320e-01
2.200000000000000e-07	4.075353218210361e-01
2.400000000000000e-07	5.498021978021979e-01
2.600000000000001e-07	4.538836959219125e-01
2.800000000000000e-07	5.082777736160011e-01
3.000000000000000e-07	2.199274632278863e-01
3.200000000000000e-07	2.151975683890578e-01
3.400000000000000e-07	1.611262830775026e-01
3.600000000000000e-07	1.576958525345622e-01
3.800000000000000e-07	2.046306711661043e-01
4.000000000000000e-07	2.318154342131775e-01
4.200000000000000e-07	2.100048100048100e-01
4.400000000000000e-07	3.736692138324052e+00
4.600000000000000e-07	6.182713837886251e-01
4.800000000000000e-07	5.923063255152807e-01
5.000000000000001e-07	3.839682539682540e+00
5.200000000000000e-07	2.316162389888931e-01
5.400000000000000e-07	3.523243112028159e+00
5.600000000000000e-07	3.549252634158294e+00
5.800000000000001e-07	4.304721030042918e+00
6.000000000000001e-07	1.001558143349188e+00
6.200000000000000e-07	3.565934065934066e+00
6.400000000000000e-07	4.063381160324393e+00
6.600000000000000e-07	1.951771567859319e-01
6.800000000000001e-07	1.838609152041988e-01
7.000000000000001e-07	2.365307519311626e-01
7.200000000000000e-07	2.161172161172161e-01
7.400000000000000e-07	2.431318681318681e-01
7.600000000000000e-07	2.409802586793737e-01
7.800000000000000e-07	1.607438995498697e-01
