#Saved Data from the class pulsed_measurement_logic on 18.11.2022 at 17h20m00s.
#
#Parameters:
#===========
#
#Approx. measurement time (s): 5.9245261001586914e+02
#Measurement sweeps: -1
#Number of laser pulses: 156
#Laser ignore indices: [0, 1, 2, 4, 5, 6, 8, 9, 10, 12, 13, 14, 16, 17, 18, 20, 21, 22, 24, 25, 26, 28, 29, 30, 32, 33, 34, 36, 37, 38, 40, 41, 42, 44, 45, 46, 48, 49, 50, 52, 53, 54, 56, 57, 58, 60, 61, 62, 64, 65, 66, 68, 69, 70, 72, 73, 74, 76, 77, 78, 80, 81, 82, 84, 85, 86, 88, 89, 90, 92, 93, 94, 96, 97, 98, 100, 101, 102, 104, 105, 106, 108, 109, 110, 112, 113, 114, 116, 117, 118, 120, 121, 122, 124, 125, 126, 128, 129, 130, 132, 133, 134, 136, 137, 138, 140, 141, 142, 144, 145, 146, 148, 149, 150, 152, 153, 154]
#alternating: False
#analysis parameters: {'signal_start': 1.215e-06, 'signal_end': 1.42e-06, 'norm_start': 1.5000000000000002e-08, 'norm_end': 3.4500000000000003e-07, 'method': 'mean_norm'}
#extraction parameters: {'conv_std_dev': 1.0, 'method': 'conv_deriv'}
#fast counter settings: {'bin_width': 5e-09, 'record_length': 8.6825e-05, 'number_of_gates': 0, 'is_gated': False}
#
#Data:
#=====
#Controlled variable(s)	Signal
2.000000000000000e-08	6.990509918481587e-01
4.000000000000000e-08	6.779666697388375e-01
6.000000000000001e-08	7.053025652553583e-01
8.000000000000000e-08	1.026965167012374e+00
1.000000000000000e-07	5.446131645947537e-01
1.200000000000000e-07	4.840793992665464e-01
1.400000000000000e-07	7.664072421765605e-01
1.600000000000000e-07	7.179726116198039e-01
1.800000000000000e-07	5.803582755236257e-01
2.000000000000000e-07	3.294115774055913e-01
2.200000000000000e-07	2.769586957570301e-01
2.400000000000000e-07	2.791729994451280e-01
2.600000000000001e-07	2.928737862533500e-01
2.800000000000000e-07	3.005326604990188e-01
3.000000000000000e-07	1.745942090999857e+00
3.200000000000000e-07	6.063248227633108e-01
3.400000000000000e-07	2.875498063197586e-01
3.600000000000000e-07	1.724694772720923e+00
3.800000000000000e-07	1.745076028166139e+00
4.000000000000000e-07	5.748816891153985e-01
4.200000000000000e-07	6.228143213988343e-01
4.400000000000000e-07	6.212867417135710e-01
4.600000000000000e-07	3.176798932168426e-01
4.800000000000000e-07	6.597431240269850e-01
5.000000000000001e-07	3.075484236174350e-01
5.200000000000000e-07	2.958642629904560e-01
5.400000000000000e-07	1.740650103255974e+00
5.600000000000000e-07	7.184934623068858e-01
5.800000000000001e-07	8.305656460819927e-01
6.000000000000001e-07	8.033695758644332e-01
6.200000000000000e-07	7.893870372696680e-01
6.400000000000000e-07	7.490169473663411e-01
6.600000000000000e-07	6.992665036674817e-01
6.800000000000001e-07	3.217319813647574e-01
7.000000000000001e-07	1.604501181029221e+00
7.200000000000000e-07	6.383439498960624e-01
7.400000000000000e-07	2.930805938494167e-01
7.600000000000000e-07	3.125842177022620e-01
7.800000000000000e-07	2.476115936604082e-01
