#Saved Data from the class wavemeter_logger_logic on 22.11.2022 at 14h17m26s.
#
#Parameters:
#===========
#
#Start Time (s): 22.11.2022 14h:17min:02s
#Stop Time (s): 22.11.2022 14h:17min:26s
#
#Data:
#=====
#Measurement Time (s)	Signal (counts/s)	Interpolated Wavelength (nm)
1.448744773865e+00	1.150000000000e+03	7.370750669103e+02
1.468667984009e+00	1.400000000000e+03	7.370750669103e+02
1.488642215729e+00	1.250000000000e+03	7.370750669103e+02
1.508708715439e+00	1.250000000000e+03	7.370750669103e+02
1.528955221176e+00	1.600000000000e+03	7.370750669103e+02
1.549019575119e+00	1.250000000000e+03	7.370750669103e+02
1.569858074188e+00	1.250000000000e+03	7.370750669103e+02
1.588978528976e+00	1.100000000000e+03	7.370750669103e+02
1.608371496201e+00	1.100000000000e+03	7.370750669103e+02
1.628923177719e+00	1.100000000000e+03	7.370750669103e+02
1.648961305618e+00	1.100000000000e+03	7.370750669103e+02
1.669494390488e+00	1.600000000000e+03	7.370750669103e+02
1.689230680466e+00	1.250000000000e+03	7.370750669103e+02
1.708763837814e+00	1.350000000000e+03	7.370750669103e+02
1.728942632675e+00	1.050000000000e+03	7.370750669103e+02
1.748960733414e+00	8.500000000000e+02	7.370750669103e+02
1.769753456116e+00	8.000000000000e+02	7.370750669103e+02
1.788696765900e+00	7.500000000000e+02	7.370750669103e+02
1.808348178864e+00	1.150000000000e+03	7.370750669103e+02
1.828294754028e+00	1.100000000000e+03	7.370750669103e+02
1.848615884781e+00	8.000000000000e+02	7.370750669103e+02
1.868937730789e+00	6.500000000000e+02	7.370750669103e+02
1.888801097870e+00	9.500000000000e+02	7.370750669103e+02
1.908961772919e+00	1.050000000000e+03	7.370750669103e+02
1.929675102234e+00	5.000000000000e+02	7.370750669103e+02
1.949022293091e+00	1.250000000000e+03	7.370750669103e+02
1.969011068344e+00	9.000000000000e+02	7.370750669103e+02
1.988978624344e+00	7.500000000000e+02	7.370750669103e+02
2.009123563766e+00	7.000000000000e+02	7.370750669103e+02
2.029063463211e+00	6.000000000000e+02	7.370750669103e+02
2.048932552338e+00	8.000000000000e+02	7.370750669103e+02
2.069370031357e+00	8.000000000000e+02	7.370750669103e+02
2.089344024658e+00	5.500000000000e+02	7.370750669103e+02
2.109026193619e+00	5.000000000000e+02	7.370750669103e+02
2.128833055496e+00	7.000000000000e+02	7.370750669103e+02
2.149357080460e+00	4.500000000000e+02	7.370750669103e+02
2.168302297592e+00	3.000000000000e+02	7.370750669103e+02
2.188248157501e+00	6.500000000000e+02	7.370750669103e+02
2.208195447922e+00	4.500000000000e+02	7.370750669103e+02
2.228945493698e+00	2.500000000000e+02	7.370750669103e+02
2.249106645584e+00	0.000000000000e+00	7.370750669103e+02
2.268716573715e+00	2.000000000000e+02	7.370750669103e+02
2.288727521896e+00	4.000000000000e+02	7.370750669103e+02
2.309014081955e+00	5.000000000000e+02	7.370750669103e+02
2.328974962234e+00	6.000000000000e+02	7.370750669103e+02
2.348448753357e+00	6.000000000000e+02	7.370750669103e+02
2.368583679199e+00	5.000000000000e+02	7.370750669103e+02
2.389019250870e+00	4.500000000000e+02	7.370750669103e+02
2.409013032913e+00	4.000000000000e+02	7.370750669103e+02
2.429103136063e+00	3.000000000000e+02	7.370750669103e+02
2.449227571487e+00	4.000000000000e+02	7.370750669103e+02
2.468938350677e+00	6.000000000000e+02	7.370750669103e+02
2.488185644150e+00	3.500000000000e+02	7.370750669103e+02
2.508589744568e+00	3.500000000000e+02	7.370750669103e+02
2.529200077057e+00	2.500000000000e+02	7.370750669103e+02
2.549166440964e+00	2.000000000000e+02	7.370750669103e+02
2.569097280502e+00	4.500000000000e+02	7.370750669103e+02
2.589024066925e+00	5.500000000000e+02	7.370750669103e+02
2.608933448792e+00	1.000000000000e+02	7.370750669103e+02
2.628471374512e+00	4.000000000000e+02	7.370750669103e+02
2.648979187012e+00	3.000000000000e+02	7.370750669103e+02
2.668670177460e+00	2.000000000000e+02	7.370750669103e+02
2.689630985260e+00	3.000000000000e+02	7.370750669103e+02
