#Saved Data from the class wavemeter_logger_logic on 22.11.2022 at 14h13m09s.
#
#Parameters:
#===========
#
#Start Time (s): 22.11.2022 14h:12min:41s
#Stop Time (s): 22.11.2022 14h:13min:09s
#
#Data:
#=====
#Measurement Time (s)	Signal (counts/s)	Interpolated Wavelength (nm)
3.989696502686e-03	1.700000000000e+03	7.370757289242e+02
2.593088150024e-02	1.300000000000e+03	7.370757289242e+02
4.467940330505e-02	2.150000000000e+03	7.370757289242e+02
6.444168090820e-02	2.150000000000e+03	7.370757289242e+02
8.473277091980e-02	2.400000000000e+03	7.370757289242e+02
1.045763492584e-01	1.850000000000e+03	7.370757289242e+02
1.299448013306e-01	1.950000000000e+03	7.370757289270e+02
1.500101089478e-01	2.650000000000e+03	7.370757289413e+02
1.671240329742e-01	1.700000000000e+03	7.370757289654e+02
2.000722885132e-01	2.000000000000e+03	7.370757290117e+02
3.509380817413e-01	2.350000000000e+03	7.370757292241e+02
3.970606327057e-01	2.300000000000e+03	7.370757295472e+02
3.980302810669e-01	1.850000000000e+03	7.370757295540e+02
3.990385532379e-01	1.600000000000e+03	7.370757295611e+02
4.000585079193e-01	2.250000000000e+03	7.370757295682e+02
4.000585079193e-01	2.750000000000e+03	7.370757295682e+02
4.010229110718e-01	2.200000000000e+03	7.370757295424e+02
4.010229110718e-01	1.900000000000e+03	7.370757295424e+02
4.010229110718e-01	1.950000000000e+03	7.370757295424e+02
4.010229110718e-01	2.250000000000e+03	7.370757295424e+02
4.070069789886e-01	2.100000000000e+03	7.370757293824e+02
4.239614009857e-01	2.350000000000e+03	7.370757291689e+02
4.450783729553e-01	2.250000000000e+03	7.370757291689e+02
4.640276432037e-01	2.100000000000e+03	7.370757293654e+02
4.839920997620e-01	1.850000000000e+03	7.370757294691e+02
5.049185752869e-01	1.500000000000e+03	7.370757293976e+02
5.240268707275e-01	2.050000000000e+03	7.370757293939e+02
5.439698696136e-01	2.150000000000e+03	7.370757294179e+02
5.642817020416e-01	2.250000000000e+03	7.370757294876e+02
5.846621990204e-01	1.900000000000e+03	7.370757294561e+02
6.046862602234e-01	2.000000000000e+03	7.370757294212e+02
6.247351169586e-01	2.450000000000e+03	7.370757294212e+02
6.447560787201e-01	2.200000000000e+03	7.370757300080e+02
6.647739410400e-01	1.650000000000e+03	7.370757311352e+02
6.847212314606e-01	2.600000000000e+03	7.370757351264e+02
7.046699523926e-01	1.750000000000e+03	7.370757369223e+02
7.247099876404e-01	1.800000000000e+03	7.370757369223e+02
7.447130680084e-01	1.800000000000e+03	7.370757419072e+02
7.645299434662e-01	1.650000000000e+03	7.370757472805e+02
7.848322391510e-01	2.000000000000e+03	7.370757533165e+02
8.051366806030e-01	1.800000000000e+03	7.370757536136e+02
8.247210979462e-01	2.200000000000e+03	7.370757561786e+02
8.449618816376e-01	2.450000000000e+03	7.370757621836e+02
8.640427589417e-01	2.450000000000e+03	7.370757681840e+02
8.842825889587e-01	2.050000000000e+03	7.370757723823e+02
9.041709899902e-01	2.050000000000e+03	7.370757723823e+02
9.241392612457e-01	2.050000000000e+03	7.370757769311e+02
9.441249370575e-01	2.100000000000e+03	7.370757830837e+02
9.641516208649e-01	1.400000000000e+03	7.370757897413e+02
9.845764636993e-01	1.950000000000e+03	7.370757954965e+02
1.004917383194e+00	2.200000000000e+03	7.370758008016e+02
1.025462150574e+00	6.500000000000e+02	7.370758055302e+02
1.044998884201e+00	0.000000000000e+00	7.370758099851e+02
1.064948797226e+00	0.000000000000e+00	7.370758106671e+02
1.084891319275e+00	1.100000000000e+03	7.370758156392e+02
1.104162693024e+00	1.850000000000e+03	7.370758206957e+02
1.124894857407e+00	1.600000000000e+03	7.370758209572e+02
1.144712448120e+00	1.700000000000e+03	7.370758252984e+02
1.164460420609e+00	1.950000000000e+03	7.370758307862e+02
1.185163497925e+00	2.150000000000e+03	7.370758379724e+02
1.204141378403e+00	1.650000000000e+03	7.370758439014e+02
1.225025653839e+00	1.700000000000e+03	7.370758494556e+02
1.244833230972e+00	1.600000000000e+03	7.370758512509e+02
1.264016389847e+00	1.600000000000e+03	7.370758537311e+02
1.285082578659e+00	1.650000000000e+03	7.370758602388e+02
1.304811477661e+00	1.700000000000e+03	7.370758660666e+02
1.324680566788e+00	2.500000000000e+02	7.370758714410e+02
1.344735860825e+00	1.100000000000e+03	7.370758714410e+02
1.364789247513e+00	1.600000000000e+03	7.370758737181e+02
1.384162664413e+00	1.350000000000e+03	7.370758814070e+02
1.404193162918e+00	1.200000000000e+03	7.370758894402e+02
1.424090385437e+00	1.450000000000e+03	7.370758914210e+02
1.444696903229e+00	1.450000000000e+03	7.370758929115e+02
1.464026689529e+00	1.350000000000e+03	7.370758989967e+02
1.490132331848e+00	1.250000000000e+03	7.370759064284e+02
1.507079362869e+00	1.500000000000e+03	7.370759110217e+02
1.524381875992e+00	1.450000000000e+03	7.370759110217e+02
1.544839859009e+00	1.450000000000e+03	7.370759136779e+02
1.564774751663e+00	1.300000000000e+03	7.370759197094e+02
1.585090875626e+00	1.150000000000e+03	7.370759269686e+02
1.604059696198e+00	8.000000000000e+02	7.370759310889e+02
1.624698162079e+00	1.750000000000e+03	7.370759310889e+02
1.645472049713e+00	9.000000000000e+02	7.370759364993e+02
1.664355278015e+00	1.100000000000e+03	7.370759431337e+02
1.684356451035e+00	1.250000000000e+03	7.370759492622e+02
1.704663038254e+00	1.350000000000e+03	7.370759507120e+02
1.724143743515e+00	1.100000000000e+03	7.370759517929e+02
1.744064331055e+00	8.500000000000e+02	7.370759571710e+02
1.764985799789e+00	1.350000000000e+03	7.370759634350e+02
1.784933328629e+00	1.100000000000e+03	7.370759700519e+02
1.806192636490e+00	1.050000000000e+03	7.370759769386e+02
1.824227094650e+00	1.250000000000e+03	7.370759805150e+02
1.844153165817e+00	1.500000000000e+03	7.370759805150e+02
1.865091800690e+00	1.450000000000e+03	7.370759859150e+02
1.884125471115e+00	6.000000000000e+02	7.370759915273e+02
1.906683683395e+00	1.350000000000e+03	7.370759976696e+02
1.924705505371e+00	7.500000000000e+02	7.370760003741e+02
1.945106744766e+00	1.150000000000e+03	7.370760014507e+02
1.964430570602e+00	7.500000000000e+02	7.370760083380e+02
1.985083580017e+00	8.500000000000e+02	7.370760149536e+02
2.004700422287e+00	5.500000000000e+02	7.370760205889e+02
2.024643659592e+00	1.000000000000e+03	7.370760205889e+02
2.044783115387e+00	1.100000000000e+03	7.370760243633e+02
2.064435720444e+00	8.000000000000e+02	7.370760312377e+02
2.084359407425e+00	1.450000000000e+03	7.370760376104e+02
2.104294776917e+00	8.000000000000e+02	7.370760411229e+02
2.124435424805e+00	6.000000000000e+02	7.370760411229e+02
2.144881486893e+00	9.000000000000e+02	7.370760450273e+02
2.164826393127e+00	1.150000000000e+03	7.370760497541e+02
2.184266090393e+00	9.500000000000e+02	7.370760557550e+02
2.204112052917e+00	9.500000000000e+02	7.370760625773e+02
2.224749803543e+00	8.000000000000e+02	7.370760691705e+02
2.244710206985e+00	4.500000000000e+02	7.370760753337e+02
2.264718294144e+00	9.000000000000e+02	7.370760813598e+02
2.285284280777e+00	5.000000000000e+02	7.370760816609e+02
2.304436445236e+00	3.000000000000e+02	7.370760864431e+02
2.324923276901e+00	5.000000000000e+02	7.370760934746e+02
2.343953609467e+00	8.000000000000e+02	7.370760984526e+02
2.364896774292e+00	6.000000000000e+02	7.370761018444e+02
2.384847402573e+00	5.500000000000e+02	7.370761018444e+02
2.404270410538e+00	8.500000000000e+02	7.370761084585e+02
2.425133943558e+00	8.500000000000e+02	7.370761116543e+02
2.444083929062e+00	5.000000000000e+02	7.370761122914e+02
2.464538335800e+00	4.500000000000e+02	7.370761188253e+02
2.484461784363e+00	7.000000000000e+02	7.370761254742e+02
2.504126071930e+00	4.000000000000e+02	7.370761315685e+02
2.524048089981e+00	5.000000000000e+02	7.370761315685e+02
2.544802427292e+00	4.500000000000e+02	7.370761341176e+02
2.564700126648e+00	8.000000000000e+02	7.370761399021e+02
2.584208726883e+00	7.000000000000e+02	7.370761465423e+02
2.604713916779e+00	5.500000000000e+02	7.370761533567e+02
2.624848127365e+00	6.500000000000e+02	7.370761590347e+02
2.644457340240e+00	8.500000000000e+02	7.370761613898e+02
2.664153337479e+00	7.000000000000e+02	7.370761613898e+02
2.684026002884e+00	4.500000000000e+02	7.370761696208e+02
2.705081701279e+00	6.500000000000e+02	7.370761715981e+02
2.724739313126e+00	1.000000000000e+03	7.370761730554e+02
2.744704246521e+00	8.000000000000e+02	7.370761795299e+02
2.764749526978e+00	9.000000000000e+02	7.370761860296e+02
2.784931182861e+00	5.500000000000e+02	7.370761925526e+02
2.805028915405e+00	4.500000000000e+02	7.370761986580e+02
2.825620651245e+00	7.000000000000e+02	7.370762026045e+02
2.844570398331e+00	5.500000000000e+02	7.370762026045e+02
2.864476442337e+00	5.500000000000e+02	7.370762078007e+02
2.884039163589e+00	3.500000000000e+02	7.370762141161e+02
2.904307126999e+00	7.000000000000e+02	7.370762203035e+02
2.925672292709e+00	3.500000000000e+02	7.370762269119e+02
2.945229053497e+00	4.500000000000e+02	7.370762330196e+02
2.964416027069e+00	4.500000000000e+02	7.370762336420e+02
2.984743118286e+00	2.500000000000e+02	7.370762372492e+02
3.004351854324e+00	5.500000000000e+02	7.370762429773e+02
3.025467634201e+00	4.000000000000e+02	7.370762510586e+02
3.044730663300e+00	2.500000000000e+02	7.370762541951e+02
3.064152002335e+00	5.000000000000e+02	7.370762541951e+02
3.085037231445e+00	3.000000000000e+02	7.370762604389e+02
3.104779005051e+00	4.000000000000e+02	7.370762665573e+02
3.125225543976e+00	3.000000000000e+02	7.370762726477e+02
3.145140886307e+00	4.000000000000e+02	7.370762753122e+02
3.164100170135e+00	7.000000000000e+02	7.370762766649e+02
3.184144258499e+00	4.500000000000e+02	7.370762834445e+02
3.204616069794e+00	2.500000000000e+02	7.370762899916e+02
3.224552631378e+00	7.000000000000e+02	7.370762959044e+02
3.244499444962e+00	4.500000000000e+02	7.370762959044e+02
3.264571189880e+00	3.500000000000e+02	7.370762997425e+02
3.284537076950e+00	3.500000000000e+02	7.370763059636e+02
3.304169416428e+00	4.000000000000e+02	7.370763099189e+02
3.324519634247e+00	5.000000000000e+02	7.370763140189e+02
3.344560861588e+00	4.500000000000e+02	7.370763153977e+02
3.364760875702e+00	6.000000000000e+02	7.370763218343e+02
3.384663105011e+00	2.500000000000e+02	7.370763272463e+02
3.404434442520e+00	3.000000000000e+02	7.370763313333e+02
3.424154281616e+00	6.000000000000e+02	7.370763354097e+02
3.444954872131e+00	7.000000000000e+02	7.370763371857e+02
3.464347124100e+00	6.000000000000e+02	7.370763421005e+02
3.484080314636e+00	5.000000000000e+02	7.370763481303e+02
3.504433870316e+00	4.000000000000e+02	7.370763554406e+02
3.524243116379e+00	4.000000000000e+02	7.370763588461e+02
3.544544696808e+00	2.500000000000e+02	7.370763623362e+02
3.564491510391e+00	5.000000000000e+02	7.370763647404e+02
3.584460020065e+00	1.000000000000e+02	7.370763695253e+02
3.604169607162e+00	2.000000000000e+02	7.370763744986e+02
3.624765396118e+00	4.000000000000e+02	7.370763842540e+02
3.644711494446e+00	3.500000000000e+02	7.370763847481e+02
3.664089202881e+00	6.500000000000e+02	7.370763863621e+02
3.684773206711e+00	2.500000000000e+02	7.370763919414e+02
3.704739093781e+00	6.000000000000e+02	7.370763979180e+02
3.725663185120e+00	6.500000000000e+02	7.370764051102e+02
3.744635820389e+00	4.500000000000e+02	7.370764054531e+02
3.764579772949e+00	2.000000000000e+02	7.370764066332e+02
3.784947633743e+00	1.500000000000e+02	7.370764146127e+02
3.804908514023e+00	4.500000000000e+02	7.370764206285e+02
3.825132608414e+00	5.500000000000e+02	7.370764265521e+02
3.844081878662e+00	5.000000000000e+01	7.370764326142e+02
3.864926338196e+00	2.500000000000e+02	7.370764358580e+02
3.884872674942e+00	1.500000000000e+02	7.370764370198e+02
3.904329061508e+00	2.500000000000e+02	7.370764426975e+02
3.924272775650e+00	6.000000000000e+02	7.370764461890e+02
3.944219827652e+00	4.500000000000e+02	7.370764461890e+02
3.964545965195e+00	3.000000000000e+02	7.370764461890e+02
3.985407352448e+00	2.500000000000e+02	7.370764529724e+02
4.004997491837e+00	3.000000000000e+02	7.370764673044e+02
4.027178525925e+00	2.000000000000e+02	7.370764736242e+02
4.046106815338e+00	3.000000000000e+02	7.370764778793e+02
4.064151525497e+00	3.000000000000e+02	7.370764778793e+02
4.084157228470e+00	4.500000000000e+02	7.370764826452e+02
4.104660034180e+00	1.000000000000e+02	7.370764905429e+02
4.124502420425e+00	4.500000000000e+02	7.370764953961e+02
4.144423484802e+00	3.500000000000e+02	7.370764975855e+02
4.164775371552e+00	1.500000000000e+02	7.370764990520e+02
4.185384511948e+00	4.500000000000e+02	7.370765066597e+02
4.204550504684e+00	2.000000000000e+02	7.370765133661e+02
4.224037885666e+00	1.000000000000e+02	7.370765199879e+02
4.245096445084e+00	2.000000000000e+02	7.370765274632e+02
4.264707565308e+00	2.500000000000e+02	7.370765305306e+02
4.284655332565e+00	1.500000000000e+02	7.370765308928e+02
4.304601907730e+00	2.000000000000e+02	7.370765381342e+02
4.324767351151e+00	2.500000000000e+02	7.370765450061e+02
4.344775199890e+00	3.000000000000e+02	7.370765514224e+02
4.364759683609e+00	2.500000000000e+02	7.370765516048e+02
4.384830951691e+00	2.000000000000e+02	7.370765516048e+02
4.404071569443e+00	2.000000000000e+02	7.370765560209e+02
4.425114870071e+00	1.500000000000e+02	7.370765634645e+02
4.444172143936e+00	1.500000000000e+02	7.370765701578e+02
4.465107202530e+00	5.000000000000e+01	7.370765729621e+02
4.484575748444e+00	1.000000000000e+02	7.370765759505e+02
4.504161596298e+00	3.500000000000e+02	7.370765806374e+02
4.524331569672e+00	3.500000000000e+02	7.370765867533e+02
4.544590950012e+00	1.500000000000e+02	7.370765937760e+02
4.564337015152e+00	1.000000000000e+02	7.370765937760e+02
4.584333896637e+00	1.000000000000e+02	7.370765982963e+02
4.605742931366e+00	4.000000000000e+02	7.370766036008e+02
4.624777317047e+00	2.500000000000e+02	7.370766111442e+02
4.644721508026e+00	3.500000000000e+02	7.370766187343e+02
4.664668083191e+00	2.000000000000e+02	7.370766256654e+02
4.684646368027e+00	2.000000000000e+02	7.370766260124e+02
4.704806089401e+00	1.500000000000e+02	7.370766293927e+02
4.724160194397e+00	1.500000000000e+02	7.370766365264e+02
4.745106458664e+00	2.000000000000e+02	7.370766434548e+02
4.764671325684e+00	2.500000000000e+02	7.370766478805e+02
4.784176111221e+00	2.500000000000e+02	7.370766478805e+02
4.804147005081e+00	2.000000000000e+02	7.370766548379e+02
4.825201034546e+00	3.500000000000e+02	7.370766629042e+02
4.844727993011e+00	3.500000000000e+02	7.370766689577e+02
4.864295244217e+00	1.500000000000e+02	7.370766704967e+02
4.884581565857e+00	2.000000000000e+02	7.370766718604e+02
4.904702186584e+00	1.500000000000e+02	7.370766787378e+02
4.924590826035e+00	2.000000000000e+02	7.370766856619e+02
4.946745872498e+00	2.000000000000e+02	7.370766931190e+02
4.964699506760e+00	1.500000000000e+02	7.370766931190e+02
4.984732389450e+00	1.500000000000e+02	7.370766964574e+02
5.004591941833e+00	2.500000000000e+02	7.370767031111e+02
5.024606227875e+00	5.000000000000e+01	7.370767102459e+02
5.045608282089e+00	2.000000000000e+02	7.370767148033e+02
5.064725637436e+00	2.000000000000e+02	7.370767148033e+02
5.084737777710e+00	2.500000000000e+02	7.370767207975e+02
5.104758024216e+00	2.500000000000e+02	7.370767277438e+02
5.125096082687e+00	2.000000000000e+02	7.370767350850e+02
5.147145748138e+00	2.500000000000e+02	7.370767368835e+02
5.164066076279e+00	1.500000000000e+02	7.370767382639e+02
5.184736728668e+00	3.500000000000e+02	7.370767453732e+02
5.204805850983e+00	0.000000000000e+00	7.370767526021e+02
5.224166631699e+00	1.000000000000e+02	7.370767581388e+02
5.244607210159e+00	3.000000000000e+02	7.370767581388e+02
5.264649391174e+00	1.000000000000e+02	7.370767629170e+02
5.284151077271e+00	3.000000000000e+02	7.370767695105e+02
5.304787635803e+00	1.500000000000e+02	7.370767761612e+02
5.324814081192e+00	2.500000000000e+02	7.370767826506e+02
5.345429182053e+00	1.500000000000e+02	7.370767893580e+02
5.364365577698e+00	3.500000000000e+02	7.370767893580e+02
