#Saved Data from the class wavemeter_logger_logic on 22.11.2022 at 14h19m13s.
#
#Parameters:
#===========
#
#Start Time (s): 22.11.2022 14h:18min:54s
#Stop Time (s): 22.11.2022 14h:19min:13s
#
#Data:
#=====
#Measurement Time (s)	Signal (counts/s)	Interpolated Wavelength (nm)
1.600670814514e-02	1.250000000000e+03	7.370756444484e+02
3.517436981201e-02	6.000000000000e+02	7.370756444484e+02
5.596590042114e-02	1.050000000000e+03	7.370756444484e+02
7.596611976624e-02	9.000000000000e+02	7.370756444484e+02
9.594631195068e-02	1.250000000000e+03	7.370756444582e+02
1.217312812805e-01	1.050000000000e+03	7.370756443810e+02
1.472568511963e-01	9.000000000000e+02	7.370756442742e+02
1.607766151428e-01	9.500000000000e+02	7.370756442177e+02
1.981241703033e-01	1.000000000000e+03	7.370756441841e+02
2.260534763336e-01	9.500000000000e+02	7.370756444966e+02
2.380228042603e-01	6.500000000000e+02	7.370756446305e+02
2.439832687378e-01	1.050000000000e+03	7.370756446972e+02
2.599627971649e-01	1.350000000000e+03	7.370756447001e+02
2.898602485657e-01	7.500000000000e+02	7.370756445552e+02
3.416516780853e-01	1.150000000000e+03	7.370756443042e+02
3.756313323975e-01	1.000000000000e+03	7.370756447097e+02
4.055240154266e-01	1.100000000000e+03	7.370756450664e+02
4.055240154266e-01	6.500000000000e+02	7.370756450664e+02
4.074509143829e-01	8.500000000000e+02	7.370756450664e+02
4.094254970551e-01	1.300000000000e+03	7.370756450664e+02
4.154326915741e-01	7.000000000000e+02	7.370756450664e+02
4.355175495148e-01	6.500000000000e+02	7.370756450664e+02
4.555599689484e-01	9.500000000000e+02	7.370756449332e+02
4.755072593689e-01	8.500000000000e+02	7.370756448075e+02
4.954533576965e-01	1.000000000000e+03	7.370756447430e+02
5.153999328613e-01	8.500000000000e+02	7.370756447108e+02
5.353248119354e-01	5.500000000000e+02	7.370756447108e+02
5.562677383423e-01	1.150000000000e+03	7.370756447108e+02
5.752182006836e-01	7.500000000000e+02	7.370756446920e+02
5.951645374298e-01	1.200000000000e+03	7.370756448025e+02
6.151337623596e-01	8.500000000000e+02	7.370756461909e+02
6.358342170715e-01	1.000000000000e+03	7.370756470924e+02
6.552686691284e-01	8.500000000000e+02	7.370756473009e+02
6.754586696625e-01	5.000000000000e+02	7.370756515697e+02
6.959419250488e-01	6.000000000000e+02	7.370756563590e+02
7.150895595551e-01	6.500000000000e+02	7.370756614550e+02
7.354693412781e-01	8.000000000000e+02	7.370756623533e+02
7.561228275299e-01	9.000000000000e+02	7.370756643513e+02
7.759675979614e-01	8.500000000000e+02	7.370756705202e+02
7.952022552490e-01	1.050000000000e+03	7.370756763803e+02
8.159444332123e-01	1.050000000000e+03	7.370756812838e+02
8.359570503235e-01	1.000000000000e+03	7.370756812838e+02
8.569335937500e-01	7.000000000000e+02	7.370756857199e+02
8.768780231476e-01	7.500000000000e+02	7.370756921029e+02
