#Saved Data from the class wavemeter_logger_logic on 22.11.2022 at 14h10m45s.
#
#Parameters:
#===========
#
#Start Time (s): 22.11.2022 14h:10min:25s
#Stop Time (s): 22.11.2022 14h:10min:45s
#
#Data:
#=====
#Measurement Time (s)	Signal (counts/s)	Interpolated Wavelength (nm)
3.298044204712e-03	1.700000000000e+03	7.370755849953e+02
2.358794212341e-02	1.250000000000e+03	7.370755849953e+02
4.297494888306e-02	2.000000000000e+03	7.370755849953e+02
6.270623207092e-02	1.850000000000e+03	7.370755849953e+02
8.339905738831e-02	1.850000000000e+03	7.370755849953e+02
1.080484390259e-01	1.250000000000e+03	7.370755848908e+02
1.289272308350e-01	1.300000000000e+03	7.370755846003e+02
1.458907127380e-01	1.450000000000e+03	7.370755843642e+02
1.731877326965e-01	1.400000000000e+03	7.370755841724e+02
2.010316848755e-01	2.200000000000e+03	7.370755841265e+02
2.350151538849e-01	1.250000000000e+03	7.370755841416e+02
2.469818592072e-01	1.200000000000e+03	7.370755841469e+02
2.928538322449e-01	1.300000000000e+03	7.370755841673e+02
3.217835426331e-01	1.500000000000e+03	7.370755841802e+02
3.819129467010e-01	1.250000000000e+03	7.370755844243e+02
3.819129467010e-01	1.200000000000e+03	7.370755844243e+02
3.828976154327e-01	2.250000000000e+03	7.370755844283e+02
3.828976154327e-01	1.650000000000e+03	7.370755844283e+02
3.838946819305e-01	1.650000000000e+03	7.370755844316e+02
3.838946819305e-01	1.700000000000e+03	7.370755844316e+02
4.027271270752e-01	1.000000000000e+03	7.370755844939e+02
4.231986999512e-01	1.300000000000e+03	7.370755845107e+02
4.426517486572e-01	1.950000000000e+03	7.370755844890e+02
4.629635810852e-01	2.000000000000e+03	7.370755844879e+02
4.829101562500e-01	1.200000000000e+03	7.370755846128e+02
5.028858184814e-01	1.100000000000e+03	7.370755849257e+02
5.230677127838e-01	1.700000000000e+03	7.370755849305e+02
5.437955856323e-01	1.850000000000e+03	7.370755849094e+02
5.630929470062e-01	1.900000000000e+03	7.370755849094e+02
5.831253528595e-01	1.300000000000e+03	7.370755846269e+02
6.025953292847e-01	1.600000000000e+03	7.370755842564e+02
6.231837272644e-01	1.100000000000e+03	7.370755837264e+02
6.433265209198e-01	0.000000000000e+00	7.370755835729e+02
6.637189388275e-01	0.000000000000e+00	7.370755829377e+02
6.833584308624e-01	3.000000000000e+02	7.370755787650e+02
7.026195526123e-01	1.750000000000e+03	7.370755740998e+02
7.232747077942e-01	1.450000000000e+03	7.370755686568e+02
7.432789802551e-01	1.250000000000e+03	7.370755625866e+02
7.641301155090e-01	1.650000000000e+03	7.370755601596e+02
7.832820415497e-01	1.200000000000e+03	7.370755598328e+02
8.033909797668e-01	1.200000000000e+03	7.370755532546e+02
8.231391906738e-01	1.250000000000e+03	7.370755473425e+02
8.430967330933e-01	6.500000000000e+02	7.370755419085e+02
8.630688190460e-01	2.050000000000e+03	7.370755372135e+02
8.831031322479e-01	1.400000000000e+03	7.370755327517e+02
9.033958911896e-01	1.250000000000e+03	7.370755311964e+02
9.226164817810e-01	1.750000000000e+03	7.370755276255e+02
9.433505535126e-01	1.300000000000e+03	7.370755209807e+02
9.639198780060e-01	1.550000000000e+03	7.370755209807e+02
9.832863807678e-01	1.000000000000e+03	7.370755175550e+02
1.003391981125e+00	1.050000000000e+03	7.370755119921e+02
1.023285388947e+00	1.650000000000e+03	7.370755042411e+02
1.043402671814e+00	2.050000000000e+03	7.370754973109e+02
1.063412904739e+00	1.500000000000e+03	7.370754912752e+02
1.083318233490e+00	1.400000000000e+03	7.370754909743e+02
1.103370666504e+00	1.650000000000e+03	7.370754888681e+02
1.123337745667e+00	1.550000000000e+03	7.370754837239e+02
1.143381357193e+00	1.750000000000e+03	7.370754777474e+02
1.162963867188e+00	1.850000000000e+03	7.370754707221e+02
1.183100223541e+00	1.250000000000e+03	7.370754699462e+02
1.203049182892e+00	9.500000000000e+02	7.370754669853e+02
1.223127841949e+00	5.500000000000e+02	7.370754620272e+02
1.244118928909e+00	8.500000000000e+02	7.370754557746e+02
1.263436317444e+00	1.500000000000e+03	7.370754495355e+02
1.282391786575e+00	1.200000000000e+03	7.370754429509e+02
1.303399324417e+00	1.350000000000e+03	7.370754400534e+02
1.324082612991e+00	1.650000000000e+03	7.370754375788e+02
1.343116521835e+00	1.150000000000e+03	7.370754327293e+02
1.363262891769e+00	1.600000000000e+03	7.370754304433e+02
1.383279323578e+00	1.400000000000e+03	7.370754285716e+02
1.403206825256e+00	8.500000000000e+02	7.370754233341e+02
1.423287868500e+00	1.200000000000e+03	7.370754176102e+02
1.443412542343e+00	1.450000000000e+03	7.370754112946e+02
1.462682008743e+00	1.350000000000e+03	7.370754036502e+02
1.483342885971e+00	1.400000000000e+03	7.370754000708e+02
1.504051685333e+00	1.100000000000e+03	7.370754000708e+02
1.522953748703e+00	9.000000000000e+02	7.370753955894e+02
1.543146133423e+00	1.150000000000e+03	7.370753888978e+02
1.562641382217e+00	7.000000000000e+02	7.370753814168e+02
1.582847356796e+00	8.500000000000e+02	7.370753802777e+02
1.603226423264e+00	8.500000000000e+02	7.370753781585e+02
1.623221397400e+00	8.000000000000e+02	7.370753731202e+02
1.643389225006e+00	6.500000000000e+02	7.370753671777e+02
1.663079738617e+00	8.000000000000e+02	7.370753612352e+02
1.683660507202e+00	7.000000000000e+02	7.370753612352e+02
1.702897787094e+00	6.500000000000e+02	7.370753579332e+02
1.723137855530e+00	8.000000000000e+02	7.370753514227e+02
1.742544412613e+00	8.000000000000e+02	7.370753450861e+02
1.762738943100e+00	6.500000000000e+02	7.370753422909e+02
1.783005237579e+00	7.000000000000e+02	7.370753422909e+02
1.803406476974e+00	6.000000000000e+02	7.370753366695e+02
1.823261499405e+00	7.000000000000e+02	7.370753307227e+02
1.843258619308e+00	8.000000000000e+02	7.370753248804e+02
1.863359451294e+00	6.000000000000e+02	7.370753234249e+02
1.882992267609e+00	4.500000000000e+02	7.370753212850e+02
1.903209924698e+00	3.500000000000e+02	7.370753151036e+02
1.923134088516e+00	4.000000000000e+02	7.370753084922e+02
1.943102359772e+00	3.500000000000e+02	7.370753037537e+02
1.963210344315e+00	7.000000000000e+02	7.370753037537e+02
1.982556581497e+00	8.000000000000e+02	7.370752995754e+02
2.003294467926e+00	2.500000000000e+02	7.370752934583e+02
2.024010181427e+00	7.000000000000e+02	7.370752873220e+02
2.043231487274e+00	6.500000000000e+02	7.370752811990e+02
2.063225746155e+00	4.500000000000e+02	7.370752746870e+02
2.083114147186e+00	3.000000000000e+02	7.370752746870e+02
2.103399753571e+00	5.500000000000e+02	7.370752728634e+02
2.123042345047e+00	7.000000000000e+02	7.370752684554e+02
2.143320798874e+00	3.500000000000e+02	7.370752633855e+02
2.163007974625e+00	3.500000000000e+02	7.370752568549e+02
2.183513641357e+00	4.000000000000e+02	7.370752492760e+02
2.203392744064e+00	6.500000000000e+02	7.370752447039e+02
2.223332881927e+00	3.500000000000e+02	7.370752447039e+02
2.242650508881e+00	6.500000000000e+02	7.370752396760e+02
2.263391017914e+00	5.000000000000e+02	7.370752324578e+02
2.282461643219e+00	6.000000000000e+02	7.370752266862e+02
2.303383827209e+00	5.000000000000e+02	7.370752248819e+02
2.322994232178e+00	2.500000000000e+02	7.370752232589e+02
2.342734813690e+00	5.000000000000e+02	7.370752152312e+02
2.363285779953e+00	4.500000000000e+02	7.370752098613e+02
2.383282184601e+00	5.000000000000e+01	7.370752049294e+02
2.403289079666e+00	2.000000000000e+02	7.370752049294e+02
2.422418117523e+00	1.500000000000e+02	7.370752001332e+02
2.443310499191e+00	2.500000000000e+02	7.370751937803e+02
2.463394880295e+00	4.500000000000e+02	7.370751883028e+02
2.483281612396e+00	2.500000000000e+02	7.370751828420e+02
2.504237890244e+00	3.000000000000e+02	7.370751770162e+02
2.523104429245e+00	3.000000000000e+02	7.370751750794e+02
