#Saved Data from the class wavemeter_logger_logic on 02.12.2022 at 16h51m37s.
#
#Parameters:
#===========
#
#Start Time (s): 02.12.2022 16h:51min:03s
#Stop Time (s): 02.12.2022 16h:51min:37s
#
#Data:
#=====
#Measurement Time (s)	Signal (counts/s)	Interpolated Wavelength (nm)
1.199555397034e-02	7.000000000000e+02	7.370370781052e+02
2.892255783081e-02	3.000000000000e+02	7.370370781052e+02
4.855704307556e-02	1.050000000000e+03	7.370370781052e+02
6.858611106873e-02	4.500000000000e+02	7.370370781052e+02
8.856487274170e-02	7.500000000000e+02	7.370370781052e+02
1.085846424103e-01	2.000000000000e+02	7.370370781052e+02
1.285080909729e-01	4.000000000000e+02	7.370370781052e+02
1.544389724731e-01	7.000000000000e+02	7.370370781052e+02
1.723909378052e-01	1.000000000000e+03	7.370370781052e+02
1.933357715607e-01	9.000000000000e+02	7.370370781052e+02
2.103128433228e-01	4.000000000000e+02	7.370370781052e+02
2.521777153015e-01	6.000000000000e+02	7.370370781052e+02
2.531752586365e-01	6.000000000000e+02	7.370370781052e+02
2.681350708008e-01	1.050000000000e+03	7.370370781052e+02
2.890794277191e-01	6.000000000000e+02	7.370370781052e+02
3.090484142303e-01	8.000000000000e+02	7.370370781052e+02
3.289721012115e-01	7.500000000000e+02	7.370370781052e+02
3.489413261414e-01	6.000000000000e+02	7.370370781052e+02
3.688974380493e-01	9.000000000000e+02	7.370370781052e+02
3.888494968414e-01	3.500000000000e+02	7.370370781052e+02
4.087812900543e-01	5.500000000000e+02	7.370370781052e+02
4.287281036377e-01	4.500000000000e+02	7.370370781052e+02
4.486744403839e-01	6.000000000000e+02	7.370370781052e+02
4.685990810394e-01	4.000000000000e+02	7.370370781052e+02
4.885680675507e-01	4.000000000000e+02	7.370370781052e+02
5.085194110870e-01	9.500000000000e+02	7.370370781052e+02
5.284659862518e-01	1.000000000000e+03	7.370370781052e+02
5.484080314636e-01	3.500000000000e+02	7.370370781052e+02
5.683584213257e-01	5.000000000000e+02	7.370370781052e+02
5.883393287659e-01	3.000000000000e+02	7.370370781052e+02
6.088402271271e-01	7.500000000000e+02	7.370370781052e+02
6.288814544678e-01	3.500000000000e+02	7.370370781052e+02
6.489026546478e-01	2.000000000000e+02	7.370370781052e+02
6.688265800476e-01	5.000000000000e+02	7.370370781052e+02
6.889677047729e-01	4.500000000000e+02	7.370370471015e+02
7.083516120911e-01	8.000000000000e+02	7.370370471015e+02
7.282888889313e-01	3.000000000000e+02	7.370370471015e+02
7.488276958466e-01	5.500000000000e+02	7.370370471015e+02
7.688486576080e-01	8.500000000000e+02	7.370370471015e+02
7.887752056122e-01	4.500000000000e+02	7.370370471015e+02
8.087456226349e-01	7.000000000000e+02	7.370370471015e+02
8.286964893341e-01	4.500000000000e+02	7.370370471015e+02
8.486883640289e-01	5.500000000000e+02	7.370370471015e+02
8.686106204987e-01	2.500000000000e+02	7.370370471015e+02
8.885388374329e-01	4.000000000000e+02	7.370370471015e+02
9.086041450500e-01	4.500000000000e+02	7.370370471015e+02
9.285507202148e-01	6.500000000000e+02	7.370370471015e+02
9.485018253326e-01	4.000000000000e+02	7.370370471015e+02
9.684441089630e-01	3.000000000000e+02	7.370370444268e+02
9.883673191071e-01	5.500000000000e+02	7.370369898328e+02
1.008341789246e+00	4.500000000000e+02	7.370369624397e+02
1.028288602829e+00	3.500000000000e+02	7.370369624397e+02
1.048230171204e+00	5.500000000000e+02	7.370369599130e+02
1.069151639938e+00	4.500000000000e+02	7.370369567777e+02
1.089107036591e+00	3.000000000000e+02	7.370369534930e+02
1.109069824219e+00	6.000000000000e+02	7.370369504364e+02
1.129017114639e+00	5.000000000000e+02	7.370369474228e+02
1.148963928223e+00	6.000000000000e+02	7.370369443708e+02
1.168937683105e+00	6.000000000000e+02	7.370369420953e+02
1.188856124878e+00	5.500000000000e+02	7.370369400870e+02
1.208802461624e+00	4.000000000000e+02	7.370369392826e+02
1.228749275208e+00	3.500000000000e+02	7.370369374894e+02
1.248724460602e+00	2.000000000000e+02	7.370369343033e+02
1.268670797348e+00	2.500000000000e+02	7.370369318317e+02
1.288589477539e+00	2.000000000000e+02	7.370369294734e+02
1.308757543564e+00	4.000000000000e+02	7.370369273459e+02
1.328711748123e+00	3.000000000000e+02	7.370369249854e+02
1.348810434341e+00	5.000000000000e+02	7.370369207887e+02
1.368937730789e+00	2.500000000000e+02	7.370369207887e+02
1.388327360153e+00	4.000000000000e+02	7.370369189327e+02
1.408610582352e+00	5.000000000000e+02	7.370369163190e+02
1.428704738617e+00	3.500000000000e+02	7.370369134817e+02
1.448905706406e+00	5.500000000000e+02	7.370369103272e+02
1.468581676483e+00	3.500000000000e+02	7.370369064517e+02
1.488752365112e+00	4.500000000000e+02	7.370369039588e+02
1.508675098419e+00	2.000000000000e+02	7.370369016108e+02
1.528127431870e+00	3.500000000000e+02	7.370368995783e+02
1.548098325729e+00	1.500000000000e+02	7.370368974917e+02
1.568074703217e+00	2.500000000000e+02	7.370368964719e+02
1.588126897812e+00	3.000000000000e+02	7.370368932165e+02
1.609016895294e+00	2.000000000000e+02	7.370368902693e+02
1.628961801529e+00	1.500000000000e+02	7.370368874800e+02
1.648914098740e+00	1.500000000000e+02	7.370368842753e+02
1.668859004974e+00	2.000000000000e+02	7.370368825138e+02
