#Saved Data from the class wavemeter_logger_logic on 02.12.2022 at 16h49m03s.
#
#Parameters:
#===========
#
#Start Time (s): 02.12.2022 16h:48min:29s
#Stop Time (s): 02.12.2022 16h:49min:03s
#
#Data:
#=====
#Measurement Time (s)	Signal (counts/s)	Interpolated Wavelength (nm)
7.008314132690e-03	2.150000000000e+03	7.370372737563e+02
2.692842483521e-02	2.700000000000e+03	7.370372737563e+02
4.690051078796e-02	1.600000000000e+03	7.370372737563e+02
6.697916984558e-02	1.800000000000e+03	7.370372737563e+02
8.697152137756e-02	7.000000000000e+02	7.370372737563e+02
1.070375442505e-01	1.750000000000e+03	7.370372737563e+02
1.310019493103e-01	8.000000000000e+02	7.370372737563e+02
1.489548683167e-01	4.500000000000e+02	7.370372737563e+02
2.018024921417e-01	1.250000000000e+03	7.370372737563e+02
2.097735404968e-01	8.500000000000e+02	7.370372737563e+02
2.107796669006e-01	2.050000000000e+03	7.370372737563e+02
2.267172336578e-01	1.800000000000e+03	7.370372737563e+02
2.466638088226e-01	1.800000000000e+03	7.370372737563e+02
2.667021751404e-01	8.000000000000e+02	7.370372737563e+02
2.866268157959e-01	1.500000000000e+02	7.370372737563e+02
3.065977096558e-01	2.150000000000e+03	7.370372737563e+02
3.265194892883e-01	2.400000000000e+03	7.370372737563e+02
3.464665412903e-01	2.000000000000e+03	7.370372737563e+02
3.664131164551e-01	2.150000000000e+03	7.370372737563e+02
3.863604068756e-01	1.900000000000e+03	7.370372737563e+02
4.063301086426e-01	1.650000000000e+03	7.370372737563e+02
4.262728691101e-01	2.450000000000e+03	7.370372737563e+02
4.462187290192e-01	1.800000000000e+03	7.370372737563e+02
4.661691188812e-01	1.600000000000e+03	7.370372737563e+02
4.861154556274e-01	2.050000000000e+03	7.370372737563e+02
5.070641040802e-01	1.500000000000e+03	7.370372737563e+02
5.269837379456e-01	2.200000000000e+03	7.370372737563e+02
5.469303131104e-01	1.950000000000e+03	7.370372737563e+02
5.668761730194e-01	2.100000000000e+03	7.370372737563e+02
5.868515968323e-01	2.350000000000e+03	7.370372737563e+02
6.067922115326e-01	1.150000000000e+03	7.370372737563e+02
6.268820762634e-01	1.900000000000e+03	7.370372737563e+02
6.461389064789e-01	2.300000000000e+03	7.370372737500e+02
6.665101051331e-01	9.500000000000e+02	7.370372737193e+02
6.868364810944e-01	1.250000000000e+03	7.370372737119e+02
7.068648338318e-01	1.650000000000e+03	7.370372737119e+02
7.268538475037e-01	1.000000000000e+03	7.370372737119e+02
7.469317913055e-01	1.750000000000e+03	7.370372737119e+02
7.669951915741e-01	1.700000000000e+03	7.370372737119e+02
7.869422435760e-01	1.750000000000e+03	7.370372737119e+02
8.068888187408e-01	1.400000000000e+03	7.370372737119e+02
8.268346786499e-01	2.350000000000e+03	7.370372737119e+02
8.468079566956e-01	1.800000000000e+03	7.370372737119e+02
8.667287826538e-01	1.150000000000e+03	7.370372737119e+02
8.866980075836e-01	1.250000000000e+03	7.370372737119e+02
9.066452980042e-01	1.650000000000e+03	7.370372737119e+02
9.265677928925e-01	2.000000000000e+02	7.370372737119e+02
9.465208053589e-01	3.500000000000e+02	7.370372737119e+02
9.664859771729e-01	1.200000000000e+03	7.370372737350e+02
9.864275455475e-01	9.000000000000e+02	7.370372738877e+02
1.006380319595e+00	1.800000000000e+03	7.370372739409e+02
1.027298688889e+00	1.050000000000e+03	7.370372739454e+02
1.046247482300e+00	1.250000000000e+03	7.370372739663e+02
1.066194772720e+00	7.000000000000e+02	7.370372739592e+02
1.086140632629e+00	1.350000000000e+03	7.370372739283e+02
1.107115268707e+00	2.200000000000e+03	7.370372724336e+02
1.127032756805e+00	8.000000000000e+02	7.370372709287e+02
1.146497011185e+00	3.000000000000e+02	7.370372693900e+02
1.166470766068e+00	1.650000000000e+03	7.370372682863e+02
1.186413764954e+00	1.750000000000e+03	7.370372678498e+02
1.206360816956e+00	2.100000000000e+03	7.370372656720e+02
1.228278636932e+00	1.450000000000e+03	7.370372621413e+02
1.246253967285e+00	1.550000000000e+03	7.370372587894e+02
1.266200304031e+00	2.100000000000e+03	7.370372567213e+02
1.286150217056e+00	1.400000000000e+03	7.370372545200e+02
1.307093381882e+00	2.600000000000e+03	7.370372517909e+02
1.328031539917e+00	2.000000000000e+03	7.370372507544e+02
1.347105979919e+00	1.100000000000e+03	7.370372493073e+02
1.366374254227e+00	1.100000000000e+03	7.370372470053e+02
1.386422634125e+00	1.700000000000e+03	7.370372446975e+02
1.406772613525e+00	1.850000000000e+03	7.370372423947e+02
1.427782535553e+00	6.000000000000e+02	7.370372400539e+02
1.446727752686e+00	6.500000000000e+02	7.370372377820e+02
1.466702222824e+00	1.300000000000e+03	7.370372351531e+02
1.486918687820e+00	4.000000000000e+02	7.370372344974e+02
1.507127523422e+00	1.300000000000e+03	7.370372313401e+02
1.526198625565e+00	2.300000000000e+03	7.370372271109e+02
1.546517848969e+00	5.500000000000e+02	7.370372257771e+02
1.566486597061e+00	1.300000000000e+03	7.370372244960e+02
1.586438417435e+00	1.350000000000e+03	7.370372223642e+02
1.606384992599e+00	1.850000000000e+03	7.370372191565e+02
1.627301931381e+00	1.700000000000e+03	7.370372159266e+02
1.646421432495e+00	1.950000000000e+03	7.370372138461e+02
1.666219234467e+00	1.000000000000e+03	7.370372131019e+02
1.686166286469e+00	1.650000000000e+03	7.370372127167e+02
1.707110404968e+00	1.200000000000e+03	7.370372106903e+02
1.727034807205e+00	1.550000000000e+03	7.370372078408e+02
1.747059583664e+00	1.950000000000e+03	7.370372044268e+02
1.767005681992e+00	1.200000000000e+03	7.370372016247e+02
1.786952733994e+00	1.250000000000e+03	7.370371988933e+02
1.806902170181e+00	8.500000000000e+02	7.370371964869e+02
1.826823711395e+00	4.500000000000e+02	7.370371964869e+02
1.846769332886e+00	4.500000000000e+02	7.370371952887e+02
1.866738796234e+00	6.500000000000e+02	7.370371926159e+02
1.886662483215e+00	1.300000000000e+03	7.370371897228e+02
1.906608819962e+00	1.050000000000e+03	7.370371869172e+02
1.927578210831e+00	1.300000000000e+03	7.370371841932e+02
1.946530103683e+00	1.050000000000e+03	7.370371838079e+02
1.966476440430e+00	8.000000000000e+02	7.370371829700e+02
1.986418724060e+00	1.150000000000e+03	7.370371801799e+02
2.006367444992e+00	9.000000000000e+02	7.370371783305e+02
2.026312828064e+00	1.200000000000e+03	7.370371767173e+02
2.046263694763e+00	8.000000000000e+02	7.370371744801e+02
2.066688776016e+00	8.000000000000e+02	7.370371715262e+02
2.086940288544e+00	4.500000000000e+02	7.370371682424e+02
2.106272697449e+00	8.000000000000e+02	7.370371660136e+02
2.126211166382e+00	6.000000000000e+02	7.370371639577e+02
2.147144794464e+00	4.500000000000e+02	7.370371606435e+02
2.166544914246e+00	6.500000000000e+02	7.370371576575e+02
2.186879158020e+00	9.000000000000e+02	7.370371549971e+02
2.207813262939e+00	1.150000000000e+03	7.370371544792e+02
2.226810455322e+00	7.000000000000e+02	7.370371534166e+02
2.247093439102e+00	7.000000000000e+02	7.370371497606e+02
2.266857624054e+00	2.000000000000e+02	7.370371475115e+02
2.286710262299e+00	3.000000000000e+02	7.370371459358e+02
2.306661605835e+00	1.000000000000e+03	7.370371456852e+02
2.326580524445e+00	7.500000000000e+02	7.370371431842e+02
2.346557140350e+00	2.500000000000e+02	7.370371407546e+02
2.366496562958e+00	2.500000000000e+02	7.370371384753e+02
2.386443376541e+00	5.500000000000e+02	7.370371359618e+02
2.406390190125e+00	1.000000000000e+02	7.370371332358e+02
2.426313161850e+00	7.000000000000e+02	7.370371300889e+02
2.446283102036e+00	2.000000000000e+02	7.370371271800e+02
2.467241048813e+00	1.100000000000e+03	7.370371246096e+02
2.486180782318e+00	5.500000000000e+02	7.370371246096e+02
2.507120132446e+00	5.000000000000e+02	7.370371227842e+02
2.527043581009e+00	3.000000000000e+02	7.370371203569e+02
2.547013759613e+00	3.000000000000e+02	7.370371179401e+02
2.566960096359e+00	5.500000000000e+02	7.370371152440e+02
2.586908817291e+00	6.000000000000e+02	7.370371120224e+02
2.606853246689e+00	8.500000000000e+02	7.370371089599e+02
2.626787185669e+00	6.500000000000e+02	7.370371068468e+02
2.646751403809e+00	8.000000000000e+02	7.370371068468e+02
2.666698455811e+00	5.000000000000e+02	7.370371047390e+02
2.686652660370e+00	5.500000000000e+02	7.370371017252e+02
2.706591367722e+00	2.500000000000e+02	7.370370987050e+02
