#Saved Data from the class wavemeter_logger_logic on 10.11.2022 at 17h43m02s.
#
#Parameters:
#===========
#
#Start Time (s): 10.11.2022 17h:41min:45s
#Stop Time (s): 10.11.2022 17h:43min:03s
#
#Data:
#=====
#Measurement Time (s)	Signal (counts/s)	Interpolated Wavelength (nm)
3.036022186279e-03	2.350000000000e+03	7.370188061116e+02
2.400302886963e-02	2.650000000000e+03	7.370188061116e+02
4.384040832520e-02	3.000000000000e+03	7.370188061116e+02
6.364965438843e-02	3.600000000000e+03	7.370188061116e+02
8.389568328857e-02	2.350000000000e+03	7.370188061116e+02
1.037890911102e-01	2.000000000000e+03	7.370188061116e+02
1.294438838959e-01	2.000000000000e+03	7.370188061116e+02
1.493659019470e-01	2.250000000000e+03	7.370188136385e+02
1.693348884583e-01	1.800000000000e+03	7.370188211832e+02
1.882143020630e-01	1.600000000000e+03	7.370188283162e+02
2.134468555450e-01	1.650000000000e+03	7.370188378496e+02
2.304010391235e-01	2.200000000000e+03	7.370188442552e+02
2.593460083008e-01	2.000000000000e+03	7.370190934471e+02
2.945282459259e-01	2.450000000000e+03	7.370190934471e+02
3.559577465057e-01	2.050000000000e+03	7.370190934471e+02
4.168248176575e-01	2.450000000000e+03	7.370190934471e+02
5.087454319000e-01	2.350000000000e+03	7.370191117972e+02
5.843787193298e-01	1.850000000000e+03	7.370191566948e+02
6.365616321564e-01	1.650000000000e+03	7.370191876718e+02
6.365616321564e-01	1.450000000000e+03	7.370191876718e+02
6.365616321564e-01	5.500000000000e+02	7.370191876718e+02
6.365616321564e-01	2.050000000000e+03	7.370191876718e+02
6.375589370728e-01	1.800000000000e+03	7.370191890070e+02
6.385569572449e-01	1.700000000000e+03	7.370191903431e+02
6.385569572449e-01	7.000000000000e+02	7.370191903431e+02
6.385569572449e-01	1.550000000000e+03	7.370191903431e+02
6.395609378815e-01	1.600000000000e+03	7.370191916873e+02
6.395609378815e-01	2.600000000000e+03	7.370191916873e+02
6.395609378815e-01	1.500000000000e+03	7.370191916873e+02
6.405513286591e-01	1.750000000000e+03	7.370191930132e+02
6.415481567383e-01	1.550000000000e+03	7.370191943478e+02
6.445403099060e-01	1.650000000000e+03	7.370191983537e+02
