W,I,ESTS,EETS
728.59861895161987,597,29209,1029209
728.61305185130959,595,29209,1029209
728.62748406941887,599,29209,1029209
728.64191560587631,598,29209,1029209
728.65634646061039,597,29209,1029209
728.67077663355008,594,29209,1029209
728.68520612462373,590,29209,1029209
728.69963493376008,603,29209,1029209
728.71406306088784,601,29209,1029209
728.72849050593561,604,29209,1029209
728.74291726883212,600,29209,1029209
728.75734334950607,597,29209,1029209
728.7717687478862,595,29209,1029209
728.78619346390121,596,29209,1029209
728.80061749747983,599,29209,1029209
728.81504084855078,593,29209,1029209
728.82946351704288,594,29209,1029209
728.84388550288475,600,29209,1029209
728.8583068060052,600,29209,1029209
728.87272742633309,592,29209,1029209
728.88714736379711,594,29209,1029209
728.90156661832611,598,29209,1029209
728.915985189849,591,29209,1029209
728.93040307829438,594,29209,1029209
728.9448202835913,598,29209,1029209
728.95923680566841,596,29209,1029209
728.97365264445466,594,29209,1029209
728.98806779987888,595,29209,1029209
729.00248227186989,594,29209,1029209
729.01689606035666,599,29209,1029209
729.03130916526788,598,29209,1029209
729.04572158653275,600,29209,1029209
729.06013332408008,590,29209,1029209
729.07454437783849,601,29209,1029209
729.08895474773738,596,29209,1029209
729.10336443370522,601,29209,1029209
729.11777343567144,599,29209,1029209
729.13218175356451,596,29209,1029209
729.14658938731372,600,29209,1029209
729.16099633684792,598,29209,1029209
729.17540260209614,593,29209,1029209
729.18980818298735,598,29209,1029209
729.2042130794506,595,29209,1029209
729.21861729141483,598,29209,1029209
729.23302081880911,597,29209,1029209
729.24742366156249,599,29209,1029209
729.26182581960416,593,29209,1029209
729.2762272928627,596,29209,1029209
729.29062808126764,595,29209,1029209
729.30502818474781,596,29209,1029209
729.31942760323238,592,29209,1029209
729.33382633665065,601,29209,1029209
729.34822438493143,594,29209,1029209
729.36262174800379,592,29209,1029209
729.37701842579713,594,29209,1029209
729.3914144182404,594,29209,1029209
729.40580972526288,593,29209,1029209
729.42020434679341,595,29209,1029209
729.4345982827615,597,29209,1029209
729.44899153309632,598,29209,1029209
729.46338409772682,601,29209,1029209
729.47777597658239,593,29209,1029209
729.492167169592,594,29209,1029209
729.506557676685,601,29209,1029209
729.52094749779076,599,29209,1029209
729.53533663283827,602,29209,1029209
729.54972508175706,597,29209,1029209
729.56411284447609,593,29209,1029209
729.57849992092474,597,29209,1029209
729.59288631103232,597,29209,1029209
729.607272014728,597,29209,1029209
729.62165703194125,601,29209,1029209
729.63604136260119,592,29209,1029209
729.65042500663719,595,29209,1029209
729.66480796397877,598,29209,1029209
729.679190234555,592,29209,1029209
729.69357181829537,591,29209,1029209
729.70795271512918,593,29209,1029209
729.72233292498561,599,29209,1029209
729.73671244779439,589,29209,1029209
729.7510912834847,601,29209,1029209
729.765469431986,597,29209,1029209
729.77984689322761,600,29209,1029209
729.794223667139,601,29209,1029209
729.80859975364967,594,29209,1029209
729.82297515268885,595,29209,1029209
729.83734986418608,592,29209,1029209
729.851723888071,594,29209,1029209
729.86609722427283,595,29209,1029209
729.880469872721,596,29209,1029209
729.89484183334514,597,29209,1029209
729.90921310607484,591,29209,1029209
729.92358369083934,590,29209,1029209
729.93795358756836,595,29209,1029209
729.95232279619142,596,29209,1029209
729.96669131663793,598,29209,1029209
729.9810591488374,600,29209,1029209
729.99542629271957,592,29209,1029209
730.00979274821384,590,29209,1029209
730.02415851525,593,29209,1029209
730.03852359375719,598,29209,1029209
730.05288798366553,591,29209,1029209
730.06725168490425,598,29209,1029209
730.08161469740332,596,29209,1029209
730.09597702109193,595,29209,1029209
730.11033865589991,595,29209,1029209
730.12469960175713,592,29209,1029209
730.13905985859287,593,29209,1029209
730.15341942633688,591,29209,1029209
730.16777830491912,596,29209,1029209
730.18213649426889,595,29209,1029209
730.19649399431614,600,29209,1029209
730.21085080499051,601,29209,1029209
730.22520692622174,598,29209,1029209
730.23956235793923,593,29209,1029209
730.25391710007329,594,29209,1029209
730.26827115255321,596,29209,1029209
730.282624515309,593,29209,1029209
730.29697718827015,593,29209,1029209
730.31132917136676,593,29209,1029209
730.32568046452832,594,29209,1029209
730.34003106768489,593,29209,1029209
730.354380980766,598,29209,1029209
730.36873020370172,594,29209,1029209
730.38307873642168,599,29209,1029209
730.39742657885586,595,29209,1029209
730.4117737309341,597,29209,1029209
730.426120192586,595,29209,1029209
730.44046596374176,601,29209,1029209
730.45481104433122,594,29209,1029209
730.469155434284,596,29209,1029209
730.48349913353013,591,29209,1029209
730.49784214199951,597,29209,1029209
730.51218445962218,588,29209,1029209
730.526526086328,598,29209,1029209
730.54086702204677,595,29209,1029209
730.55520726670852,591,29209,1029209
730.56954682024309,593,29209,1029209
730.58388568258079,601,29209,1029209
730.59822385365123,599,29209,1029209
730.61256133338452,600,29209,1029209
730.626898121711,590,29209,1029209
730.64123421855993,595,29209,1029209
730.655569623862,590,29209,1029209
730.66990433754688,595,29209,1029209
730.68423835954479,600,29209,1029209
730.69857168978558,597,29209,1029209
730.71290432819944,599,29209,1029209
730.72723627471646,596,29209,1029209
730.74156752926672,595,29209,1029209
730.75589809178018,595,29209,1029209
730.77022796218694,594,29209,1029209
730.78455714041729,591,29209,1029209
730.7988856264011,593,29209,1029209
730.81321342006868,598,29209,1029209
730.82754052135022,594,29209,1029209
730.84186693017568,598,29209,1029209
730.85619264647528,595,29209,1029209
730.8705176701792,591,29209,1029209
730.88484200121763,593,29209,1029209
730.89916563952079,599,29209,1029209
730.91348858501874,590,29209,1029209
730.9278108376418,596,29209,1029209
730.94213239732028,594,29209,1029209
730.95645326398426,589,29209,1029209
730.97077343756393,590,29209,1029209
730.98509291798962,595,29209,1029209
730.99941170519162,595,29209,1029209
731.01372979910013,596,29209,1029209
731.02804719964547,598,29209,1029209
731.042363906758,595,29209,1029209
731.056679920368,591,29209,1029209
731.07099524040541,594,29209,1029209
731.08530986680114,593,29209,1029209
731.09962379948513,598,29209,1029209
731.11393703838792,595,29209,1029209
731.1282495834397,595,29209,1029209
731.14256143457089,589,29209,1029209
731.15687259171182,591,29209,1029209
731.17118305479289,592,29209,1029209
731.18549282374465,596,29209,1029209
731.1998018984973,595,29209,1029209
731.21411027898125,594,29209,1029209
731.228417965127,601,29209,1029209
731.242724956865,594,29209,1029209
731.25703125412554,593,29209,1029209
731.27133685683918,601,29209,1029209
731.28564176493649,593,29209,1029209
731.29994597834775,597,29209,1029209
731.31424949700374,597,29209,1029209
731.32855232083443,600,29209,1029209
731.34285444977093,594,29209,1029209
731.35715588374319,594,29209,1029209
731.371456622682,597,29209,1029209
731.385756666518,594,29209,1029209
731.40005601518169,594,29209,1029209
731.41435466860332,598,29209,1029209
731.42865262671376,597,29209,1029209
731.44294988944353,603,29209,1029209
731.45724645672317,596,29209,1029209
731.47154232848334,593,29209,1029209
731.48583750465446,597,29209,1029209
731.50013198516729,591,29209,1029209
731.5144257699526,595,29209,1029209
731.52871885894069,595,29209,1029209
731.54301125206246,595,29209,1029209
731.55730294924831,593,29209,1029209
731.57159395042936,597,29209,1029209
731.58588425553569,598,29209,1029209
731.60017386449852,595,29209,1029209
731.614462777248,593,29209,1029209
731.62875099371547,603,29209,1029209
731.64303851383124,591,29209,1029209
731.657325337526,592,29209,1029209
731.67161146473086,596,29209,1029209
731.685896895376,596,29209,1029209
731.70018162939266,589,29209,1029209
731.71446566671148,593,29209,1029209
731.728749007263,604,29209,1029209
731.74303165097842,592,29209,1029209
731.757313597788,593,29209,1029209
731.77159484762308,596,29209,1029209
731.78587540041417,599,29209,1029209
731.80015525609235,596,29209,1029209
731.81443441458828,593,29209,1029209
731.82871287583271,592,29209,1029209
731.84299063975641,597,29209,1029209
731.85726770629083,600,29209,1029209
731.87154407536616,597,29209,1029209
731.88581974691385,593,29209,1029209
731.90009472086433,592,29209,1029209
731.91436899714881,594,29209,1029209
731.92864257569806,601,29209,1029209
731.94291545644319,597,29209,1029209
731.957187639315,599,29209,1029209
731.97145912424435,597,29209,1029209
731.98572991116225,590,29209,1029209
732,601,29209,1029209
732.01426939068813,597,29209,1029209
732.02853808315785,596,29209,1029209
732.04280607734006,599,29209,1029209
732.05707337316608,599,29209,1029209
732.07133997056644,594,29209,1029209
732.08560586947249,597,29209,1029209
732.09987106981521,593,29209,1029209
732.11413557152559,592,29209,1029209
732.128399374535,597,29209,1029209
732.142662478774,598,29209,1029209
732.156924884174,591,29209,1029209
732.17118659066591,597,29209,1029209
732.18544759818121,592,29209,1029209
732.19970790665059,595,29209,1029209
732.21396751600537,594,29209,1029209
732.22822642617678,592,29209,1029209
732.24248463709557,600,29209,1029209
732.25674214869343,589,29209,1029209
732.27099896090124,597,29209,1029209
732.28525507365009,595,29209,1029209
732.29951048687133,596,29209,1029209
732.313765200496,595,29209,1029209
732.32801921445559,600,29209,1029209
732.34227252868106,595,29209,1029209
732.35652514310368,591,29209,1029209
732.37077705765489,593,29209,1029209
732.38502827226557,594,29209,1029209
732.39927878686728,594,29209,1029209
732.41352860139114,596,29209,1029209
732.42777771576846,590,29209,1029209
732.44202612993058,599,29209,1029209
732.456273843809,596,29209,1029209
732.47052085733446,593,29209,1029209
732.48476717043866,595,29209,1029209
732.49901278305288,592,29209,1029209
732.51325769510868,596,29209,1029209
732.527501906537,591,29209,1029209
732.54174541726945,595,29209,1029209
732.55598822723744,585,29209,1029209
732.57023033637222,592,29209,1029209
732.58447174460514,590,29209,1029209
732.59871245186775,596,29209,1029209
732.61295245809129,595,29209,1029209
732.62719176320741,595,29209,1029209
732.64143036714734,599,29209,1029209
732.65566826984275,590,29209,1029209
732.66990547122487,589,29209,1029209
732.68414197122524,590,29209,1029209
732.69837776977545,594,29209,1029209
732.71261286680669,594,29209,1029209
732.72684726225077,593,29209,1029209
732.74108095603913,592,29209,1029209
732.75531394810309,593,29209,1029209
732.76954623837435,593,29209,1029209
732.78377782678456,594,29209,1029209
732.79800871326484,590,29209,1029209
732.81223889774719,596,29209,1029209
732.82646838016308,593,29209,1029209
732.84069716044382,592,29209,1029209
732.85492523852145,598,29209,1029209
732.869152614327,593,29209,1029209
732.88337928779265,597,29209,1029209
732.89760525884969,591,29209,1029209
732.91183052742986,597,29209,1029209
732.9260550934647,590,29209,1029209
732.94027895688589,592,29209,1029209
732.95450211762522,594,29209,1029209
732.96872457561437,592,29209,1029209
732.98294633078478,590,29209,1029209
732.99716738306824,590,29209,1029209
733.01138773239666,593,29209,1029209
733.02560737870135,594,29209,1029209
733.03982632191446,598,29209,1029209
733.05404456196754,592,29209,1029209
733.06826209879216,597,29209,1029209
733.08247893232044,587,29209,1029209
733.09669506248383,591,29209,1029209
733.11091048921435,592,29209,1029209
733.12512521244355,597,29209,1029209
733.13933923210334,594,29209,1029209
733.15355254812562,591,29209,1029209
733.167765160442,593,29209,1029209
733.18197706898445,596,29209,1029209
733.1961882736847,593,29209,1029209
733.2103987744747,593,29209,1029209
733.22460857128635,586,29209,1029209
733.23881766405134,593,29209,1029209
733.25302605270178,593,29209,1029209
733.26723373716925,589,29209,1029209
733.281440717386,596,29209,1029209
733.29564699328375,592,29209,1029209
733.30985256479437,595,29209,1029209
733.32405743184984,590,29209,1029209
733.33826159438229,594,29209,1029209
733.3524650523234,594,29209,1029209
733.36666780560518,599,29209,1029209
733.38086985415987,594,29209,1029209
733.395071197919,593,29209,1029209
733.40927183681492,592,29209,1029209
733.42347177077943,592,29209,1029209
733.4376709997448,593,29209,1029209
733.4518695236427,597,29209,1029209
733.46606734240549,594,29209,1029209
733.480264455965,591,29209,1029209
733.49446086425337,594,29209,1029209
733.50865656720282,595,29209,1029209
733.522851564745,598,29209,1029209
733.53704585681248,596,29209,1029209
733.551239443337,593,29209,1029209
733.56543232425088,593,29209,1029209
733.57962449948616,591,29209,1029209
733.59381596897492,588,29209,1029209
733.60800673264941,587,29209,1029209
733.62219679044176,593,29209,1029209
733.636386142284,598,29209,1029209
733.65057478810843,594,29209,1029209
733.66476272784735,596,29209,1029209
733.67894996143252,591,29209,1029209
733.69313648879665,592,29209,1029209
733.70732230987164,595,29209,1029209
733.72150742458973,593,29209,1029209
733.73569183288339,596,29209,1029209
733.74987553468441,597,29209,1029209
733.76405852992559,590,29209,1029209
733.77824081853873,596,29209,1029209
733.7924224004563,589,29209,1029209
733.80660327561077,593,29209,1029209
733.82078344393426,587,29209,1029209
733.83496290535891,591,29209,1029209
733.84914165981718,589,29209,1029209
733.86331970724154,594,29209,1029209
733.87749704756413,598,29209,1029209
733.89167368071742,593,29209,1029209
733.90584960663375,594,29209,1029209
733.92002482524538,589,29209,1029209
733.93419933648488,594,29209,1029209
733.94837314028439,594,29209,1029209
733.96254623657637,594,29209,1029209
733.97671862529342,596,29209,1029209
733.99089030636787,593,29209,1029209
734.00506127973222,593,29209,1029209
734.0192315453188,593,29209,1029209
734.03340110305987,595,29209,1029209
734.04756995288824,596,29209,1029209
734.06173809473637,597,29209,1029209
734.07590552853628,587,29209,1029209
734.09007225422124,595,29209,1029209
734.104238271723,595,29209,1029209
734.11840358097459,591,29209,1029209
734.13256818190837,590,29209,1029209
734.14673207445674,595,29209,1029209
734.16089525855239,594,29209,1029209
734.17505773412779,592,29209,1029209
734.18921950111564,595,29209,1029209
734.20338055944842,594,29209,1029209
734.2175409090587,599,29209,1029209
734.23170054987929,593,29209,1029209
