#Saved Data from the class odmr_logic on 02.12.2022 at 14h08m04s.
#
#Parameters:
#===========
#
#Microwave CW Power (dBm): -4.0000000000000000e+00
#Microwave Sweep Power (dBm): -2.0000000000000000e+00
#Run Time (s): 6.0000000000000000e+03
#Number of frequency sweeps (#): 20
#Start Frequency (Hz): 5.4760000000000000e+09
#Stop Frequency (Hz): 5.4810000000000000e+09
#Step size (Hz): 2.0000000000000000e+05
#Clock Frequency (Hz): 20
#Channel: 0: /Dev1/Ctr3
#
#Data:
#=====
#frequency (Hz)	count data (counts/s)	
5.476000e+09	4.296842e+03
5.476200e+09	4.292632e+03
5.476400e+09	4.202105e+03
5.476600e+09	4.261053e+03
5.476800e+09	4.405263e+03
5.477000e+09	4.178947e+03
5.477200e+09	4.027368e+03
5.477400e+09	3.887368e+03
5.477600e+09	3.513684e+03
5.477800e+09	3.637895e+03
5.478000e+09	3.824211e+03
5.478200e+09	3.916842e+03
5.478400e+09	4.046316e+03
5.478600e+09	4.168421e+03
5.478800e+09	4.277895e+03
5.479000e+09	4.335789e+03
5.479200e+09	4.266316e+03
5.479400e+09	4.257895e+03
5.479600e+09	4.294737e+03
5.479800e+09	4.198947e+03
5.480000e+09	4.234737e+03
5.480200e+09	4.206316e+03
5.480400e+09	4.222105e+03
5.480600e+09	4.246316e+03
5.480800e+09	4.230526e+03
5.481000e+09	4.265263e+03
