#Saved Data from the class odmr_logic on 02.12.2022 at 14h32m20s.
#
#Parameters:
#===========
#
#Microwave CW Power (dBm): -4.0000000000000000e+00
#Microwave Sweep Power (dBm): -2.0000000000000000e+00
#Run Time (s): 6.0000000000000000e+03
#Number of frequency sweeps (#): 31
#Start Frequency (Hz): 5.4750000000000000e+09
#Stop Frequency (Hz): 5.4810000000000000e+09
#Step size (Hz): 2.0000000000000000e+05
#Clock Frequency (Hz): 20
#Channel: 0: /Dev1/Ctr3
#
#Data:
#=====
#frequency (Hz)	count data (counts/s)	
5.475000e+09	5.306667e+03
5.475200e+09	5.363333e+03
5.475400e+09	5.260000e+03
5.475600e+09	5.428000e+03
5.475800e+09	5.149333e+03
5.476000e+09	5.093333e+03
5.476200e+09	5.144667e+03
5.476400e+09	5.144000e+03
5.476600e+09	5.054000e+03
5.476800e+09	4.955333e+03
5.477000e+09	4.902000e+03
5.477200e+09	4.784000e+03
5.477400e+09	4.634667e+03
5.477600e+09	4.525333e+03
5.477800e+09	4.660667e+03
5.478000e+09	4.714000e+03
5.478200e+09	4.964000e+03
5.478400e+09	4.933333e+03
5.478600e+09	5.072667e+03
5.478800e+09	4.996000e+03
5.479000e+09	4.924000e+03
5.479200e+09	5.010000e+03
5.479400e+09	5.006667e+03
5.479600e+09	5.040667e+03
5.479800e+09	4.970000e+03
5.480000e+09	5.033333e+03
5.480200e+09	4.910667e+03
5.480400e+09	4.952000e+03
5.480600e+09	4.866667e+03
5.480800e+09	4.916667e+03
5.481000e+09	4.877333e+03
