#Saved Data from the class odmr_logic on 02.12.2022 at 14h20m39s.
#
#Parameters:
#===========
#
#Microwave CW Power (dBm): -4.0000000000000000e+00
#Microwave Sweep Power (dBm): -2.0000000000000000e+00
#Run Time (s): 6.0000000000000000e+03
#Number of frequency sweeps (#): 66
#Start Frequency (Hz): 5.4768000000000000e+09
#Stop Frequency (Hz): 5.4784000000000000e+09
#Step size (Hz): 2.0000000000000000e+04
#Clock Frequency (Hz): 20
#Channel: 0: /Dev1/Ctr3
#
#Data:
#=====
#frequency (Hz)	count data (counts/s)	
5.476800e+09	1.087692e+03
5.476820e+09	1.084923e+03
5.476840e+09	1.080308e+03
5.476860e+09	1.067385e+03
5.476880e+09	1.093231e+03
5.476900e+09	1.091692e+03
5.476920e+09	1.078154e+03
5.476940e+09	1.014769e+03
5.476960e+09	1.053846e+03
5.476980e+09	1.059692e+03
5.477000e+09	1.090769e+03
5.477020e+09	1.065846e+03
5.477040e+09	1.048615e+03
5.477060e+09	1.075385e+03
5.477080e+09	1.084000e+03
5.477100e+09	1.069231e+03
5.477120e+09	1.020615e+03
5.477140e+09	1.084308e+03
5.477160e+09	1.077846e+03
5.477180e+09	1.048000e+03
5.477200e+09	1.049846e+03
5.477220e+09	1.081846e+03
5.477240e+09	1.088615e+03
5.477260e+09	1.093231e+03
5.477280e+09	1.069231e+03
5.477300e+09	1.064000e+03
5.477320e+09	1.069538e+03
5.477340e+09	1.045846e+03
5.477360e+09	1.026154e+03
5.477380e+09	1.046769e+03
5.477400e+09	1.051692e+03
5.477420e+09	1.036000e+03
5.477440e+09	1.038154e+03
5.477460e+09	1.026769e+03
5.477480e+09	1.011385e+03
5.477500e+09	1.033231e+03
5.477520e+09	1.058769e+03
5.477540e+09	1.066462e+03
5.477560e+09	1.022462e+03
5.477580e+09	9.898462e+02
5.477600e+09	9.963077e+02
5.477620e+09	1.024923e+03
5.477640e+09	9.640000e+02
5.477660e+09	9.412308e+02
5.477680e+09	9.760000e+02
5.477700e+09	9.747692e+02
5.477720e+09	9.649231e+02
5.477740e+09	9.938462e+02
5.477760e+09	9.775385e+02
5.477780e+09	9.824615e+02
5.477800e+09	9.726154e+02
5.477820e+09	9.981538e+02
5.477840e+09	9.800000e+02
5.477860e+09	9.867692e+02
5.477880e+09	9.993846e+02
5.477900e+09	1.008615e+03
5.477920e+09	1.027692e+03
5.477940e+09	1.010154e+03
5.477960e+09	1.002462e+03
5.477980e+09	1.031385e+03
5.478000e+09	1.036000e+03
5.478020e+09	1.028615e+03
5.478040e+09	1.040000e+03
5.478060e+09	1.050462e+03
5.478080e+09	1.053231e+03
5.478100e+09	1.062462e+03
5.478120e+09	1.029846e+03
5.478140e+09	1.026462e+03
5.478160e+09	9.803077e+02
5.478180e+09	1.065846e+03
5.478200e+09	1.036000e+03
5.478220e+09	1.048308e+03
5.478240e+09	9.975385e+02
5.478260e+09	1.027385e+03
5.478280e+09	1.018769e+03
5.478300e+09	1.040615e+03
5.478320e+09	1.055385e+03
5.478340e+09	1.075385e+03
5.478360e+09	1.012615e+03
5.478380e+09	1.012923e+03
5.478400e+09	9.926154e+02
