#Saved Data from the class odmr_logic on 02.12.2022 at 14h14m26s.
#
#Parameters:
#===========
#
#Microwave CW Power (dBm): -4.0000000000000000e+00
#Microwave Sweep Power (dBm): -2.0000000000000000e+00
#Run Time (s): 6.0000000000000000e+03
#Number of frequency sweeps (#): 59
#Start Frequency (Hz): 5.4765000000000000e+09
#Stop Frequency (Hz): 5.4790000000000000e+09
#Step size (Hz): 5.0000000000000000e+04
#Clock Frequency (Hz): 20
#Channel: 0: /Dev1/Ctr3
#
#Data:
#=====
#frequency (Hz)	count data (counts/s)	
5.476500e+09	1.470345e+03
5.476550e+09	1.422759e+03
5.476600e+09	1.454138e+03
5.476650e+09	1.426552e+03
5.476700e+09	1.464483e+03
5.476750e+09	1.401724e+03
5.476800e+09	1.442069e+03
5.476850e+09	1.440690e+03
5.476900e+09	1.443103e+03
5.476950e+09	1.404828e+03
5.477000e+09	1.401379e+03
5.477050e+09	1.448966e+03
5.477100e+09	1.398621e+03
5.477150e+09	1.407586e+03
5.477200e+09	1.376207e+03
5.477250e+09	1.373448e+03
5.477300e+09	1.350690e+03
5.477350e+09	1.400690e+03
5.477400e+09	1.374828e+03
5.477450e+09	1.392414e+03
5.477500e+09	1.371724e+03
5.477550e+09	1.339655e+03
5.477600e+09	1.306207e+03
5.477650e+09	1.291379e+03
5.477700e+09	1.284828e+03
5.477750e+09	1.282069e+03
5.477800e+09	1.296207e+03
5.477850e+09	1.287586e+03
5.477900e+09	1.334828e+03
5.477950e+09	1.373793e+03
5.478000e+09	1.316897e+03
5.478050e+09	1.385172e+03
5.478100e+09	1.420345e+03
5.478150e+09	1.379310e+03
5.478200e+09	1.400690e+03
5.478250e+09	1.416897e+03
5.478300e+09	1.395862e+03
5.478350e+09	1.380690e+03
5.478400e+09	1.404138e+03
5.478450e+09	1.358621e+03
5.478500e+09	1.410000e+03
5.478550e+09	1.423103e+03
5.478600e+09	1.440690e+03
5.478650e+09	1.410000e+03
5.478700e+09	1.374828e+03
5.478750e+09	1.420345e+03
5.478800e+09	1.372414e+03
5.478850e+09	1.406897e+03
5.478900e+09	1.411724e+03
5.478950e+09	1.429655e+03
5.479000e+09	1.451034e+03
