#Saved Data from the class odmr_logic on 02.12.2022 at 14h08m58s.
#
#Parameters:
#===========
#
#Microwave CW Power (dBm): -4.0000000000000000e+00
#Microwave Sweep Power (dBm): -2.0000000000000000e+00
#Run Time (s): 6.0000000000000000e+03
#Number of frequency sweeps (#): 19
#Start Frequency (Hz): 5.4760000000000000e+09
#Stop Frequency (Hz): 5.4800000000000000e+09
#Step size (Hz): 1.0000000000000000e+05
#Clock Frequency (Hz): 20
#Channel: 0: /Dev1/Ctr3
#
#Data:
#=====
#frequency (Hz)	count data (counts/s)	
5.476000e+09	3.485556e+03
5.476100e+09	3.482222e+03
5.476200e+09	3.345556e+03
5.476300e+09	3.327778e+03
5.476400e+09	3.361111e+03
5.476500e+09	3.350000e+03
5.476600e+09	3.423333e+03
5.476700e+09	3.433333e+03
5.476800e+09	3.331111e+03
5.476900e+09	3.302222e+03
5.477000e+09	3.373333e+03
5.477100e+09	3.303333e+03
5.477200e+09	3.244444e+03
5.477300e+09	3.153333e+03
5.477400e+09	2.968889e+03
5.477500e+09	3.037778e+03
5.477600e+09	2.851111e+03
5.477700e+09	2.723333e+03
5.477800e+09	2.827778e+03
5.477900e+09	2.861111e+03
5.478000e+09	3.006667e+03
5.478100e+09	3.026667e+03
5.478200e+09	3.147778e+03
5.478300e+09	3.206667e+03
5.478400e+09	3.257778e+03
5.478500e+09	3.242222e+03
5.478600e+09	3.312222e+03
5.478700e+09	3.378889e+03
5.478800e+09	3.306667e+03
5.478900e+09	3.246667e+03
5.479000e+09	3.416667e+03
5.479100e+09	3.427778e+03
5.479200e+09	3.305556e+03
5.479300e+09	3.194444e+03
5.479400e+09	3.311111e+03
5.479500e+09	3.294444e+03
5.479600e+09	3.317778e+03
5.479700e+09	3.225556e+03
5.479800e+09	3.220000e+03
5.479900e+09	3.278889e+03
5.480000e+09	3.126667e+03
