#Saved Data from the class odmr_logic on 02.12.2022 at 14h07m20s.
#
#Parameters:
#===========
#
#Microwave CW Power (dBm): -4.0000000000000000e+00
#Microwave Sweep Power (dBm): -2.0000000000000000e+00
#Run Time (s): 6.0000000000000000e+03
#Number of frequency sweeps (#): 11
#Start Frequency (Hz): 5.4760000000000000e+09
#Stop Frequency (Hz): 5.4810000000000000e+09
#Step size (Hz): 2.0000000000000000e+05
#Clock Frequency (Hz): 20
#Channel: 0: /Dev1/Ctr3
#
#Data:
#=====
#frequency (Hz)	count data (counts/s)	
5.476000e+09	5.708000e+03
5.476200e+09	5.624000e+03
5.476400e+09	5.654000e+03
5.476600e+09	5.280000e+03
5.476800e+09	5.352000e+03
5.477000e+09	5.200000e+03
5.477200e+09	4.984000e+03
5.477400e+09	4.762000e+03
5.477600e+09	4.464000e+03
5.477800e+09	4.330000e+03
5.478000e+09	4.560000e+03
5.478200e+09	4.722000e+03
5.478400e+09	5.144000e+03
5.478600e+09	5.312000e+03
5.478800e+09	5.364000e+03
5.479000e+09	5.456000e+03
5.479200e+09	5.446000e+03
5.479400e+09	5.432000e+03
5.479600e+09	5.314000e+03
5.479800e+09	5.536000e+03
5.480000e+09	5.452000e+03
5.480200e+09	5.406000e+03
5.480400e+09	5.320000e+03
5.480600e+09	5.592000e+03
5.480800e+09	5.332000e+03
5.481000e+09	5.582000e+03
