#Saved Data from the class odmr_logic on 02.12.2022 at 14h34m08s.
#
#Parameters:
#===========
#
#Microwave CW Power (dBm): -4.0000000000000000e+00
#Microwave Sweep Power (dBm): -2.0000000000000000e+00
#Run Time (s): 6.0000000000000000e+03
#Number of frequency sweeps (#): 27
#Start Frequency (Hz): 5.4750000000000000e+09
#Stop Frequency (Hz): 5.4810000000000000e+09
#Step size (Hz): 2.0000000000000000e+05
#Clock Frequency (Hz): 20
#Channel: 0: /Dev1/Ctr3
#
#Data:
#=====
#frequency (Hz)	count data (counts/s)	
5.475000e+09	7.970000e+03
5.475200e+09	8.123077e+03
5.475400e+09	8.097692e+03
5.475600e+09	7.988462e+03
5.475800e+09	7.853077e+03
5.476000e+09	7.866923e+03
5.476200e+09	7.866923e+03
5.476400e+09	7.573077e+03
5.476600e+09	7.590769e+03
5.476800e+09	7.416923e+03
5.477000e+09	7.382308e+03
5.477200e+09	7.029231e+03
5.477400e+09	7.113077e+03
5.477600e+09	6.820769e+03
5.477800e+09	6.860000e+03
5.478000e+09	7.120000e+03
5.478200e+09	7.263077e+03
5.478400e+09	7.400000e+03
5.478600e+09	7.598462e+03
5.478800e+09	7.601538e+03
5.479000e+09	7.706154e+03
5.479200e+09	7.742308e+03
5.479400e+09	7.573846e+03
5.479600e+09	7.684615e+03
5.479800e+09	7.644615e+03
5.480000e+09	7.693077e+03
5.480200e+09	7.706154e+03
5.480400e+09	7.514615e+03
5.480600e+09	7.603077e+03
5.480800e+09	7.938462e+03
5.481000e+09	7.856154e+03
