#Saved Data from the class odmr_logic on 02.12.2022 at 14h13m43s.
#
#Parameters:
#===========
#
#Microwave CW Power (dBm): -4.0000000000000000e+00
#Microwave Sweep Power (dBm): -2.0000000000000000e+00
#Run Time (s): 6.0000000000000000e+03
#Number of frequency sweeps (#): 43
#Start Frequency (Hz): 5.4765000000000000e+09
#Stop Frequency (Hz): 5.4790000000000000e+09
#Step size (Hz): 5.0000000000000000e+04
#Clock Frequency (Hz): 20
#Channel: 0: /Dev1/Ctr3
#
#Data:
#=====
#frequency (Hz)	count data (counts/s)	
5.476500e+09	1.465238e+03
5.476550e+09	1.410952e+03
5.476600e+09	1.452857e+03
5.476650e+09	1.422381e+03
5.476700e+09	1.458571e+03
5.476750e+09	1.379524e+03
5.476800e+09	1.425238e+03
5.476850e+09	1.401905e+03
5.476900e+09	1.427143e+03
5.476950e+09	1.394762e+03
5.477000e+09	1.374286e+03
5.477050e+09	1.442381e+03
5.477100e+09	1.379048e+03
5.477150e+09	1.388571e+03
5.477200e+09	1.361905e+03
5.477250e+09	1.372857e+03
5.477300e+09	1.316190e+03
5.477350e+09	1.372381e+03
5.477400e+09	1.334762e+03
5.477450e+09	1.373333e+03
5.477500e+09	1.360000e+03
5.477550e+09	1.363810e+03
5.477600e+09	1.311905e+03
5.477650e+09	1.304762e+03
5.477700e+09	1.283810e+03
5.477750e+09	1.271429e+03
5.477800e+09	1.280952e+03
5.477850e+09	1.279048e+03
5.477900e+09	1.334762e+03
5.477950e+09	1.356667e+03
5.478000e+09	1.307143e+03
5.478050e+09	1.386667e+03
5.478100e+09	1.401429e+03
5.478150e+09	1.377619e+03
5.478200e+09	1.398095e+03
5.478250e+09	1.393333e+03
5.478300e+09	1.390000e+03
5.478350e+09	1.364286e+03
5.478400e+09	1.371905e+03
5.478450e+09	1.329048e+03
5.478500e+09	1.427143e+03
5.478550e+09	1.439048e+03
5.478600e+09	1.418095e+03
5.478650e+09	1.380952e+03
5.478700e+09	1.327619e+03
5.478750e+09	1.410476e+03
5.478800e+09	1.340476e+03
5.478850e+09	1.386190e+03
5.478900e+09	1.380000e+03
5.478950e+09	1.411905e+03
5.479000e+09	1.432857e+03
