#Saved Data from the class odmr_logic on 02.12.2022 at 14h27m01s.
#
#Parameters:
#===========
#
#Microwave CW Power (dBm): -4.0000000000000000e+00
#Microwave Sweep Power (dBm): -2.0000000000000000e+00
#Run Time (s): 6.0000000000000000e+03
#Number of frequency sweeps (#): 73
#Start Frequency (Hz): 5.4772000000000000e+09
#Stop Frequency (Hz): 5.4784000000000000e+09
#Step size (Hz): 2.0000000000000000e+04
#Clock Frequency (Hz): 20
#Channel: 0: /Dev1/Ctr3
#
#Data:
#=====
#frequency (Hz)	count data (counts/s)	
5.477200e+09	6.061111e+02
5.477220e+09	6.263889e+02
5.477240e+09	5.925000e+02
5.477260e+09	6.347222e+02
5.477280e+09	6.138889e+02
5.477300e+09	6.241667e+02
5.477320e+09	5.933333e+02
5.477340e+09	6.086111e+02
5.477360e+09	6.022222e+02
5.477380e+09	6.163889e+02
5.477400e+09	6.241667e+02
5.477420e+09	5.783333e+02
5.477440e+09	6.152778e+02
5.477460e+09	6.036111e+02
5.477480e+09	5.927778e+02
5.477500e+09	6.063889e+02
5.477520e+09	6.130556e+02
5.477540e+09	5.955556e+02
5.477560e+09	6.113889e+02
5.477580e+09	6.002778e+02
5.477600e+09	6.119444e+02
5.477620e+09	5.994444e+02
5.477640e+09	5.977778e+02
5.477660e+09	5.919444e+02
5.477680e+09	6.108333e+02
5.477700e+09	5.838889e+02
5.477720e+09	5.969444e+02
5.477740e+09	5.950000e+02
5.477760e+09	5.747222e+02
5.477780e+09	5.786111e+02
5.477800e+09	5.941667e+02
5.477820e+09	5.883333e+02
5.477840e+09	5.933333e+02
5.477860e+09	5.775000e+02
5.477880e+09	5.827778e+02
5.477900e+09	5.880556e+02
5.477920e+09	5.997222e+02
5.477940e+09	5.927778e+02
5.477960e+09	5.833333e+02
5.477980e+09	6.097222e+02
5.478000e+09	6.013889e+02
5.478020e+09	5.938889e+02
5.478040e+09	5.941667e+02
5.478060e+09	6.150000e+02
5.478080e+09	6.225000e+02
5.478100e+09	6.050000e+02
5.478120e+09	5.963889e+02
5.478140e+09	5.983333e+02
5.478160e+09	6.258333e+02
5.478180e+09	6.075000e+02
5.478200e+09	6.116667e+02
5.478220e+09	6.202778e+02
5.478240e+09	6.075000e+02
5.478260e+09	6.013889e+02
5.478280e+09	6.166667e+02
5.478300e+09	6.013889e+02
5.478320e+09	6.086111e+02
5.478340e+09	6.050000e+02
5.478360e+09	6.102778e+02
5.478380e+09	6.058333e+02
5.478400e+09	5.836111e+02
