#Saved Data from the class odmr_logic on 02.12.2022 at 14h27m34s.
#
#Parameters:
#===========
#
#Microwave CW Power (dBm): -4.0000000000000000e+00
#Microwave Sweep Power (dBm): -2.0000000000000000e+00
#Run Time (s): 6.0000000000000000e+03
#Number of frequency sweeps (#): 83
#Start Frequency (Hz): 5.4772000000000000e+09
#Stop Frequency (Hz): 5.4784000000000000e+09
#Step size (Hz): 2.0000000000000000e+04
#Clock Frequency (Hz): 20
#Channel: 0: /Dev1/Ctr3
#
#Data:
#=====
#frequency (Hz)	count data (counts/s)	
5.477200e+09	5.992683e+02
5.477220e+09	6.141463e+02
5.477240e+09	5.831707e+02
5.477260e+09	6.297561e+02
5.477280e+09	6.063415e+02
5.477300e+09	6.185366e+02
5.477320e+09	5.939024e+02
5.477340e+09	6.070732e+02
5.477360e+09	5.985366e+02
5.477380e+09	6.163415e+02
5.477400e+09	6.134146e+02
5.477420e+09	5.731707e+02
5.477440e+09	6.170732e+02
5.477460e+09	6.012195e+02
5.477480e+09	5.951220e+02
5.477500e+09	5.995122e+02
5.477520e+09	6.095122e+02
5.477540e+09	5.897561e+02
5.477560e+09	6.048780e+02
5.477580e+09	6.043902e+02
5.477600e+09	6.034146e+02
5.477620e+09	5.965854e+02
5.477640e+09	6.017073e+02
5.477660e+09	5.817073e+02
5.477680e+09	6.051220e+02
5.477700e+09	5.790244e+02
5.477720e+09	5.939024e+02
5.477740e+09	5.897561e+02
5.477760e+09	5.839024e+02
5.477780e+09	5.853659e+02
5.477800e+09	5.900000e+02
5.477820e+09	5.878049e+02
5.477840e+09	5.929268e+02
5.477860e+09	5.829268e+02
5.477880e+09	5.951220e+02
5.477900e+09	5.882927e+02
5.477920e+09	5.953659e+02
5.477940e+09	5.904878e+02
5.477960e+09	5.787805e+02
5.477980e+09	6.107317e+02
5.478000e+09	5.943902e+02
5.478020e+09	5.909756e+02
5.478040e+09	5.941463e+02
5.478060e+09	6.197561e+02
5.478080e+09	6.182927e+02
5.478100e+09	5.965854e+02
5.478120e+09	5.943902e+02
5.478140e+09	6.060976e+02
5.478160e+09	6.146341e+02
5.478180e+09	6.021951e+02
5.478200e+09	6.029268e+02
5.478220e+09	6.187805e+02
5.478240e+09	6.060976e+02
5.478260e+09	5.990244e+02
5.478280e+09	6.148780e+02
5.478300e+09	6.043902e+02
5.478320e+09	6.056098e+02
5.478340e+09	6.068293e+02
5.478360e+09	5.970732e+02
5.478380e+09	6.119512e+02
5.478400e+09	5.843902e+02
