#Saved Data from the class odmr_logic on 02.12.2022 at 14h10m55s.
#
#Parameters:
#===========
#
#Microwave CW Power (dBm): -4.0000000000000000e+00
#Microwave Sweep Power (dBm): -2.0000000000000000e+00
#Run Time (s): 6.0000000000000000e+03
#Number of frequency sweeps (#): 17
#Start Frequency (Hz): 5.4765000000000000e+09
#Stop Frequency (Hz): 5.4790000000000000e+09
#Step size (Hz): 5.0000000000000000e+04
#Clock Frequency (Hz): 20
#Channel: 0: /Dev1/Ctr3
#
#Data:
#=====
#frequency (Hz)	count data (counts/s)	
5.476500e+09	2.101250e+03
5.476550e+09	2.000000e+03
5.476600e+09	2.012500e+03
5.476650e+09	1.977500e+03
5.476700e+09	2.021250e+03
5.476750e+09	1.972500e+03
5.476800e+09	1.991250e+03
5.476850e+09	2.036250e+03
5.476900e+09	2.061250e+03
5.476950e+09	2.078750e+03
5.477000e+09	1.956250e+03
5.477050e+09	2.113750e+03
5.477100e+09	1.962500e+03
5.477150e+09	2.000000e+03
5.477200e+09	1.975000e+03
5.477250e+09	1.992500e+03
5.477300e+09	1.853750e+03
5.477350e+09	1.898750e+03
5.477400e+09	1.876250e+03
5.477450e+09	1.890000e+03
5.477500e+09	1.843750e+03
5.477550e+09	1.752500e+03
5.477600e+09	1.750000e+03
5.477650e+09	1.697500e+03
5.477700e+09	1.706250e+03
5.477750e+09	1.643750e+03
5.477800e+09	1.707500e+03
5.477850e+09	1.655000e+03
5.477900e+09	1.806250e+03
5.477950e+09	1.757500e+03
5.478000e+09	1.858750e+03
5.478050e+09	1.883750e+03
5.478100e+09	1.936250e+03
5.478150e+09	1.896250e+03
5.478200e+09	1.886250e+03
5.478250e+09	1.971250e+03
5.478300e+09	1.981250e+03
5.478350e+09	1.935000e+03
5.478400e+09	1.938750e+03
5.478450e+09	2.002500e+03
5.478500e+09	1.981250e+03
5.478550e+09	1.966250e+03
5.478600e+09	1.937500e+03
5.478650e+09	1.983750e+03
5.478700e+09	1.906250e+03
5.478750e+09	2.002500e+03
5.478800e+09	1.933750e+03
5.478850e+09	1.886250e+03
5.478900e+09	2.040000e+03
5.478950e+09	1.977500e+03
5.479000e+09	1.920000e+03
