#Saved Data from the class odmr_logic on 02.12.2022 at 12h44m55s.
#
#Parameters:
#===========
#
#Microwave CW Power (dBm): -4.0000000000000000e+00
#Microwave Sweep Power (dBm): -2.0000000000000000e+00
#Run Time (s): 6.0000000000000000e+03
#Number of frequency sweeps (#): 55
#Start Frequency (Hz): 5.4300000000000000e+09
#Stop Frequency (Hz): 5.5100000000000000e+09
#Step size (Hz): 1.0000000000000000e+06
#Clock Frequency (Hz): 20
#Channel: 0: /Dev1/Ctr3
#
#Data:
#=====
#frequency (Hz)	count data (counts/s)	
5.430000e+09	7.549630e+03
5.431000e+09	7.545185e+03
5.432000e+09	7.800000e+03
5.433000e+09	7.876296e+03
5.434000e+09	7.837407e+03
5.435000e+09	7.925926e+03
5.436000e+09	7.969630e+03
5.437000e+09	8.144074e+03
5.438000e+09	8.178519e+03
5.439000e+09	8.233333e+03
5.440000e+09	8.458519e+03
5.441000e+09	8.502593e+03
5.442000e+09	8.631481e+03
5.443000e+09	8.561481e+03
5.444000e+09	8.882963e+03
5.445000e+09	8.942222e+03
5.446000e+09	9.100370e+03
5.447000e+09	9.247407e+03
5.448000e+09	9.330741e+03
5.449000e+09	9.492593e+03
5.450000e+09	9.550000e+03
5.451000e+09	9.703333e+03
5.452000e+09	9.758889e+03
5.453000e+09	9.761111e+03
5.454000e+09	9.849630e+03
5.455000e+09	9.937407e+03
5.456000e+09	9.995926e+03
5.457000e+09	9.831111e+03
5.458000e+09	8.570370e+03
5.459000e+09	8.978148e+03
5.460000e+09	9.688519e+03
5.461000e+09	1.017519e+04
5.462000e+09	1.052148e+04
5.463000e+09	1.048444e+04
5.464000e+09	1.075593e+04
5.465000e+09	1.059074e+04
5.466000e+09	1.055778e+04
5.467000e+09	1.079148e+04
5.468000e+09	1.058000e+04
5.469000e+09	1.076111e+04
5.470000e+09	1.064852e+04
5.471000e+09	1.056889e+04
5.472000e+09	1.079556e+04
5.473000e+09	1.071889e+04
5.474000e+09	1.041148e+04
5.475000e+09	1.035111e+04
5.476000e+09	9.970370e+03
5.477000e+09	8.894074e+03
5.478000e+09	8.159259e+03
5.479000e+09	9.501481e+03
5.480000e+09	9.889259e+03
5.481000e+09	1.021852e+04
5.482000e+09	9.891111e+03
5.483000e+09	1.004222e+04
5.484000e+09	9.877778e+03
5.485000e+09	9.586667e+03
5.486000e+09	9.634444e+03
5.487000e+09	9.462593e+03
5.488000e+09	9.482963e+03
5.489000e+09	9.238519e+03
5.490000e+09	9.157778e+03
5.491000e+09	9.134074e+03
5.492000e+09	9.096667e+03
5.493000e+09	8.938519e+03
5.494000e+09	8.906296e+03
5.495000e+09	8.631481e+03
5.496000e+09	8.600000e+03
5.497000e+09	8.474074e+03
5.498000e+09	8.545926e+03
5.499000e+09	8.396296e+03
5.500000e+09	8.231111e+03
5.501000e+09	8.059630e+03
5.502000e+09	8.126296e+03
5.503000e+09	7.936296e+03
5.504000e+09	7.844815e+03
5.505000e+09	7.704074e+03
5.506000e+09	7.835926e+03
5.507000e+09	7.678889e+03
5.508000e+09	7.644074e+03
5.509000e+09	7.443704e+03
5.510000e+09	7.386667e+03
