#Saved Data from the class odmr_logic on 02.12.2022 at 14h09m58s.
#
#Parameters:
#===========
#
#Microwave CW Power (dBm): -4.0000000000000000e+00
#Microwave Sweep Power (dBm): -2.0000000000000000e+00
#Run Time (s): 6.0000000000000000e+03
#Number of frequency sweeps (#): 15
#Start Frequency (Hz): 5.4765000000000000e+09
#Stop Frequency (Hz): 5.4790000000000000e+09
#Step size (Hz): 5.0000000000000000e+04
#Clock Frequency (Hz): 20
#Channel: 0: /Dev1/Ctr3
#
#Data:
#=====
#frequency (Hz)	count data (counts/s)	
5.476500e+09	2.418571e+03
5.476550e+09	2.420000e+03
5.476600e+09	2.380000e+03
5.476650e+09	2.367143e+03
5.476700e+09	2.400000e+03
5.476750e+09	2.420000e+03
5.476800e+09	2.357143e+03
5.476850e+09	2.400000e+03
5.476900e+09	2.218571e+03
5.476950e+09	2.430000e+03
5.477000e+09	2.301429e+03
5.477050e+09	2.477143e+03
5.477100e+09	2.277143e+03
5.477150e+09	2.257143e+03
5.477200e+09	2.328571e+03
5.477250e+09	2.371429e+03
5.477300e+09	2.324286e+03
5.477350e+09	2.312857e+03
5.477400e+09	2.122857e+03
5.477450e+09	2.250000e+03
5.477500e+09	2.102857e+03
5.477550e+09	2.101429e+03
5.477600e+09	1.988571e+03
5.477650e+09	1.992857e+03
5.477700e+09	1.890000e+03
5.477750e+09	1.937143e+03
5.477800e+09	1.960000e+03
5.477850e+09	2.125714e+03
5.477900e+09	1.920000e+03
5.477950e+09	2.254286e+03
5.478000e+09	2.154286e+03
5.478050e+09	2.085714e+03
5.478100e+09	2.222857e+03
5.478150e+09	2.321429e+03
5.478200e+09	2.402857e+03
5.478250e+09	2.384286e+03
5.478300e+09	2.385714e+03
5.478350e+09	2.308571e+03
5.478400e+09	2.330000e+03
5.478450e+09	2.321429e+03
5.478500e+09	2.331429e+03
5.478550e+09	2.301429e+03
5.478600e+09	2.311429e+03
5.478650e+09	2.390000e+03
5.478700e+09	2.281429e+03
5.478750e+09	2.380000e+03
5.478800e+09	2.410000e+03
5.478850e+09	2.387143e+03
5.478900e+09	2.424286e+03
5.478950e+09	2.387143e+03
5.479000e+09	2.301429e+03
