time(ps)	counts
2425000	1064
2430000	1131
2435000	1129
2440000	1166
2445000	1101
2450000	1091
2455000	1098
2460000	1158
2465000	1085
2470000	1086
2475000	1097
2480000	1063
2485000	1152
2490000	1293
2495000	1303
2500000	1299
2505000	1288
2510000	1196
2515000	1279
2520000	1167
2525000	1154
2530000	1180
2535000	1225
2540000	1204
2545000	1137
2550000	1117
2555000	1140
2560000	1161
2565000	1154
2570000	1136
2575000	1177
2580000	1144
2585000	1153
2590000	1158
2595000	1147
2600000	1133
2605000	1141
2610000	1154
2615000	1140
2620000	1105
2625000	1128
2630000	1145
2635000	1063
2640000	1116
2645000	1115
2650000	1123
2655000	1117
2660000	1105
2665000	1062
2670000	1114
2675000	1068
2680000	1119
2685000	1108
2690000	1083
2695000	1110
2700000	1158
2705000	1097
2710000	1109
2715000	1039
2720000	1119
2725000	1140
2730000	1095
2735000	1113
2740000	1109
2745000	1110
2750000	1107
2755000	1087
2760000	1203
2765000	1090
2770000	1109
2775000	1081
2780000	1126
2785000	988
2790000	1120
2795000	1100
2800000	1116
2805000	1125
2810000	1243
2815000	1247
2820000	1247
2825000	1241
2830000	1197
2835000	1193
2840000	1211
2845000	1247
2850000	1220
2855000	1255
2860000	1184
2865000	1159
2870000	1234
2875000	1087
2880000	1165
2885000	1145
2890000	1126
2895000	1224
2900000	1174
2905000	1087
2910000	1129
2915000	1149
2920000	1118
2925000	1151
2930000	1114
2935000	1106
2940000	1123
2945000	1154
2950000	1080
2955000	1110
2960000	1189
2965000	1146
2970000	1107
2975000	1152
2980000	1148
2985000	1112
2990000	1110
2995000	1051
3000000	1092
3005000	1057
3010000	1081
3015000	1134
3020000	1151
3025000	1185
3030000	1078
3035000	1141
3040000	1093
3045000	1091
3050000	1065
3055000	1146
3060000	1072
3065000	1091
3070000	1111
3075000	1079
3080000	1152
3085000	1124
3090000	1089
3095000	1114
3100000	1112
3105000	1059
3110000	1083
3115000	1125
3120000	1088
3125000	1123
3130000	1101
3135000	1086
3140000	982
3145000	1120
3150000	1265
3155000	1259
3160000	1160
3165000	1298
3170000	1216
3175000	1169
3180000	1252
3185000	1145
3190000	1218
3195000	1268
3200000	1150
3205000	1182
3210000	1119
3215000	1149
3220000	1160
3225000	1157
3230000	1165
3235000	1279
3240000	1137
3245000	1114
3250000	1179
3255000	1123
3260000	1133
3265000	1150
3270000	1085
3275000	1110
3280000	1115
3285000	1149
3290000	1158
3295000	1134
3300000	1101
3305000	1137
3310000	1117
3315000	1146
3320000	1126
3325000	1073
3330000	1053
3335000	1086
3340000	1134
3345000	1106
3350000	1091
3355000	1099
3360000	1108
3365000	1112
3370000	1116
3375000	1056
3380000	1097
3385000	1102
3390000	1193
3395000	1131
3400000	1101
3405000	1129
3410000	1081
3415000	1027
3420000	1151
3425000	1143
3430000	1150
3435000	1074
3440000	1083
3445000	1057
3450000	1132
3455000	1097
3460000	1144
3465000	1127
3470000	1086
3475000	1084
3480000	1039
3485000	1055
3490000	1108
3495000	1157
3500000	1114
3505000	1091
3510000	1175
3515000	1178
3520000	1211
3525000	1174
3530000	1195
3535000	1152
3540000	1225
3545000	1225
3550000	1132
3555000	1171
3560000	1158
3565000	1113
3570000	1155
3575000	1092
3580000	1087
3585000	1155
3590000	1164
3595000	1091
3600000	1147
3605000	1080
3610000	1131
3615000	1132
3620000	1071
3625000	1136
3630000	1090
3635000	1149
3640000	1079
3645000	1063
3650000	1097
3655000	1134
3660000	1138
3665000	1117
3670000	1119
3675000	1052
3680000	1063
3685000	1116
3690000	1126
3695000	1083
3700000	1090
3705000	1109
3710000	1136
3715000	1119
3720000	1138
3725000	1078
3730000	1150
3735000	1128
3740000	1114
3745000	1116
3750000	1147
3755000	1028
3760000	1117
3765000	1102
3770000	1087
3775000	1093
3780000	1133
3785000	1104
3790000	1069
3795000	1133
3800000	1106
3805000	1081
3810000	1088
3815000	1071
3820000	1088
3825000	1050
3830000	1137
3835000	1084
3840000	1065
3845000	1125
3850000	1107
3855000	1080
3860000	1043
3865000	1076
3870000	1176
3875000	1108
3880000	1125
3885000	1036
3890000	1129
3895000	1070
3900000	1184
3905000	1166
3910000	1109
3915000	1028
3920000	1153
3925000	1114
3930000	1175
3935000	1089
3940000	1112
3945000	1141
3950000	1075
3955000	1084
3960000	1100
3965000	1070
3970000	1184
3975000	1097
3980000	1129
3985000	1197
3990000	1189
3995000	1125
4000000	1088
4005000	1082
4010000	1105
4015000	1138
4020000	1063
4025000	1107
4030000	1063
4035000	1147
4040000	1130
4045000	1058
4050000	1076
4055000	1153
4060000	1105
4065000	1124
4070000	1083
4075000	1165
4080000	1141
4085000	1167
4090000	1121
4095000	1128
4100000	1178
4105000	1127
4110000	1126
4115000	1099
4120000	1112
4125000	1107
4130000	1092
4135000	1084
4140000	1015
4145000	1084
4150000	1102
4155000	1142
4160000	1063
4165000	1086
4170000	1082
4175000	1043
4180000	1140
4185000	1086
4190000	1101
4195000	1056
4200000	1104
4205000	1125
4210000	1075
4215000	1043
4220000	1090
4225000	1175
4230000	1128
4235000	1112
4240000	1131
4245000	1021
4250000	1051
4255000	1056
4260000	1123
4265000	1114
4270000	1059
4275000	1090
4280000	1106
4285000	1157
4290000	1071
4295000	1073
4300000	1126
4305000	1137
4310000	1078
4315000	1130
4320000	1159
4325000	1050
4330000	1137
4335000	1060
4340000	1089
4345000	1094
4350000	1105
4355000	1106
4360000	1095
4365000	1144
4370000	1115
4375000	1086
4380000	1084
4385000	1097
4390000	1103
4395000	1174
4400000	1159
4405000	1053
4410000	1104
4415000	1083
4420000	1096
4425000	1081
4430000	1112
4435000	1055
4440000	1122
4445000	1080
4450000	1131
4455000	1073
4460000	1113
4465000	1101
4470000	1155
4475000	1097
4480000	1107
4485000	1082
4490000	1070
4495000	1116
4500000	1069
4505000	1047
4510000	1056
4515000	1134
4520000	1100
4525000	1070
4530000	1068
4535000	1126
4540000	1110
4545000	1069
4550000	1118
4555000	1107
4560000	1125
4565000	1037
4570000	1073
4575000	1101
4580000	1087
4585000	1110
4590000	1037
4595000	1105
4600000	1062
4605000	1126
4610000	1092
4615000	1072
4620000	1151
4625000	1018
4630000	1107
4635000	1093
4640000	1104
4645000	1114
4650000	1109
4655000	1057
4660000	1121
4665000	1112
4670000	1110
4675000	1077
4680000	1109
4685000	1116
4690000	1132
4695000	1074
4700000	1074
4705000	1059
4710000	1139
4715000	1066
4720000	1108
4725000	1172
4730000	1080
4735000	1115
4740000	1076
4745000	1078
4750000	1150
4755000	1065
4760000	1099
4765000	1089
4770000	1067
4775000	1089
4780000	1077
4785000	1075
4790000	1053
4795000	1077
4800000	1106
4805000	1134
4810000	1105
4815000	1088
4820000	1101
4825000	1156
4830000	1112
4835000	1119
4840000	1099
4845000	1149
4850000	1110
4855000	1089
4860000	1057
4865000	1135
4870000	1108
4875000	1065
4880000	1118
4885000	1105
4890000	1133
4895000	1109
4900000	1061
4905000	1097
4910000	1132
4915000	1121
4920000	1114
4925000	1089
4930000	1109
4935000	1143
4940000	1158
4945000	1082
4950000	1088
4955000	1108
4960000	1128
4965000	1070
4970000	1109
4975000	1123
4980000	1096
4985000	1084
4990000	1117
4995000	1065
5000000	1079
5005000	1088
5010000	1073
5015000	1066
5020000	1098
5025000	1118
5030000	1083
5035000	1145
5040000	1058
5045000	1102
5050000	1059
5055000	1118
5060000	1096
5065000	1055
5070000	1153
5075000	1039
5080000	1082
5085000	1086
5090000	1087
5095000	1099
5100000	1118
5105000	1058
5110000	1121
5115000	1063
5120000	1107
5125000	1110
5130000	1085
5135000	1138
5140000	1114
5145000	1098
5150000	1194
5155000	1183
5160000	1109
5165000	1125
5170000	1155
5175000	1150
5180000	1143
5185000	1070
5190000	1154
5195000	1062
5200000	1091
5205000	1071
5210000	1074
5215000	1090
5220000	1135
5225000	1105
5230000	1128
5235000	1103
5240000	1171
5245000	1123
5250000	1058
5255000	1092
5260000	1085
5265000	1084
5270000	1097
5275000	1159
5280000	1106
5285000	1060
5290000	1119
5295000	1134
5300000	1121
5305000	1086
5310000	1126
5315000	1111
5320000	1113
5325000	1097
5330000	1156
5335000	1068
5340000	1090
5345000	1074
5350000	1101
5355000	1146
5360000	1130
5365000	1106
5370000	1081
5375000	1105
5380000	1087
5385000	1083
5390000	1083
5395000	1117
5400000	1090
5405000	1095
5410000	1037
5415000	1031
5420000	1129
5425000	1110
5430000	1074
5435000	1111
5440000	1087
5445000	1102
5450000	1084
5455000	1140
5460000	1088
5465000	1076
5470000	1108
5475000	1092
5480000	1065
5485000	1116
5490000	1164
5495000	1065
5500000	1159
5505000	1060
5510000	1155
5515000	1124
5520000	1086
5525000	1065
5530000	1059
5535000	1029
5540000	1052
5545000	1078
5550000	1096
5555000	1155
5560000	1038
5565000	1096
5570000	1101
5575000	1116
5580000	1086
5585000	1114
5590000	1092
5595000	1090
5600000	1121
5605000	1118
5610000	1176
5615000	1171
5620000	1128
5625000	1178
5630000	1225
5635000	1114
5640000	1118
5645000	1152
5650000	1191
5655000	1017
5660000	1156
5665000	1091
5670000	1091
5675000	1053
5680000	1089
5685000	1132
5690000	1089
5695000	1109
5700000	1101
5705000	1173
5710000	1105
5715000	1109
5720000	1093
5725000	1121
5730000	1123
5735000	1080
5740000	1117
5745000	1146
5750000	1032
5755000	1061
5760000	1139
5765000	1061
5770000	1126
5775000	1136
5780000	1141
5785000	1163
5790000	1130
5795000	1088
5800000	1079
5805000	1117
5810000	1113
5815000	1024
5820000	1130
5825000	1180
5830000	1124
5835000	1104
5840000	1133
5845000	1102
5850000	1119
5855000	1101
5860000	1074
5865000	1131
5870000	1124
5875000	1103
5880000	1086
5885000	1044
5890000	1120
5895000	1085
5900000	1107
5905000	1116
5910000	1090
5915000	1106
5920000	1090
5925000	1096
5930000	1082
5935000	1054
5940000	1091
5945000	1096
5950000	1115
5955000	1139
5960000	1095
5965000	1089
5970000	1111
5975000	1156
5980000	1130
5985000	1066
5990000	1094
5995000	1100
6000000	1121
6005000	1110
6010000	1102
6015000	1108
6020000	1107
6025000	1102
6030000	1058
6035000	1101
6040000	1099
6045000	1055
6050000	1117
6055000	1070
6060000	1074
6065000	1130
6070000	1106
6075000	1110
6080000	1045
6085000	1149
6090000	1170
6095000	1164
6100000	1272
6105000	1179
6110000	1199
6115000	1166
6120000	1172
6125000	1213
6130000	1192
6135000	1106
6140000	1149
6145000	1131
6150000	1162
6155000	1127
6160000	1093
6165000	1087
6170000	1133
6175000	1149
6180000	1114
6185000	1124
6190000	1098
6195000	1153
6200000	1022
6205000	1108
6210000	1108
6215000	1087
6220000	1191
6225000	1112
6230000	1124
6235000	1140
6240000	1125
6245000	1132
6250000	1140
6255000	1124
6260000	1109
6265000	1110
6270000	1129
6275000	1090
6280000	1109
6285000	1103
6290000	1161
6295000	1123
6300000	1066
6305000	1046
6310000	1068
6315000	1117
6320000	1114
6325000	1143
6330000	1099
6335000	1022
